"","control","inf clin_score 0-2","inf clin_score 3-5","inf clin_score 6-8"
"control",851,146,1,2
"inf clin_score 0-2",178,479,339,4
"inf clin_score 3-5",39,207,694,60
"inf clin_score 6-8",129,0,46,825
