"","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","seg10BTVPCRcopiesper1ml_new","IFN_y","BTM:Naive.B.cell.surface.signature..S8.","Proteine.Totali","BTM:TBA..M72.1.","BTM:proinflammatory.dendritic.cell..myeloid.cell.response..M86.1.","BTM:T.cell.activation..II...M7.3.","BTM:mismatch.repair..II...M22.1.","BTM:activated.dendritic.cells..M67.","BTM:TBA..M203.","BTM:proteasome..M226.","lung_pos_cells","BTM:enriched.in.B.cells..V...M47.4.","BTM:enriched.in.B.cells..IV...M47.3.","BTM:DC.surface.signature..S5.","BTM:enriched.in.NK.cells..I...M7.2."
"SMI8-292",0.000246902310327757,81420000,5.12,3.09650111225412e-05,9.8,0.000822353035676349,0.000237223731255787,0.000189002356884238,6.21365247666095e-05,0.000760742609242193,8.32046345309312e-05,0.000140172133618055,0.010646645,4.91507789843748e-05,7.23840448835222e-05,8.20998427328856e-05,0.000119617900058433
"SMI6-130",0.000193980988156595,36420000,25.69,2.1422267971305e-05,6.2,0.000679848737599853,0.000161341301954998,0.000127462046128457,5.66031042741333e-05,0.000782482312603028,7.48888756048061e-05,0.000190935666061209,0.182042825,4.29603032534587e-05,5.03480199018913e-05,5.88767424367642e-05,7.28036926040954e-05
"SMI8-295",0.000366773775009044,0,0.57,2.61595724289077e-05,7.1,0.000835126797137153,0.000319588716664709,0.000201102662124697,6.04764502962762e-05,0.000791137997108171,8.36800886045985e-05,0.000158792841510103,0.016942225,9.28159772828341e-05,8.59176626393232e-05,4.12298292877811e-05,0.00012547179860678
"SMI6-135",0.000384725094478844,4.048e+09,5.12,2.18845033195247e-05,5.6,0.000716969160717396,0.000215153890660513,0.000154164986426064,3.49215400439196e-05,0.0016745013401418,9.38984054006387e-05,0.000176075840127021,0.082,7.13918926722457e-05,7.53428035367154e-05,6.93847431580963e-05,8.49443929777927e-05
"SMI6-134",0.000421487338371662,474800000,0.36,2.12698570078995e-05,5.9,0.000667322943874282,0.000231826135411284,0.000173294111525557,2.5479067315537e-05,0.00140731316156728,7.20063001593552e-05,0.000196966257320907,0.101,6.94195442669798e-05,7.25073283516231e-05,5.677173973484e-05,0.000110885564178931
"SMI6-128",0.000342152893591852,3.728e+09,10.21,3.58752853757416e-05,5.9,0.000801034389041666,0.000235128407375162,0.000152847539964363,3.33270965551247e-05,0.00175860730546495,7.3512010178467e-05,0.000243779065231875,0.0325,9.27865900843816e-05,8.34006048757718e-05,4.14237595456335e-05,8.70735049729454e-05
"SMI13-291",0.000284743854597425,1205800000,16.38,3.04599520282167e-05,8.5,0.000844362671102328,0.000210399340033085,0.000171572890458771,6.19231550480492e-05,0.00149586752271214,0.000101527096104892,0.000188048424915044,0.0174,0.000134625045412173,9.61499862655035e-05,5.8859599338934e-05,7.82076801209008e-05
"SMI13-290",0.000226530839391392,196360000,9.18,2.69599568685219e-05,7.6,0.000713676396811858,0.000210990037968539,0.000159502392236277,6.88021485226731e-05,0.000663432392179253,5.19548881683374e-05,0.000282981910147528,0.0174,0.000117466509172104,7.39090539030318e-05,4.8720435855687e-05,0.000131057777249088
"SMI13-289",0.000304812969810442,82020000,19.33,3.16866948462113e-05,9.4,0.000719121476135731,0.000235266270613099,0.000180268575433296,6.18662449847207e-05,0.000778273100169313,5.58299396611339e-05,0.000239762902573659,0.025,0.000106619396271546,0.00011412442017078,7.44408521944351e-05,0.000128386010936454
"SMI13-288",0.000310215431740479,530400000,8.66,2.93342621593418e-05,8,0.000789744493631561,0.000249244308238028,0.000221465327340242,7.16284511625975e-05,0.00115011115780339,6.93580739055122e-05,0.000209609281953238,0.0158,8.71653051079946e-05,8.43420268517026e-05,6.71069486393172e-05,0.000134223801784739
"SMI13-287",0.000363934370514629,160980000,16.32,3.64429335619754e-05,8.3,0.00075490944300638,0.000237812939840154,0.000155320517102986,6.6998426060616e-05,0.00098010105680002,5.38517274208949e-05,0.000260241511512715,0.0213,9.85072665151687e-05,9.49475684279832e-05,9.55501742549991e-05,0.000101150345795498
"SMI13-286",0.000253322766068376,237600000,29.84,3.56221302297843e-05,7.8,0.000746764804695488,0.000222577009664215,0.000186851448195302,6.88682295579834e-05,0.000634285891766506,6.01614754878188e-05,0.000263367327926645,0.0139,0.000141413597321227,0.000101894092807919,5.20158928707382e-05,0.000133806621821719
"SMI6-136",0.000336682916274977,1.608e+09,3.7,2.1985462236529e-05,5.5,0.000588350528661019,0.000148862843584174,0.000152383639326237,4.18757182643059e-05,0.00097919987808659,8.37508887661098e-05,0.000216972538650717,0.0943,6.51407881870902e-05,6.85235203345957e-05,6.42098114438383e-05,8.83037169274736e-05
"SLI13-34",0.000309155745780387,2.72e+09,5.03,3.45976713969076e-05,5.8,0.000720461349495993,0.000223374882157401,0.000207076229765679,4.41516403755227e-05,0.00175198357263406,5.85666391605955e-05,0.000212303332055352,NA,8.28915980255474e-05,5.99586560419141e-05,6.97651942835886e-05,0.000118539345452362
"SMI13-285",0.000243703076828972,129680000,21.25,2.88738915217301e-05,6.5,0.000765313058576078,0.000257375580214214,0.000191994204426615,9.56095897135523e-05,0.000525952516858386,6.26866444397578e-05,0.000318412350768682,0.012,0.000125779228606016,7.59800749834394e-05,6.83567185706391e-05,0.000173475559106295
"SLI13-29",0.000261921556624856,4.552e+09,12.83,2.57372428409397e-05,5.4,0.000852027410981337,0.000238042496959912,0.000233117777845182,7.33108699688678e-05,0.00124957801374204,6.31731748970132e-05,0.000250113877527935,NA,7.0710570515109e-05,5.27500594313945e-05,5.74136192266206e-05,0.000186196658355842
"SLI13-31",0.000430252012560306,4.578e+09,9.76,2.80411309141471e-05,5.3,0.00072758413284002,0.000229576360355255,0.00020341063847118,4.47338532023611e-05,0.00159875361576067,6.14256624511533e-05,0.000176980102697399,NA,9.07952123905265e-05,8.52145553278394e-05,8.77252278965734e-05,0.000128875779383586
"SLI13-32",0.000348071095324309,1583600000,11.08,2.60319345410931e-05,5.3,0.000799773946090765,0.000222039756662129,0.000211484516496441,6.07384204944772e-05,0.00131902705914766,8.3299086863331e-05,0.000184573768475138,NA,7.63584109730875e-05,7.57257959993485e-05,7.40304771491562e-05,0.000134968876900343
"SLI13-35",0.000309045600624502,1977400000,16.47,3.30877735141843e-05,5.7,0.000806149021423508,0.000225718939531383,0.000197029496004086,6.79443338515995e-05,0.00160554426378923,8.96106639316496e-05,0.000233096635607666,NA,0.000128002432786101,9.61392373712844e-05,7.87844842744523e-05,0.000102982524631479
"SMI6-129",0.000307285578013961,2.06e+09,7.92,2.59899587529144e-05,6.2,0.000767053765928782,0.000179605497006907,0.000139715916455785,4.09097334721498e-05,0.00179969553192461,9.02384246979082e-05,0.000189001908160513,0.1009205,8.82298021001038e-05,9.71261200402029e-05,4.36290079157686e-05,8.16388861126782e-05
"SLI13-30",0.000466708242216729,3.18e+09,40.62,1.9629709192559e-05,5.4,0.000816678980534613,0.000303831314778735,0.000162900472205685,4.8805620597614e-05,0.00112988423549565,6.32871034214055e-05,0.000248052057378656,NA,6.14956615381246e-05,5.2072979655815e-05,0.000123313902491873,0.000106550035100517
"SLI6-27",0.000270363823184239,4.77e+09,19.61,1.96209129881275e-05,4.9,0.000819887481183335,0.000173484065109752,0.000183279371327449,6.80151620489067e-05,0.00133267908975165,7.65196263203816e-05,0.000211173391506669,0.131113425,6.97608453208431e-05,6.42122032026293e-05,6.98940014858263e-05,9.97881761439778e-05
"SLI6-28",0.000385822791676205,4.17e+10,13.95,2.31578689589007e-05,5.7,0.000771086142804078,0.000207196220121109,0.000150953305214196,4.17688318719023e-05,0.00165593897285521,6.45028290364724e-05,0.000225503178425734,0.13575975,6.83793656919285e-05,7.7864082187018e-05,9.43986182226908e-05,7.33354432689293e-05
"SLI13-33",0.000296350615066832,6.506e+09,13.64,2.06353408305215e-05,4,0.000750372782219122,0.000219025126943162,0.000226963029900995,5.35002519246319e-05,0.000819049490005108,7.10791169042935e-05,0.000219266554219111,NA,7.539854606331e-05,5.16937997458999e-05,6.08536049038211e-05,0.000173004272409738
"SLI6-23",0.000523398658655694,5.67e+10,13.78,1.47656046260991e-05,4.5,0.000727518199511668,0.000211824428259177,0.00016262665452027,4.04291029361126e-05,0.00117278506866048,6.15212799142117e-05,0.000200180111745274,0.05942925,3.74985160991326e-05,6.09775422752978e-05,0.000100490099754769,8.2500064956692e-05
"SLI6-25",0.00059989339128852,1.04e+10,18.05,1.75069946628525e-05,4.6,0.000716851543659081,0.000214225111058175,0.000150235948693345,3.70512649847665e-05,0.00166548532926059,6.57640576899876e-05,0.000182885820112055,0.18955975,6.05154042592204e-05,5.20388501366043e-05,0.000103873171058755,6.37214268128794e-05
"SLI6-22",0.000411028358276777,3.27e+10,NA,9.40885417599624e-06,4.8,0.000594468512528756,0.000258304287428901,0.000116918114274167,4.70436356083681e-05,0.000771296770067043,7.33600886342334e-05,0.000209543476014984,0.27214915,5.74956328478482e-05,5.68174045483261e-05,9.04048418737258e-05,0.00011504833048237
"SLI6-24",0.000437643182216618,2.38e+10,NA,1.25836795206169e-05,5.3,0.000565525168108705,0.000220277715173411,0.000118335347519594,2.54215044392936e-05,0.00113056886843999,7.49871969831784e-05,0.000185100562428264,0.7165355,5.08402432999322e-05,6.51687571040505e-05,8.69822044344826e-05,8.33974224789813e-05
"SLI6-26",0.000491878929829159,1.08e+10,36.89,1.66814996489517e-05,4,0.000673890072380834,0.000217309663911092,0.000144330059038245,4.23334711738832e-05,0.0014037549117798,5.81315089207557e-05,0.000211599385748329,0.079019775,5.22330280192662e-05,6.27240023267639e-05,0.000109689744262509,7.36683506588065e-05
