"","BTM:CCR1..7.and.cell.signaling..M59.","BTM:cell.adhesion..M51.","BTM:cell.cycle..mitotic.phase..M230.","BTM:combine( TBA..M137. TBA..M180. )","BTM:enriched.in.D..interacting.proteins..M182.","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:extracellular.matrix..collagen..M210.","BTM:extracellular.matrix..II...M2.1.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","BTM:immuregulation...monocytes..T.and.B.cells..M57.","BTM:integrin.mediated.leukocyte.migration..M39.","BTM:mitosis..TF.motif.CCAATNNSNNNGCG...M169.","BTM:platelet.activation...actin.binding..M196.","BTM:platelet.activation..I...M32.0.","BTM:proinflammatory.cytokines.and.chemokines..M29.","BTM:putative.targets.of.PAX3..M89.0.","BTM:RA..WNT..CSF.receptors.network..monocyte...M23.","BTM:regulation.of.localization..GO...M63.","BTM:TBA..M121.","BTM:TBA..M148.","BTM:TBA..M186.","BTM:TBA..M211.","BTM:TBA..M79.","BTM:TBA..source..B.cells...M217.","BTM:translation.initiation.factor.3.complex..M245.","Colesterolo","Creatina.Chinasi..CK.","GOT.AST.","Proteine.Totali","seg10BTVPCRcopiesper1ml_new"
"SMI6-136",1.74488339170775e-05,2.61727439794246e-05,0.000102589852456703,0.000143702806772339,4.42027159370806e-05,4.92646758440962e-05,9.94291687161919e-05,0.000120380555713284,8.37541981901779e-06,0.000143545069707818,3.40245655752192e-05,8.52466195979673e-05,2.55911719646562e-05,6.80423120118512e-05,1.57040245070128e-05,6.97951164463362e-06,1.8321130161425e-05,4.18766607503951e-05,0.000775575060323108,5.71019835686748e-05,0.00014131770215231,0.000156987806165354,5.2346839691797e-06,0,0.000785954074074668,49,422,86,5.5,1.608e+09
"SLI13-34",1.62190849990473e-05,9.91162963148717e-06,0.000139465838729036,0.000197029784303027,6.36739055406288e-05,2.79849923041642e-05,5.94609798612034e-05,6.2844594305167e-05,1.08126577313961e-05,8.1864773092688e-05,2.83830696359288e-05,0.000124340917139865,1.56183027315571e-05,8.00047567544038e-05,5.40635517065624e-06,5.40638439949781e-06,9.46108958088665e-06,6.37904534417366e-05,0.00141103767914919,5.89768008516511e-05,0.000124327759869702,0.000186976249860304,6.75794122351192e-06,0,0.000475502718350285,35,585,121,5.8,2.72e+09
"SMI13-285",3.79935600913761e-06,1.20310741016372e-05,0.000126121010581626,0.000172994391839598,4.89680750352939e-05,3.75422595824126e-05,4.46368212547732e-05,5.08138176629203e-05,7.59868026145583e-06,0.000109631510995856,1.61471389907852e-05,0.000133512847978468,1.26643003044435e-05,5.69830843200059e-05,1.89966934369679e-05,5.06580159664871e-06,1.42473491182571e-05,4.86293656520864e-05,0.000396546902490913,4.35178421831495e-05,8.73757927692953e-05,9.19256103713018e-05,8.54850636278215e-06,0,0.00074704509344059,77,1820,183,6.5,129680000
"SLI13-29",1.40389445533184e-05,1.79382662381933e-05,0.000187147333262194,0.000244538582718556,6.65535409292151e-05,4.3489731331503e-05,5.84864858341749e-05,5.08893161643709e-05,1.8718476919144e-05,0.000133694540340068,3.50969279827584e-05,0.000120327087073768,1.66383349342603e-05,9.96568671549625e-05,1.63787050793118e-05,9.3593085348509e-06,1.05291132939112e-05,5.61527771285597e-05,0.000955175332761238,7.14692259675687e-05,0.000128669674919646,0.000169334636396457,3.50971401119615e-06,0,0.000498780389435627,28,155,114,5.4,4.552e+09
"SLI13-31",1.33536023225744e-05,2.06978365053789e-05,0.000139396797222524,0.000216265571093999,5.51947262181773e-05,5.04256876305842e-05,4.50631133452895e-05,9.91394026548242e-05,1.28194522381886e-05,0.000105294955457191,4.70705904511703e-05,0.000129903714600088,1.51338835561177e-05,9.89254081777968e-05,3.00456794553039e-05,1.73597691468519e-05,2.60394537860975e-05,5.92860955601626e-05,0.0011842872741159,5.75410942635912e-05,0.000126177445476827,0.000166587622857817,1.10167620046564e-05,8.01221060919843e-06,0.000388402458621595,39,659,201,5.3,4.578e+09
"SLI13-32",2.08255056981521e-05,2.86347688052135e-05,0.000133263856696875,0.000203943057330402,6.01622053109097e-05,3.85859341323069e-05,7.28770984894656e-05,7.02825077250058e-05,1.24953706417408e-05,0.000105612811300837,5.33645043538922e-05,0.000130152162699293,2.54531034071803e-05,9.99472040092986e-05,1.82223773457224e-05,5.20645774315653e-06,1.17144325084695e-05,5.31041593114789e-05,0.000999083607349238,7.76196044600663e-05,0.000119733469358563,0.000166544622412168,5.2064758147008e-06,5.2064758147008e-06,0.00045437781547486,34,111,106,5.3,1583600000
"SLI13-35",1.87109468972046e-05,1.67412613523155e-05,0.000144154405040009,0.000212655861296041,6.69648495625896e-05,3.33657348594585e-05,6.20335362857549e-05,4.985321925699e-05,2.95434171369013e-05,0.00011732482765936,2.95433979489168e-05,0.000125765492851926,1.96956587485975e-05,7.23745623365524e-05,1.18175459544734e-05,1.87107839773049e-05,9.60172744823851e-06,4.4314402253498e-05,0.00128864196414935,7.03625874118874e-05,0.000112248366043177,0.000165975774909288,1.25561095727367e-05,0,0.00054074255900094,27,541,176,5.7,1977400000
"SMI6-129",1.44388346965396e-05,8.42265719258606e-06,0.000121274264701654,0.000169957621229067,4.81295185150721e-05,3.14243678569692e-05,3.42898542298187e-05,6.04561783761337e-05,5.77560615022676e-06,0.00011343090492022,2.88777128412132e-05,8.5600916475137e-05,3.20866596514868e-06,5.91936029252782e-05,7.21956502136578e-06,2.40651588256924e-06,1.08292888962858e-05,3.176537104288e-05,0.00142277977543448,6.56257798488102e-05,6.8581561693648e-05,0.000206379261982859,5.41464281900161e-06,0,0.000657396456170245,77,353,137,6.2,2.06e+09
"SLI13-30",3.64713547920115e-05,2.73532464241111e-05,0.000138359038478475,0.000210268667034663,4.29074564620713e-05,9.99310179010671e-05,7.32009900366037e-05,9.89477793489346e-05,2.31697373638262e-05,9.10216510670026e-05,3.29851470934894e-05,9.4239560603393e-05,3.50404416258332e-05,9.33063445485161e-05,4.02252990483465e-05,9.65424397936232e-06,2.49397530596163e-05,6.04962869539261e-05,0.000756035892805595,5.2073518138851e-05,0.000117445615483769,0.000111970907302972,1.44811057867233e-05,6.4361764609e-06,0.000364023663695923,30,913,171,5.4,3.18e+09
"SLI6-27",1.83130298565537e-05,1.76590001343957e-05,0.000190675721498668,0.000232518577872431,6.62752632674124e-05,5.21657013596855e-05,7.25838960136116e-05,5.68994298280057e-05,2.66845351630796e-05,7.62401625349352e-05,4.21851097776038e-05,0.000137902473192009,3.31373837243465e-05,8.43589508385811e-05,1.37349488438243e-05,9.15655000377491e-06,2.4526074343223e-05,5.17985046581959e-05,0.00103641441442881,7.41999929279036e-05,0.000151056045480491,0.000202411164881955,1.07916702407618e-05,3.9242694482855e-06,0.000438591104760855,36,657,127,4.9,4.77e+09
"SLI6-28",1.05745938203672e-05,1.63901910792408e-05,0.000135126021931109,0.000228909921143883,4.15932164024024e-05,8.06014209155936e-05,7.61285121830824e-05,0.000137548497185724,1.7765117419799e-05,9.33533552871513e-05,3.17231156214959e-05,0.000134140498297963,3.45427909620444e-05,6.94680057478081e-05,1.42757401526694e-05,9.5171777130254e-06,2.14133847449283e-05,5.07571742063284e-05,0.0012400547890612,7.09440107173887e-05,0.000144321545385351,0.000142088950121577,2.4585613789041e-05,3.17240263503216e-06,0.000397401123495733,31,434,136,5.7,4.17e+10
"SLI13-33",1.52862331885828e-05,7.64306635625545e-06,0.000159564539897072,0.000211716207502155,8.15249310941457e-05,5.5026178934714e-05,4.58544382155868e-05,9.28425478821104e-05,1.65090090313846e-05,0.000111365513182582,5.04440326030142e-05,0.000117261726700013,8.15263049158688e-06,8.84922643271668e-05,1.60504731723243e-05,6.11450168741534e-06,1.71966870452511e-05,5.41099684017166e-05,0.00058933290306884,6.08652509397345e-05,0.000110046123527052,0.000160455043668239,1.71966660149625e-05,4.58586224549862e-06,0.000570565828200698,25,2744,172,4,6.506e+09
"SLI6-23",4.42968174336755e-05,2.46091062245934e-05,0.000139201410079393,0.00022446430483658,5.34369725300188e-05,0.000107932692147594,0.00010861119676342,0.000140234172678833,3.03745655343413e-05,7.23205032673313e-05,2.58400225749966e-05,0.000105766604869384,6.14039756028362e-05,0.000101015156812823,2.32033889240313e-05,1.12501214011296e-05,2.84764740901e-05,5.35771332388357e-05,0.000734457177990366,7.40181308755972e-05,0.000132873037541614,0.000165751098528011,1.74023366046328e-05,7.38293212254604e-06,0.000299072774415876,46,6983,229,4.5,5.67e+10
"SLI6-25",5.27981676894385e-05,2.7788859892075e-05,0.000167823254491051,0.000214402092444166,4.94026299990846e-05,0.000104604106987871,7.50225350165667e-05,9.10019075222035e-05,2.44543151020071e-05,7.54255630006639e-05,2.63995925111615e-05,0.000109166166753827,4.69307914561234e-05,8.44594284616917e-05,4.58520649648797e-05,1.57471146404742e-05,3.26515117397008e-05,5.83550878692218e-05,0.000999376969304855,7.67947694708671e-05,0.000184761362950647,0.000198897503211226,1.31998404142575e-05,4.16841605055396e-06,0.000313896342476028,31,4667,374,4.6,1.04e+10
"SLI6-22",6.16045493375683e-05,1.17609441767641e-05,0.000175364154173741,0.000217749516052912,5.60040360384484e-05,8.49771278890188e-05,0.000164599681832467,0.000172958242718568,4.16668889580141e-05,0.000188115232059083,5.54444418974231e-05,0.00014064086449106,2.31476207550596e-05,0.000103141862505929,3.36024102731702e-05,2.12820664686753e-05,6.04835154811578e-05,5.64512373799619e-05,0.000450520269867027,9.22486250132248e-05,0.000263695053908108,8.19843401929088e-05,4.36807975756626e-05,1.51212345018692e-05,0.000349364793959195,35,1559,132,4.8,3.27e+10
"SLI6-24",4.70293970955549e-05,2.47855385129281e-05,0.000154032398465231,0.000208290572114356,4.32164137726954e-05,9.23913441499558e-05,0.000264846195346724,0.000150568705371334,2.74542465636962e-05,0.00011656198176313,4.76642624862578e-05,0.000151973590625021,3.3046480872212e-05,0.000112843191847567,3.62258286090711e-05,1.27106665923638e-05,7.81662855142695e-05,7.092371313977e-05,0.000685933887798029,9.15110885713055e-05,0.000285879206281869,7.93102873630769e-05,5.91006104457836e-05,1.14397496986385e-05,0.000217947138917429,24,703,275,5.3,2.38e+10
"SLI6-26",4.17027138328585e-05,1.89561457215603e-05,0.000121308192864822,0.000200863859358691,5.56042412487301e-05,9.67785944876454e-05,2.55904482842073e-05,0.000109926187047416,5.00420281397407e-05,8.88207093465709e-05,3.601600534342e-05,7.96137660523666e-05,2.02198657732744e-05,0.000114839351364804,7.7718429467577e-05,2.02200701924227e-05,3.22252475946083e-05,8.643123478147e-05,0.000988263528928224,7.09986598541601e-05,0.000176257344170594,0.000107652362065336,1.42169929613356e-05,1.89564295949296e-06,0.000395326023788334,36,10794,480,4,1.08e+10
