"","BTM:CCR1..7.and.cell.signaling..M59.","BTM:cell.adhesion..M51.","BTM:cell.cycle..mitotic.phase..M230.","BTM:combine( TBA..M137. TBA..M180. )","BTM:enriched.in.D..interacting.proteins..M182.","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:extracellular.matrix..collagen..M210.","BTM:extracellular.matrix..II...M2.1.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","BTM:immuregulation...monocytes..T.and.B.cells..M57.","BTM:integrin.mediated.leukocyte.migration..M39.","BTM:mitosis..TF.motif.CCAATNNSNNNGCG...M169.","BTM:platelet.activation...actin.binding..M196.","BTM:platelet.activation..I...M32.0.","BTM:proinflammatory.cytokines.and.chemokines..M29.","BTM:putative.targets.of.PAX3..M89.0.","BTM:RA..WNT..CSF.receptors.network..monocyte...M23.","BTM:regulation.of.localization..GO...M63.","BTM:TBA..M121.","BTM:TBA..M148.","BTM:TBA..M186.","BTM:TBA..M211.","BTM:TBA..M79.","BTM:TBA..source..B.cells...M217.","BTM:translation.initiation.factor.3.complex..M245.","Colesterolo","Creatina.Chinasi..CK.","GOT.AST.","Proteine.Totali","seg10BTVPCRcopiesper1ml_new"
"SLC-39",1.1549559656876e-05,1.82125812087097e-05,0.000133779103094867,0.000222341858263198,6.33729943901873e-05,2.163536369304e-05,5.79608294171141e-05,8.72803178582071e-05,8.52888921420991e-06,6.0919107644386e-05,5.46368919325246e-05,0.000124119931617983,2.1321854293932e-05,8.766974677199e-05,1.33263077066736e-05,2.66529374437496e-06,1.99891090628679e-05,4.69077025218034e-05,0.000465126097062507,6.44469899881983e-05,8.92782614527743e-05,0.000187568622918022,7.99587768107735e-06,0,0.000575776981002862,20,114,191,5.8,0
"SLC-40",3.87831185428844e-05,2.08387822322464e-05,0.000128145568386584,0.000203541305737076,5.36416056919897e-05,5.12763200395394e-05,3.9504607543428e-05,9.33282914934441e-05,1.9449628614554e-05,7.19430669640087e-05,2.51809830806859e-05,0.000103199182035052,6.94648926402586e-06,0.000101381802309897,2.95219552957082e-05,2.89438800749053e-06,3.90723228158585e-05,4.72347664199901e-05,0.000409357721219639,4.16772900750928e-05,8.76955282913539e-05,9.65323193558021e-05,4.34157610507135e-06,1.73663421176862e-06,0.000632287449493285,25,103,90,6.3,0
"SLC-41",1.83427713811302e-05,1.52856911050936e-05,0.000124720921719002,0.00017726619487779,4.14411607867482e-05,2.26583014435455e-05,2.75132459313099e-05,7.64159346404725e-05,1.34514212526415e-05,0.000110047472081654,2.36930628603194e-05,0.000106557646665006,8.83182958055784e-06,7.9162417270684e-05,1.2228666901315e-05,7.13344795877369e-06,2.67494398846768e-05,4.15769093666807e-05,0.000608723184164051,4.66881109317807e-05,7.4897022044329e-05,0.00010330379154766,8.40729932849449e-06,6.11435681574513e-06,0.000699930355042122,23,106,106,6.2,0
"SLC-42",1.681255495245e-05,1.83403300861862e-05,0.000105450435569976,0.000155022342180233,5.70598096560904e-05,3.34426780979058e-05,6.30362108267057e-05,7.27811952516699e-05,1.8340698663355e-05,0.00014146854065844,2.40725681561749e-05,9.95610743290687e-05,1.1208310530586e-05,9.16791135017192e-05,4.58529450209078e-06,3.05686066526256e-06,3.32419483521917e-05,5.0436528303166e-05,0.000548195629609616,3.25119677662133e-05,0.000100867103835833,0.0001026854733297,1.26094843244662e-05,6.87792861264747e-06,0.000689437211679467,24,127,107,6.2,0
"SMI6-127",1.07043905250848e-05,2.79489023096158e-05,0.000116308467626558,0.000163131817645157,5.15384716184286e-05,3.52599927386787e-05,5.44045438815033e-05,6.11007862127977e-05,4.28175264510777e-06,0.000110089153945614,3.47883323323916e-05,0.000108058851920001,1.98222304628182e-05,5.77980485949592e-05,3.56813441881876e-06,1.18937672488606e-06,1.42723785352405e-05,3.35394537549494e-05,0.000897620866675553,8.0439259461329e-05,0.000107031278445469,0.000176897808392695,9.81217112649979e-06,5.35219367092665e-06,0.000590654019043457,57,86,126,5.9,1546600000
"SMI8-298",6.18466443214061e-06,2.04088832778115e-05,0.000155826172396623,0.000182785351429349,6.84424358197155e-05,1.83354355860477e-05,1.76254457813219e-05,4.7774780746801e-05,5.93727932374222e-06,8.05728243016279e-05,5.00947282648934e-05,0.000133051436446596,1.89658037075269e-05,5.52848679717943e-05,1.8553818882161e-05,2.47387587082315e-06,5.56621554559378e-06,4.00751908271602e-05,0.000602801891485205,8.43255868856474e-05,9.46152149201573e-05,0.000183222254376059,8.34930739701534e-06,1.85540632946513e-06,0.000672305549465735,83,154,95,7,0
"SMI8-297",6.83032261972194e-06,1.75019578796398e-05,0.000151605658000875,0.000203431895413386,5.46417208577843e-05,2.22984340918497e-05,2.94538158482904e-05,3.96993632005849e-05,2.04909844780943e-06,7.46415413228618e-05,5.44272491787012e-05,0.00012988895763888,9.67616164082585e-06,7.09368831790513e-05,1.40874955731896e-05,2.56137590293193e-06,1.21664244887576e-05,2.45888549399442e-05,0.000432367806935119,8.24218577175628e-05,0.000101162231416874,0.000177681053772805,3.84205975390017e-06,2.56138027654451e-06,0.0006334664735137,108,88,106,6.8,4712000
"SMI8-296",2.55192529996506e-06,2.42423078864462e-05,0.000150027991992596,0.000198658506442184,5.18882267050991e-05,2.16157043195775e-05,1.72248456067337e-05,7.51153830673701e-05,9.18684433792727e-06,8.85817773894626e-05,4.78461594348722e-05,0.000130142545070155,1.36099462844097e-05,6.58306608849468e-05,1.14835686098047e-05,3.8278806238079e-06,1.14835173272709e-05,3.29191288970243e-05,0.000451149137421725,7.86409543922506e-05,0.000110993000332238,0.000140050901557665,2.87090909423249e-06,5.74182643031662e-06,0.000531715080670736,124,139,96,7.1,0
"SMI8-294",5.89259565897393e-06,1.66952570628265e-05,0.000135509630734276,0.000208840595265603,5.89242167241544e-05,1.80238660194565e-05,2.79880381157671e-05,5.37665441651125e-05,1.41420101418266e-05,8.75411474039467e-05,5.45049876115034e-05,0.000121210427906027,9.16595085476146e-06,7.3647694325496e-05,8.83880234314738e-06,3.92839324780958e-06,1.47312417577705e-05,5.53880342109014e-05,0.000629327886652931,6.53481947452406e-05,0.000106054745232953,0.000154331589913514,7.36569791603969e-06,5.89259565897393e-06,0.0006633137100438,93,123,124,7,0
"SMI8-293",1.33956622347942e-05,1.17210369354748e-05,0.00016373806097647,0.000202244611163582,5.02328684908182e-05,2.65933910081895e-05,3.3904896109993e-05,6.34148521270195e-05,4.01869496924334e-06,6.88878333403586e-05,5.02318326724982e-05,0.000124143100449725,1.33954547627546e-05,5.87677392343e-05,1.00467929382564e-05,3.34892817566157e-06,1.63259289152062e-05,3.81765687178515e-05,0.000830392901872035,0.000100457806794019,8.79004911125136e-05,0.000182783408739562,1.25582609173946e-05,0,0.000545471910387896,139,111,83,7.7,124340000
