"","control_Sass","2013_Sass","2006_Sass","BTV8_Sass","control_Ter","2006_Ter"
"control_Sass",133,163,178,174,177,175
"2013_Sass",161,165,194,160,168,152
"2006_Sass",173,164,160,179,157,167
"BTV8_Sass",149,181,159,153,170,188
"control_Ter",163,170,162,151,179,175
"2006_Ter",173,173,134,175,170,175
