"","BTM:activated.dendritic.cells..M67.","BTM:B.cell.surface.signature..S2.","BTM:blood.coagulation..M11.1.","BTM:CCR1..7.and.cell.signaling..M59.","BTM:CD4.T.cell.surface.signature.Th2.stimulated..S7.","BTM:cell.adhesion..M51.","BTM:cell.cycle..mitotic.phase..M230.","BTM:cell.cycle.and.growth.arrest..M31.","BTM:cell.junction..GO...M4.13.","BTM:chemokine.cluster..II...M27.1.","BTM:chemokines.and.receptors..M38.","BTM:collagen..TGFB.family.et.al..M77.","BTM:combine( cell.movement..Adhesion...Platelet.activation..M30. cytoskeletal.remodeling..enriched.for.SRF.targets...M34. cytoskeleton.actin..SRF.transcription.targets...M145.0. cytoskeleton.actin..SRF.transcription.targets...M145.1. enriched.in.extracellular.matrix...associated.proteins..M202. )","BTM:combine( chaperonin.mediated.protein.folding..I...M204.0. chaperonin.mediated.protein.folding..II...M204.1. )","BTM:combine( combine( regulation.of.signal.transduction..M3. enriched.in.monocytes..II...M11.0. cell.cycle.and.transcription..M4.0. immune.activation...generic.cluster..M37.0. ) combine( myeloid.cell.enriched.receptors.and.transporters..M4.3. formyl.peptide.receptor.mediated.neutrophil.response..M11.2. Resting.dendritic.cell.surface.signature..S10. ) )","BTM:combine( cytoskeletal.remodeling..M32.8. TBA..M192. )","BTM:combine( enriched.in.T.cells..I...M7.0. T.cell.activation..I...M7.1. )","BTM:combine( extracellular.matrix..I...M2.0. extracellular.matrix..III...M2.2. )","BTM:combine( golgi.membrane..I...M113. enriched.in.monocytes..surface...M118.1. )","BTM:combine( innate.activation.by.cytosolic.D..sensing..M13. chemokines.and.inflammatory.molecules.in.myeloid.cells..M86.0. )","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","BTM:combine( T...B.cell.development..activation..M62.0. T.cell.surface.signature..S0. )","BTM:combine( T.cell.activation..III...M7.4. T.cell.differentiation.via.ITK.and.PKC..M18. )","BTM:combine( TBA..M137. TBA..M180. )","BTM:DC.surface.signature..S5.","BTM:double.positive.thymocytes..M126.","BTM:E2F.transcription.factor.network..M8.","BTM:endoplasmic.reticulum..M37.2.","BTM:enriched.for.promoter.motif..TCACGTGAY..putative.SREBF1.targets...M178.","BTM:enriched.for.TF.motif.PAX3..M179.","BTM:enriched.in.activated.dendritic.cells.monocytes..M64.","BTM:enriched.in.D..interacting.proteins..M182.","BTM:enriched.in.dendritic.cells..M168.","BTM:enriched.in.monocytes..III...M73.","BTM:enriched.in.monocytes..IV...M118.0.","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:extracellular.matrix..collagen..M210.","BTM:extracellular.matrix..II...M2.1.","BTM:G.protein.mediated.calcium.signaling..M159.","BTM:golgi.membrane..II...M237.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","BTM:IL2..IL7..TCR.network..M65.","BTM:immuregulation...monocytes..T.and.B.cells..M57.","BTM:inositol.phosphate.metabolism..M129.","BTM:integrin.mediated.leukocyte.migration..M39.","BTM:integrins.and.cell.adhesion..M84.","BTM:leukocyte.activation.and.migration..M45.","BTM:lipid.metabolism..endoplasmic.reticulum..M92.","BTM:lysosome..M209.","BTM:Membrane..ER.proteins..M134.","BTM:Memory.B.cell.surface.signature..S9.","BTM:MHC.TLR7.TLR8.cluster..M146.","BTM:mitosis..TF.motif.CCAATNNSNNNGCG...M169.","BTM:mitotic.cell.cycle.in.stimulated.CD4.T.cells..M4.9.","BTM:myeloid..dendritic.cell.activation.via.NFkB..I...M43.0.","BTM:Naive.B.cell.surface.signature..S8.","BTM:phosphatidylinositol.signaling.system..M101.","BTM:platelet.activation...actin.binding..M196.","BTM:platelet.activation..I...M32.0.","BTM:purine.nucleotide.biosynthesis..M212.","BTM:putative.targets.of.PAX3..M89.0.","BTM:RA..WNT..CSF.receptors.network..monocyte...M23.","BTM:regulation.of.localization..GO...M63.","BTM:suppression.of.MAPK.signaling..M56.","BTM:T.cell.differentiation..M14.","BTM:T.cell.differentiation..Th2...M19.","BTM:T.cell.surface..activation..M36.","BTM:TBA..M102.","BTM:TBA..M105.","BTM:TBA..M121.","BTM:TBA..M148.","BTM:TBA..M161.","BTM:TBA..M174.","BTM:TBA..M185.","BTM:TBA..M186.","BTM:TBA..M198.","BTM:TBA..M205.","BTM:TBA..M208.","BTM:TBA..M211.","BTM:TBA..M241.","BTM:TBA..M242.","BTM:TBA..M243.","BTM:TBA..M248.","BTM:TBA..M249.","BTM:TBA..M66.","BTM:TBA..M79.","BTM:TBA..source..B.cells...M217.","BTM:TBA..source..memory.B.cells...M152.2.","BTM:TLR8.BAFF.network..M25.","BTM:transcription.regulation.in.cell.development..M49.","BTM:translation.initiation.factor.3.complex..M245.","BTM:transmembrane.transport..I...M87.","BTM:transmembrane.transport..II...M191.","Calcemia","Creatina.Chinasi..CK.","GOT.AST.","IL.6","lung_pos_cells","Proteine.Totali","seg10BTVPCRcopiesper1ml_new"
"SLC-39",0.000543013469751275,4.28577094913063e-05,8.74755588022857e-05,1.1549559656876e-05,6.51455275608726e-05,1.82125812087097e-05,0.000133779103094867,2.19882607241928e-05,0.000124369574378225,0.00018496369709653,0.000105840394060808,0.000134833713738347,5.7008254533697e-05,0.000117268206139887,6.32837945571119e-05,4.38946780134675e-05,0.000131440005620931,7.63930495553122e-05,4.85985559035562e-05,0.000135564899971241,0.00012334002643466,4.27750654852233e-05,0.000151982039208631,0.000222341858263198,2.75002108627298e-05,6.92837524944867e-05,1.22602925958226e-05,2.13218604188103e-05,3.12215597990662e-05,0.00014324477061467,0.000130183309681176,6.33729943901873e-05,1.80418291475526e-05,5.33058275276055e-06,0.000178070463696667,2.163536369304e-05,5.79608294171141e-05,8.72803178582071e-05,0.000142374674572121,5.47202070628749e-05,8.52888921420991e-06,0.000207106275395885,6.0919107644386e-05,9.22535050689177e-05,5.46368919325246e-05,0.000194152214518573,0.000106606321062852,3.33147810434031e-05,1.3707166691912e-05,1.75903312411574e-05,3.8073541682726e-05,2.66526761905084e-05,0.000124119931617983,5.53539332146524e-05,2.57633057552109e-05,3.09158406741616e-05,0.000250929333284411,2.1321854293932e-05,8.766974677199e-05,0.000105541745008653,2.66529374437496e-06,1.99891090628679e-05,4.69077025218034e-05,1.0128032784662e-05,2.66525230778747e-05,0.000102493483045141,0.00022492844125388,4.175402883555e-05,3.57142856057813e-05,0.000465126097062507,6.44469899881983e-05,7.41773760482012e-05,0.000262700133310645,9.86099738402579e-05,8.92782614527743e-05,5.06381105442877e-05,0.000151902258328285,3.99777984971816e-05,0.000187568622918022,7.99579102315207e-05,0.000271837588043722,4.8943323076589e-05,3.02054462173462e-05,5.59697763646838e-05,8.31535503085234e-05,7.99587768107735e-06,0,1.77686486413364e-06,3.57898319780503e-05,7.6643157652434e-05,0.000575776981002862,2.88725866091077e-05,5.81503642127501e-05,9.6,114,191,45.33,0.0811,5.8,0
"SLC-40",0.000489684847632565,4.42950791172958e-05,0.000117054338996336,3.87831185428844e-05,2.85569122107088e-05,2.08387822322464e-05,0.000128145568386584,4.73212954412716e-05,0.000229957872390996,0.000165659539080432,0.000185515263405156,0.000157302187144825,3.46090181724268e-05,0.000103123751123757,9.56614254175037e-05,3.71808654433536e-05,0.000110208038106574,0.000115742218832704,7.23137371154703e-05,0.000235373003082184,0.000210583482149529,2.47565672253369e-05,0.000111102164770616,0.000203541305737076,3.3941806770077e-05,4.45719977582026e-05,1.7713305024758e-05,3.27773783550533e-05,2.03430206100474e-05,0.000121552874132513,0.000291575400979571,5.36416056919897e-05,2.51136066371505e-05,6.0781696031853e-06,0.000203985595596645,5.12763200395394e-05,3.9504607543428e-05,9.33282914934441e-05,9.17796112835934e-05,3.26452049659309e-05,1.9449628614554e-05,0.000170586001265072,7.19430669640087e-05,7.56024105987851e-05,2.51809830806859e-05,0.000227184466779162,0.00010375850010691,4.08085800689406e-05,3.37398225738195e-05,1.73656768627239e-05,2.72891740324965e-05,2.12253996503264e-05,0.000103199182035052,6.49198562421294e-05,1.15773730928748e-05,3.10838751591547e-05,0.000250558893548192,6.94648926402586e-06,0.000101381802309897,9.93289487043469e-05,2.89438800749053e-06,3.90723228158585e-05,4.72347664199901e-05,2.22283507134158e-05,1.1809058717116e-05,8.60152371180423e-05,0.000184744530771219,4.97794147464869e-05,4.96661940889709e-05,0.000409357721219639,4.16772900750928e-05,7.32202035997886e-05,0.000215106206600035,9.14548182309183e-05,8.76955282913539e-05,8.07453657891699e-05,0.000100371384393894,2.83641847500515e-05,9.65323193558021e-05,2.08396286378587e-05,0.000278760175826731,5.05191720807652e-05,3.06786134658399e-05,2.60491965169418e-05,0.000129197210301912,4.34157610507135e-06,1.73663421176862e-06,3.4732714395691e-06,3.1754908694781e-05,0.000108370124523693,0.000632287449493285,3.76251925375826e-05,5.17819341316894e-05,8.8,103,90,290.22,0.0452,6.3,0
"SLC-41",0.000731542007377239,6.66213037703312e-05,0.000101412264463807,1.83427713811302e-05,4.00806483435989e-05,1.52856911050936e-05,0.000124720921719002,3.2099486624082e-05,0.000173893878782749,9.78042279120572e-05,0.000134486653659893,0.000171157637480768,2.32330265566016e-05,0.000121341259567531,6.74764465464772e-05,3.20078331388363e-05,9.26145749335916e-05,0.000118179186098688,5.82562606774584e-05,0.000184968106214267,0.000149516668477512,2.30452075380416e-05,0.000124868706031789,0.00017726619487779,3.5711994222698e-05,4.58549179203072e-05,1.10056785294077e-05,2.59852256232485e-05,2.70773833550564e-05,0.000121512778667565,0.000148444237151324,4.14411607867482e-05,1.45804151028273e-05,4.5857968191676e-06,0.000169632982117029,2.26583014435455e-05,2.75132459313099e-05,7.64159346404725e-05,8.12250695456651e-05,4.23875306063692e-05,1.34514212526415e-05,0.000136105640894835,0.000110047472081654,8.3242353408286e-05,2.36930628603194e-05,0.000166806096469241,6.80190566972882e-05,2.13999824969502e-05,1.13552558316243e-05,1.711989703157e-05,2.79508548841623e-05,4.14408243514242e-05,0.000106557646665006,4.65614936910885e-05,1.2228582787932e-05,2.96540478226248e-05,0.000255704510438992,8.83182958055784e-06,7.9162417270684e-05,0.000106385289061262,7.13344795877369e-06,2.67494398846768e-05,4.15769093666807e-05,1.40627868423504e-05,1.52858219450991e-05,6.25454497293898e-05,0.000138175873662938,9.37391649793451e-05,2.01772445940218e-05,0.000608723184164051,4.66881109317807e-05,7.48943846182737e-05,0.000209059304789205,9.52743116435784e-05,7.4897022044329e-05,7.64211858654829e-05,0.000110051493285468,4.89114218205078e-05,0.00010330379154766,3.66864025951319e-05,0.000288991755169166,3.72414343314809e-05,4.17795697151835e-05,2.4457352495233e-05,0.000120442537360654,8.40729932849449e-06,6.11435681574513e-06,2.03813347732229e-06,2.53306615278781e-05,8.28486433248621e-05,0.000699930355042122,1.68142830314633e-05,6.11420593081835e-05,10.1,106,106,138.13,0.0589,6.2,0
"SLC-42",0.000616046358198785,6.92331971245963e-05,0.000105718523718101,1.681255495245e-05,2.24166999682751e-05,1.83403300861862e-05,0.000105450435569976,2.86569534047043e-05,0.000178292699724469,0.000113950322386369,0.00015063144104599,0.000182446692352789,3.88103815318619e-05,9.38189463235428e-05,6.21426222517929e-05,2.75097328847895e-05,0.000113330786567722,0.000100853086696384,5.17798577726047e-05,0.000169023312023953,0.000137364098650172,2.21021401338728e-05,0.000126584215998538,0.000155022342180233,2.77192735747001e-05,3.20948752561279e-05,5.50227182793961e-06,2.17794794203918e-05,3.27508229032158e-05,0.000118064326341427,0.000158460238365965,5.70598096560904e-05,1.69301186183635e-05,8.02417405409983e-06,0.000178286064887345,3.34426780979058e-05,6.30362108267057e-05,7.27811952516699e-05,7.46688720898447e-05,5.01245866728617e-05,1.8340698663355e-05,0.000190036628447965,0.00014146854065844,5.78412573251086e-05,2.40725681561749e-05,0.0001414741724306,9.62845316296868e-05,2.29259258883729e-05,1.04806439704674e-05,1.46726800283048e-05,2.88206867358198e-05,2.75110265215428e-05,9.95610743290687e-05,3.87973947317821e-05,4.58528048552509e-06,3.34712328708964e-05,0.000204763823142828,1.1208310530586e-05,9.16791135017192e-05,9.99565511048406e-05,3.05686066526256e-06,3.32419483521917e-05,5.0436528303166e-05,1.19215066916034e-05,9.17051752136189e-06,7.89938695004988e-05,0.000128382402035276,0.00011307793779336,2.75113927856729e-05,0.000548195629609616,3.25119677662133e-05,5.9604869709462e-05,0.000201233710829252,9.47548475416227e-05,0.000100867103835833,5.15811819268297e-05,9.26167168109338e-05,4.73786342831684e-05,0.0001026854733297,4.12672300384997e-05,0.000214236226664832,5.50230179876543e-05,3.97360493529231e-05,3.20968722971049e-05,0.000131128699927263,1.26094843244662e-05,6.87792861264747e-06,3.05686066526256e-06,3.66808904213034e-05,7.14594402682067e-05,0.000689437211679467,2.2161848843627e-05,5.41890322032224e-05,9.1,127,107,94.08,0.0477,6.2,0
"SMI6-127",0.00121973521424956,4.951224866101e-05,6.84182008134915e-05,1.07043905250848e-05,5.39170039361991e-05,2.79489023096158e-05,0.000116308467626558,1.87320711539929e-05,9.67298617511325e-05,0.000109057274111368,7.84939034943477e-05,0.000114874113073427,2.56877053830262e-05,0.000104295757215489,5.70729971245409e-05,3.0220790502522e-05,0.000104208452350596,4.75698838897642e-05,8.93806815494003e-05,0.000239646126780402,0.000367911798262455,3.67757274519764e-05,0.000104308359873073,0.000163131817645157,6.07925463418368e-05,5.64871304202796e-05,1.7126366925968e-05,2.63143389844789e-05,4.48547886118256e-05,0.000126662227483809,0.000120272320210946,5.15384716184286e-05,1.20766847535592e-05,1.24882779080071e-05,0.000183222174680475,3.52599927386787e-05,5.44045438815033e-05,6.11007862127977e-05,8.46043497826354e-05,3.99609098975517e-05,4.28175264510777e-06,0.000198317649597879,0.000110089153945614,0.00011032338916328,3.47883323323916e-05,0.000219133095378021,9.187490603213e-05,3.03284789606728e-05,1.22334384762279e-05,2.14075818671944e-05,2.95636389713305e-05,2.77518697506807e-05,0.000108058851920001,2.74464618086334e-05,4.40049359535788e-05,2.35492196842824e-05,0.000229501723704839,1.98222304628182e-05,5.77980485949592e-05,8.06362644951708e-05,1.18937672488606e-06,1.42723785352405e-05,3.35394537549494e-05,7.84984632384855e-06,2.56901135797794e-05,7.9035814487538e-05,0.000174112118727976,9.6323630458528e-05,3.35399884179299e-05,0.000897620866675553,8.0439259461329e-05,0.000114760146431969,0.000221876183639003,9.45515804608998e-05,0.000107031278445469,6.15437908271232e-05,0.000173390215536307,2.97339173755962e-05,0.000176897808392695,5.70896160079215e-05,0.000300966498933075,4.67087837741076e-05,3.211068920983e-05,0.000110607724155942,9.77633960363988e-05,9.81217112649979e-06,5.35219367092665e-06,2.37875486464034e-06,3.46611866235413e-05,6.7174171412443e-05,0.000590654019043457,2.2597720681139e-05,5.25476247992263e-05,8.8,86,126,257.9,0.0405,5.9,1546600000
"SMI8-298",0.000851212084217456,5.75484351814648e-05,8.81744613061564e-05,6.18466443214061e-06,4.78253064599699e-05,2.04088832778115e-05,0.000155826172396623,2.22645799072829e-05,0.000103895278408483,8.58641880701061e-05,6.2551128416688e-05,0.00015359575121443,1.31111620513824e-05,0.000114176192584692,4.87790382464048e-05,3.27393549413024e-05,0.000103312809561995,3.8342037021355e-05,2.00808511401362e-05,0.000136411254368696,0.00025143493107227,3.12063969201137e-05,0.000125773219529002,0.000182785351429349,2.36129421986586e-05,3.8960726591597e-05,1.7069322811647e-05,1.06684612828367e-05,3.60472674751922e-05,0.000137288384365553,0.000104941975090478,6.84424358197155e-05,1.65556059905647e-05,3.71077479144333e-06,0.000150191449739046,1.83354355860477e-05,1.76254457813219e-05,4.7774780746801e-05,9.01028748268029e-05,4.65047577917765e-05,5.93727932374222e-06,0.000179052601850804,8.05728243016279e-05,9.87568592956123e-05,5.00947282648934e-05,0.000173851091314736,0.000115029055496318,1.29876274321816e-05,1.80237466960165e-05,2.44900876136267e-05,3.28664564122061e-05,2.63871987820075e-05,0.000133051436446596,5.08078285412772e-05,2.96849591601145e-05,3.07988441663465e-05,0.000270207112785581,1.89658037075269e-05,5.52848679717943e-05,9.94475656577176e-05,2.47387587082315e-06,5.56621554559378e-06,4.00751908271602e-05,8.90582204804424e-06,1.85537830865723e-05,7.19217182969523e-05,0.000121709986733665,6.92623289586525e-05,2.74596712297459e-05,0.000602801891485205,8.43255868856474e-05,8.96707266788699e-05,0.000226649791517985,9.95679749002942e-05,9.46152149201573e-05,5.28716114263084e-05,0.000126900864770851,2.72121817135318e-05,0.000183222254376059,3.71082023238323e-05,0.000279963791523175,4.1155317076047e-05,2.47377856943398e-05,8.90564195783483e-05,9.05392576115993e-05,8.34930739701534e-06,1.85540632946513e-06,4.9477395016595e-06,1.90839346279059e-05,5.96244199344564e-05,0.000672305549465735,1.85536674297548e-05,6.20697537514481e-05,10.1,154,95,0,0.02794575,7,0
"SMI8-297",0.00065369374650226,4.30701573621572e-05,5.0020349980473e-05,6.83032261972194e-06,9.16305796085926e-05,1.75019578796398e-05,0.000151605658000875,1.47276981599109e-05,0.000113260716324337,0.0001499778980385,9.58632833416573e-05,0.000114216234348818,1.92942590782064e-05,0.000103239520698795,5.10821725268062e-05,3.58560915492134e-05,0.000145101752787147,2.56125497837267e-05,5.48342076005515e-05,0.000174921078024193,0.000266261004010504,5.8966712457087e-05,0.000147293712614571,0.000203431895413386,3.00360246749953e-05,6.74357680601201e-05,2.04899112710155e-05,2.24117291043324e-05,2.12225195921345e-05,0.000178637325132014,0.00011852400026946,5.46417208577843e-05,1.73382077355289e-05,4.48239026673569e-06,0.00015447859603257,2.22984340918497e-05,2.94538158482904e-05,3.96993632005849e-05,0.000122181793381637,5.46362980529125e-05,2.04909844780943e-06,0.000210972207049798,7.46415413228618e-05,7.72289290442707e-05,5.44272491787012e-05,0.000236344762226448,0.00015942756728804,2.30517664558949e-05,1.17091118163604e-05,1.79291384307945e-05,3.36626916450644e-05,1.99216054779239e-05,0.00012988895763888,4.29506344514774e-05,5.37842323016235e-05,3.5345592286351e-05,0.000268870523884024,9.67616164082585e-06,7.09368831790513e-05,6.813106014536e-05,2.56137590293193e-06,1.21664244887576e-05,2.45888549399442e-05,8.70863048407777e-06,2.20277252609424e-05,0.000120563132930629,0.00021000877647781,5.4637585533257e-05,3.12481959392485e-05,0.000432367806935119,8.24218577175628e-05,7.896953363562e-05,0.000244786231763605,0.000111411878505496,0.000101162231416874,2.94551769695062e-05,0.000124474089680415,4.35416978687986e-05,0.000177681053772805,3.32979567181368e-05,0.000295212695251124,4.42413465959746e-05,3.07346827890242e-05,2.81748222159539e-05,6.8642921868145e-05,3.84205975390017e-06,2.56138027654451e-06,5.12276711384096e-06,1.09772665215502e-05,4.76915298670555e-05,0.0006334664735137,1.45142294656342e-05,5.8677228887305e-05,10,88,106,0,0.0300315,6.8,4712000
"SMI8-296",0.000700449836852135,5.73349626036279e-05,6.88960645189862e-05,2.55192529996506e-06,7.74013944022656e-05,2.42423078864462e-05,0.000150027991992596,2.48807289469077e-05,0.000123332865530124,0.0001596215320252,0.000110452397913408,0.00012859276219257,2.39859933146569e-05,9.89318470885348e-05,5.31045226326299e-05,3.19705085618516e-05,0.000127100614479403,4.59301723794159e-05,5.67330974983182e-05,0.000227333976782429,0.000303508591030122,5.00498120252768e-05,0.00013885631385846,0.000198658506442184,4.40146358102744e-05,5.86839569014508e-05,1.30145471874954e-05,2.48805091822568e-05,3.82779055316806e-05,0.000155969445158277,0.000107156395506181,5.18882267050991e-05,8.83352515246294e-06,3.82788306585446e-06,0.00016315749731155,2.16157043195775e-05,1.72248456067337e-05,7.51153830673701e-05,0.000115906408051814,5.10330045999652e-05,9.18684433792727e-06,0.000194907603066508,8.85817773894626e-05,0.00010834742691701,4.78461594348722e-05,0.000212139996439431,0.000146401805286578,7.6557514792075e-06,1.09367680920514e-05,2.98551148181225e-05,3.60895164415176e-05,2.97721507034332e-05,0.000130142545070155,4.12222491574799e-05,2.16908693264628e-05,3.44496626982771e-05,0.000306143873765041,1.36099462844097e-05,6.58306608849468e-05,9.72232577207688e-05,3.8278806238079e-06,1.14835173272709e-05,3.29191288970243e-05,8.42127856737207e-06,2.52636616482338e-05,0.000101274633713233,0.000199033290869233,7.52743958272184e-05,2.14356657666226e-05,0.000451149137421725,7.86409543922506e-05,9.82383411463061e-05,0.000262124991494694,9.31404138997394e-05,0.000110993000332238,5.64551558759341e-05,0.000155396458372703,3.18978933122605e-05,0.000140050901557665,8.42118744079912e-05,0.000311062215776703,3.47986100199815e-05,2.93452778026282e-05,9.18666149547498e-05,8.49756639749177e-05,2.87090909423249e-06,5.74182643031662e-06,1.02076816637098e-05,2.40608668389264e-05,7.57585490929191e-05,0.000531715080670736,1.53112636456232e-05,7.65538361389151e-05,9.7,139,96,78.22,0.01923375,7.1,0
"SMI8-294",0.000830428067262634,5.02635108174943e-05,7.139910360765e-05,5.89259565897393e-06,7.59419503306713e-05,1.66952570628265e-05,0.000135509630734276,2.35698791810623e-05,8.90378644344825e-05,0.000166622842836084,7.74428773617775e-05,0.000104872551463853,1.13917394648499e-05,0.000107875490318321,5.19138998475999e-05,4.22830503838956e-05,0.000135842464662472,3.5352553467094e-05,5.61434209638279e-05,0.000166858424703875,0.000252387663984388,4.77364496702659e-05,0.000150903960202786,0.000208840595265603,2.7587098225812e-05,7.06935397880581e-05,1.2963672950006e-05,2.50427991679292e-05,2.02027939721905e-05,0.000191487122413347,9.25793928341356e-05,5.89242167241544e-05,1.72239669891106e-05,5.89259565897393e-06,0.000150059242814082,1.80238660194565e-05,2.79880381157671e-05,5.37665441651125e-05,9.59508244728902e-05,6.12741763885705e-05,1.41420101418266e-05,0.000225407360050722,8.75411474039467e-05,8.61175995297003e-05,5.45049876115034e-05,0.000201999436880707,0.000136992926034196,3.24077961797453e-05,5.05077431189882e-06,2.59255419585713e-05,3.03037190751976e-05,3.01173815087097e-05,0.000121210427906027,4.71393551191301e-05,1.57134572524864e-05,3.71215922814194e-05,0.000264117239482164,9.16595085476146e-06,7.3647694325496e-05,8.72068648989366e-05,3.92839324780958e-06,1.47312417577705e-05,5.53880342109014e-05,5.89255399252586e-06,3.18193874304651e-05,9.06422191113698e-05,0.000212103164638044,7.07035567475423e-05,3.53543865236894e-05,0.000629327886652931,6.53481947452406e-05,6.97243192375741e-05,0.000278599994837592,0.000107039747132331,0.000106054745232953,3.6825612411695e-05,0.000172048329939667,4.71388209943857e-05,0.000154331589913514,7.66025630949407e-05,0.000264599086754913,3.42834675390868e-05,3.53533172399167e-05,8.24931797220874e-05,5.89241025763521e-05,7.36569791603969e-06,5.89259565897393e-06,3.92839324780958e-06,2.02027344553546e-05,5.68901384390141e-05,0.0006633137100438,1.57129017479551e-05,7.49938973858555e-05,8.7,123,124,101.96,0.058401775,7,0
"SMI8-293",0.00110704341243606,5.0434400250543e-05,5.96860106285568e-05,1.33956622347942e-05,5.80441361544004e-05,1.17210369354748e-05,0.00016373806097647,2.51160613675694e-05,9.15304165347575e-05,0.000139171318463305,7.46282460173386e-05,0.000104469399429208,3.3148166376451e-05,0.000149149242345992,5.48459334608342e-05,3.36823361977157e-05,0.000109265607141529,2.51157039057315e-05,9.09761577023716e-05,0.00021243371650348,0.000271254513622976,2.98804489318183e-05,0.000124837554028812,0.000202244611163582,6.95998665469766e-05,3.93454759437528e-05,1.30607621833256e-05,3.95567636970462e-05,3.44455436822599e-05,0.000184591226628283,8.32289673260433e-05,5.02328684908182e-05,1.62293160441696e-05,1.63258279830547e-05,0.000205902865545893,2.65933910081895e-05,3.3904896109993e-05,6.34148521270195e-05,8.89745649905738e-05,4.28626938702159e-05,4.01869496924334e-06,0.000226973628795868,6.88878333403586e-05,0.00011281628872295,5.02318326724982e-05,0.000192286404979036,8.41377127598353e-05,3.26505599377303e-05,1.43523687403668e-05,2.31060967486041e-05,3.87506514096803e-05,3.34886873827323e-05,0.000124143100449725,4.1732091941693e-05,2.00930812119804e-05,3.36540894900761e-05,0.000303827275938584,1.33954547627546e-05,5.87677392343e-05,0.000109506609800247,3.34892817566157e-06,1.63259289152062e-05,3.81765687178515e-05,7.03272174762404e-06,2.5116518054924e-05,7.88169130774286e-05,0.000148684847460334,6.69729399462859e-05,4.21951143041444e-05,0.000830392901872035,0.000100457806794019,0.000113846608101875,0.000243057230912891,0.000113855771339377,8.79004911125136e-05,3.76734139941881e-05,0.000175799175151869,2.84655908959763e-05,0.000182783408739562,4.52105682262616e-05,0.000357053707562338,3.65330743239412e-05,2.17673084002001e-05,4.01864652146422e-05,0.000112514173569167,1.25582609173946e-05,0,3.34892817566157e-06,2.43991436537083e-05,5.81976795828165e-05,0.000545471910387896,2.34418664142311e-05,7.39781128524797e-05,8,111,83,203.65,0.0254304,7.7,124340000
"SMI8-292",0.000760742609242193,4.69422249675944e-05,8.17773503749564e-05,2.52780852920687e-05,5.33638538637859e-05,2.52777791198699e-05,0.000136488025928472,3.63367813012161e-05,0.000141820575091156,0.000162438235660201,0.00014081768702523,0.000120056896565135,1.60091393370809e-05,0.000127357790885796,6.52760214447934e-05,4.46047019151408e-05,0.00010702179515687,5.47636789958172e-05,0.000131532013593061,0.000223765904966866,0.000246902310327757,3.33768087548147e-05,0.000111921046017205,0.000201580855739403,8.20998427328856e-05,6.95060978530559e-05,1.39028452081913e-05,4.58140867733992e-05,3.61117536191724e-05,0.000137442368343343,0.000182309933789648,4.49392127259696e-05,1.84722479112942e-05,7.89955432312084e-06,0.00023056748983219,3.1968321865028e-05,2.21181066422105e-05,8.37288789918844e-05,4.51359255313477e-05,5.56072915667283e-05,5.05568840813986e-06,0.000192046071700203,8.66628059676966e-05,9.33253840522674e-05,6.16114661260436e-05,0.000341121840843117,0.000118486689030028,1.26391091981315e-05,1.80561147944402e-06,1.39028452081913e-05,3.97224484747216e-05,4.07260846229107e-05,0.000110136639815073,4.18052167598937e-05,1.68519414871504e-05,3.09650111225412e-05,0.000296947242299783,1.12347025980064e-05,6.19261259668935e-05,9.47900171199834e-05,0,1.73785867114695e-05,4.55004705106621e-05,1.8958683772663e-05,2.40144360772465e-05,7.48546772753045e-05,0.000235072671492809,7.79336424732158e-05,5.5610799482686e-05,0.000629277669292438,6.66402223714613e-05,9.05716881511864e-05,0.000245129610167538,9.0577556428828e-05,8.53057267140578e-05,4.58147455018043e-05,0.000170610637074686,4.84486163818687e-05,0.000131414178691447,8.21533512671557e-05,0.00032397696647779,4.48113165558706e-05,2.31707972486728e-05,6.31954661594047e-05,0.000112478251237613,9.47943673224039e-06,0,4.2130985233868e-06,3.43057835474614e-05,6.23203230096792e-05,0.000526364127090506,2.73842196769625e-05,8.50239454723845e-05,12.5,136,146,178.98,0.010646645,9.8,81420000
