"","control","inf clin_score 0-2","inf clin_score 3-5","inf clin_score 6-8"
"control",394,254,164,188
"inf clin_score 0-2",409,231,147,213
"inf clin_score 3-5",410,250,170,170
"inf clin_score 6-8",404,263,152,181
