"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000020495",4.16146784292667,7.17054613849002,21.2580894402457,5.8174732640712e-18,2.33026461415548e-14,8.63608009319231
"ENSOARG00000010283",4.09728338910345,10.0904694518808,21.1376374950643,6.96825136418592e-18,2.33026461415548e-14,8.61542518232176
"ENSOARG00000014731",5.55031638753779,5.99071100433344,21.6066474599467,8.76039328629878e-18,2.33026461415548e-14,8.58916461178869
"ENSOARG00000010231",6.97083876972169,6.35548350793228,20.8530607350037,1.35897786536596e-17,2.7111608414051e-14,8.53856598062908
"ENSOARG00000014800",4.09012865054662,8.45041891781679,20.1863101698484,1.27160678435374e-16,2.02948442782856e-13,8.27620717551303
"ENSOARG00000015177",4.39324081103694,9.22512495983559,18.3925886239445,2.79868048215557e-16,3.59508740849441e-13,8.18169959680158
"ENSOARG00000006142",2.93031757694082,9.51451062711339,18.0761441279594,3.15358544604773e-16,3.59508740849441e-13,8.16730360523418
"ENSOARG00000016787",3.97767210262458,3.22881947625207,17.5044176310604,6.6014427682841e-16,5.95847482594637e-13,8.07767283722269
"ENSOARG00000013421",3.59730006092873,8.78487790279963,17.8502066938532,6.72008439016507e-16,5.95847482594637e-13,8.07549975251148
"ENSOARG00000003341",5.3734230821676,7.27972809652335,17.4780142760662,7.82005771810889e-16,6.06438641872352e-13,8.05698291180316
"ENSOARG00000013440",4.04917869153747,8.1589602740081,17.5357004712331,8.55818287957136e-16,6.06438641872352e-13,8.04594585205285
"ENSOARG00000000530",2.97344885380626,8.88735338680561,17.3710985693938,9.11937807326846e-16,6.06438641872352e-13,8.03816500062138
"ENSOARG00000012500",2.83714016198776,10.1644486186728,16.9260217631941,1.47749019328527e-15,9.06951672493575e-13,7.97881149203196
"ENSOARG00000002881",5.21137686523634,6.45154520229866,16.5825970685131,2.4102280954395e-15,1.37383001440051e-12,7.91817457281977
"ENSOARG00000018383",3.68219356515386,6.28920886722547,15.7356016790046,8.72768419570808e-15,4.611346122229e-12,7.75654137863735
"ENSOARG00000009740",3.60580734550757,6.58613069106961,15.6939014574023,9.2458067613614e-15,4.611346122229e-12,7.74922088522647
"ENSOARG00000000942",3.34735040467222,8.98375124436314,15.7838921986258,1.00136206444383e-14,4.62916103139032e-12,7.73908324343043
"ENSOARG00000006790",2.75224771232609,9.01604092836874,16.0869002375932,1.04417166121586e-14,4.62916103139032e-12,7.73375833176074
"ENSOARG00000020160",2.32752175027784,11.0935649890546,15.4517534395371,1.43251710375917e-14,6.01657183578853e-12,7.69342141134741
"ENSOARG00000001138",4.09742710538633,6.33852147578519,15.3648703528319,1.60217139355405e-14,6.39266386028066e-12,7.67909440281066
"ENSOARG00000007233",4.45621501596629,7.2125410530011,15.2440372768663,2.60745126352392e-14,9.9083148013909e-12,7.61645118849508
"ENSOARG00000007427",2.96575480220371,10.0526585536895,14.8997617492817,3.27729848839625e-14,1.18876554260918e-11,7.58686831721725
"ENSOARG00000020153",3.17359815965659,6.19963874243027,14.8079094324732,3.58827191428662e-14,1.2449743424351e-11,7.5751086534519
"ENSOARG00000016617",3.8124394169686,5.97206730565777,14.6712508196204,6.07817840640175e-14,2.02099432012858e-11,7.50638650965684
