"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000013440",2.88611570657262,8.50900114352984,10.8869932315961,3.51020843765064e-11,2.81764431290217e-07,6.6234036141551
"ENSOARG00000013421",2.4724897844681,8.93525008842175,9.4233518300222,7.19510433223365e-10,2.29840114164056e-06,6.16173752444913
"ENSOARG00000015177",2.64755262874592,9.67541582097758,9.31659799784097,9.064054230281e-10,2.29840114164056e-06,6.12507562957904
"ENSOARG00000014800",2.69991391805538,8.52203697566751,9.20912746500654,1.14533506497598e-09,2.29840114164056e-06,6.08771501318855
"ENSOARG00000000530",1.99012707546889,9.06450612804802,8.95832476135099,2.23636848026131e-09,3.59026595821151e-06,5.97963595251182
"ENSOARG00000020150",1.64694834538658,7.26529169707964,8.61796411606151,4.26231730928386e-09,4.64020654149998e-06,5.87367767808658
"ENSOARG00000000942",2.07852338855165,8.75927352805445,8.55647796191588,4.89955772358378e-09,4.64020654149998e-06,5.85054809008791
"ENSOARG00000009740",2.34067110209539,6.80870450537364,8.58250901706453,4.96008616952618e-09,4.64020654149998e-06,5.84850571037058
"ENSOARG00000018615",1.41394594821943,11.0530346297925,8.96066279719406,5.20267333667620e-09,4.64020654149998e-06,5.8405565106234
"ENSOARG00000020971",2.21966943126679,5.51079881399723,8.38259984758813,9.2532397588441e-09,6.31524450591525e-06,5.74387812816581
"ENSOARG00000007427",1.66762736827486,9.90169594171326,8.26961570141135,9.78411368492266e-09,6.31524450591525e-06,5.73442945430965
"ENSOARG00000007233",3.33936087791941,7.36834700091151,8.22471922346301,1.04812164749544e-08,6.31524450591525e-06,5.72275207363381
"ENSOARG00000009097",2.82141416812487,5.89402519104154,8.22250637333609,1.05350301139468e-08,6.31524450591525e-06,5.72188227332184
"ENSOARG00000000904",2.62544000162832,5.10864039787249,8.20328668286718,1.10145039345725e-08,6.31524450591525e-06,5.71431772203567
"ENSOARG00000006142",1.76666001700433,9.45377211201099,8.16323526141597,1.21535523163571e-08,6.50377096289322e-06,5.69755816664996
"ENSOARG00000013480",0.901011020643027,7.20380043173717,8.21239731221265,1.37686876661228e-08,6.90757849349797e-06,5.67624086013441
"ENSOARG00000001138",2.30854949350589,6.80673369364361,7.92576463511976,2.13098863675012e-08,1.00620269336431e-05,5.60101616299102
"ENSOARG00000006503",1.58693905631038,6.65198274280177,7.67941485960005,3.77537289239918e-08,1.68360656707157e-05,5.5010494531266
"ENSOARG00000020160",1.28911816555771,10.9705839377713,7.64484473674356,4.3835559012261e-08,1.85193701153379e-05,5.47465872059966
"ENSOARG00000015169",1.62700467520483,10.0621242451656,7.90857011545873,4.84119737377287e-08,1.94301456596374e-05,5.45704645181496
"ENSOARG00000006626",2.62784034748843,4.38508234912905,7.50452087280412,5.8877868634157e-08,2.2505364358399e-05,5.42217599907103
"ENSOARG00000014636",1.99053536605589,8.45070067517199,7.39392690505028,7.4996057652396e-08,2.73633343079901e-05,5.37877093014803
"ENSOARG00000003341",3.40808056294682,7.47726173222475,7.48316354033023,8.11528451712885e-08,2.83223429647797e-05,5.36454651551252
"ENSOARG00000008115",1.16405231384993,11.1222722495899,8.31893507770044,9.40913931796498e-08,3.05121284699338e-05,5.33778026191567
"ENSOARG00000016782",0.559077272838076,8.2067233750348,7.29587098892515,9.51611785394136e-08,3.05121284699338e-05,5.33572950214459
"ENSOARG00000010231",3.96870203099037,6.44279096801763,7.28466216797554,9.88308633634334e-08,3.05121284699338e-05,5.32886050820525
"ENSOARG00000012500",1.5067349121467,9.98842222321153,7.15967259275177,1.32732972130234e-07,3.94610210107181e-05,5.27503193430779
"ENSOARG00000013952",1.25981194313019,6.86725165726183,7.56356383692211,2.12178793760928e-07,6.03234295059247e-05,5.18833838188713
"ENSOARG00000000888",2.31276090344866,6.50049987719299,6.99933698360876,2.19883283666823e-07,6.03234295059247e-05,5.18169098694215
"ENSOARG00000010283",1.83976609401842,10.2469851571004,6.94474281059857,2.25451960281268e-07,6.03234295059247e-05,5.17702504592343
"ENSOARG00000005557",2.46084042976041,4.57595472167773,6.83159658066314,2.98635663244873e-07,7.73273699634387e-05,5.12430599139534
"ENSOARG00000002164",1.90104831742042,5.90674419571018,6.76509712451908,3.52533830574902e-07,8.8430908063273e-05,5.09295046395536
"ENSOARG00000002881",2.27600716399445,6.99575537058035,6.80065572645909,4.76392066492048e-07,0.000114162197310939,5.03558484104132
"ENSOARG00000006911",1.69176503895413,7.65556540334519,7.00048769401879,4.83557332574052e-07,0.000114162197310939,5.0327246889752
"ENSOARG00000018383",1.79336744741213,6.3655770325721,6.55728960802769,6.25624863938568e-07,0.000143482593795282,4.98313432783703
"ENSOARG00000016787",2.04469037547516,2.73125558108562,6.98068994100316,9.01906295567361e-07,0.000194796417321823,4.91191613767808
"ENSOARG00000008178",1.37467719300862,10.6454853443854,6.97937860792913,9.07311652231315e-07,0.000194796417321823,4.91074467503598
"ENSOARG00000001815",2.56556878989874,4.07987842408269,6.39267286578808,9.22170656313599e-07,0.000194796417321823,4.9075586879507
"ENSOARG00000007258",1.23560049131021,2.46606513537109,6.36948033376127,9.55787443541051e-07,0.000196720661777026,4.90052941739701
"ENSOARG00000005289",2.50007891247987,3.25734656278762,6.33363285642304,1.04706244920782e-06,0.000209378355632936,4.88258092615959
"ENSOARG00000010903",0.586961586642669,9.47675855345566,7.21638151833515,1.06945466313073e-06,0.000209378355632936,4.87840811095279
"ENSOARG00000017761",1.08743522475993,8.29422078331351,6.38068184904302,1.15954561001527e-06,0.000221611252656966,4.86242800200338
"ENSOARG00000011287",1.36137302212468,6.69297931684819,6.28300993045281,1.19126420257821e-06,0.00022237855242082,4.85708507450508
"ENSOARG00000016798",1.41845845631921,9.38096838310194,6.52388682894549,1.29492218172419e-06,0.000236235008015911,4.84053166778383
"ENSOARG00000020495",2.35738388774894,7.22857791906324,6.22890011165337,1.42070173839522e-06,0.000253421618979965,4.82207827027146
"ENSOARG00000009446",0.644410470378303,7.59850490877261,6.19548714101283,1.48988381682406e-06,0.000259984726035798,4.81258780070321
"ENSOARG00000014731",2.71338582292826,6.46187997498799,6.05428331204444,2.31322020518211e-06,0.0003950684805744,4.72393707338427
"ENSOARG00000003217",0.491660020414893,8.73056335154787,6.76411779075678,2.55683337860876e-06,0.000427577115210261,4.70354449837478
"ENSOARG00000016027",1.04305270678376,7.77349312134883,5.93874948840454,2.88363501565765e-06,0.000472386495320082,4.67893879228606
"ENSOARG00000005012",-0.591528767317159,9.11713372754307,-7.03754812023764,3.9711229173709e-06,0.000637524073154724,-4.61288800922969
"ENSOARG00000020153",1.58272686083171,6.34299237699529,5.7930333597134,4.29788607264687e-06,0.000664780059679448,4.59643129266477
