"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000020495",3.10896427617891,7.37475661145083,15.5393193317653,3.0060574073632e-15,1.36010454030474e-11,7.8906545281742
"ENSOARG00000003341",3.95895671189697,7.44634295420873,16.5294868007083,3.37202067758706e-15,1.36010454030474e-11,7.87630591047102
"ENSOARG00000013509",2.63645860208138,8.72942613071124,13.636476241843,7.0284300184864e-15,1.88994483197099e-11,7.7839684359647
"ENSOARG00000014413",2.30646301169714,9.59311877415879,21.6418925650507,1.80792606206927e-14,3.6461348856782e-11,7.66359983832373
"ENSOARG00000007233",4.0314947229671,6.9957887779018,14.6870585787342,2.34238285263994e-14,3.77920049444928e-11,7.63028335804847
"ENSOARG00000010231",4.59256997821313,5.84065274454141,13.4478145588841,5.36480507486902e-14,7.2129804231614e-11,7.52272045405976
"ENSOARG00000012500",1.86673190611262,9.70758245447036,12.2584680678065,3.78314954703859e-12,4.35980962799433e-09,6.94505423554425
"ENSOARG00000012740",-1.32024912699855,8.52846961648344,-10.6789446972904,4.43628663844459e-12,4.47344053904157e-09,-6.92253610894696
"ENSOARG00000003421",1.44413256580869,8.55347279376736,13.7576796876949,5.14383700311051e-12,4.61059256712139e-09,6.90154941994279
"ENSOARG00000005557",3.26324839491144,4.41411567226688,11.53164185086,8.02732575259633e-12,5.81139009999026e-09,6.83805914550416
"ENSOARG00000007427",2.20653028519397,9.66709341745619,11.8640767605035,8.57200910696078e-12,5.81139009999026e-09,6.8286455196591
"ENSOARG00000000888",2.58491905595366,6.61242257563706,10.8730527206733,8.6446859055266e-12,5.81139009999026e-09,6.82743402698541
"ENSOARG00000013440",2.23834905107836,7.99060811017053,10.9208531276712,4.26581390644074e-11,2.52273443538737e-08,6.59453826264361
"ENSOARG00000013421",2.12915765661766,8.67718280307194,10.8084187582578,4.37811851932852e-11,2.52273443538737e-08,6.59068162058146
"ENSOARG00000002251",3.17501380354564,6.46080346276708,9.63838766511026,5.5389806226524e-11,2.97886377886246e-08,6.55567753862191
"ENSOARG00000020150",1.98585020023995,6.65987297758196,9.49243283845324,7.9822490985657e-11,4.02455021738309e-08,6.50093467508283
"ENSOARG00000006626",2.72792821317915,4.70249430998543,11.1918978863373,9.62365111747524e-11,4.56670550380428e-08,6.47274779785728
"ENSOARG00000020160",1.19079733051793,10.676327754999,10.0425204022973,1.19339322963699e-10,5.34839065748977e-08,6.4401705537072
"ENSOARG00000000942",2.18295481211485,8.37818463675025,9.68082908952622,1.30390368282807e-10,5.53610053124948e-08,6.42671568422475
"ENSOARG00000010964",3.58061363964858,4.98394930570195,10.5075175816983,1.42956425650867e-10,5.76614742862773e-08,6.41270880228077
"ENSOARG00000015153",3.42184361800832,4.64231774006609,10.9318639616158,2.39170285728811e-10,9.1875556903539e-08,6.33381627957297
"ENSOARG00000005289",2.66379935862982,3.19023429155764,8.95361584854191,3.15126455546795e-10,1.15551141677091e-07,6.2911481228574
"ENSOARG00000004611",-3.48914639972741,5.21841856162952,-11.2226650500992,4.53332663054896e-10,1.59001504037558e-07,-6.23446223797253
"ENSOARG00000013903",1.02336888026803,9.53380150310195,9.75704332578115,5.30484522973168e-10,1.78309110284356e-07,6.20981073953918
"ENSOARG00000014636",1.82547216354604,8.11343819374415,8.98175223030577,7.50500545477456e-10,2.42171516014666e-07,6.15505793606629
"ENSOARG00000007603",1.6538500292265,8.94506586001761,9.24175750877457,8.24297691675142e-10,2.55754210720899e-07,6.14017663802661
"ENSOARG00000002173",1.78630935063815,8.30139059927106,9.2677280624382,9.42657919108402e-10,2.81645238275833e-07,6.11882849456939
"ENSOARG00000009097",3.00975461361626,5.64941771935321,8.42565945906532,1.25528510881977e-09,3.61656606173181e-07,6.07301783052992
"ENSOARG00000017138",1.21770040375913,7.52757071997021,8.6499531065191,1.69875180097998e-09,4.72545888913982e-07,6.02426943059413
"ENSOARG00000014731",2.93227466136736,5.56455136668172,8.67068941731796,2.04122909804232e-09,5.48886504463579e-07,5.99449168459537
"ENSOARG00000022544",-1.78830650755251,8.97985027304705,-8.20366803962169,3.06734382918066e-09,7.92555774047776e-07,-5.92795293226402
"ENSOARG00000009740",2.13552114881605,6.12149827537401,8.21120313923646,3.14389299237992e-09,7.92555774047776e-07,5.92390281445781
"ENSOARG00000020971",3.27398777055249,5.05031606946705,8.14662999074289,3.55225258975596e-09,8.68364292168524e-07,5.90379884210345
"ENSOARG00000002231",3.29799700099976,3.37985190510309,8.48813824531659,4.10209017468566e-09,9.73281218799683e-07,5.88002318601689
"ENSOARG00000015467",2.85756677333098,3.58616821771834,7.94263334752417,4.58537024894652e-09,1.0568623370929e-06,5.86156061708309
"ENSOARG00000003068",0.871562536538403,9.37024818633946,7.77951867541831,7.14787919074475e-09,1.60172059532605e-06,5.78741275179423
"ENSOARG00000015177",2.44260880350512,8.82535830364404,7.97628570863693,7.62143140029743e-09,1.66167802989728e-06,5.77662405689991
"ENSOARG00000009103",1.33310352432847,6.9893952118868,8.96904515472119,1.03608631572263e-08,2.1995021865617e-06,5.72471318189792
"ENSOARG00000000530",1.71799572062993,8.482327351947,7.87662857567313,1.13798812584986e-08,2.32992805328627e-06,5.70876511165857
"ENSOARG00000001138",2.32129574133438,5.8884086126914,7.91196245271996,1.15528848557643e-08,2.32992805328627e-06,5.70619616274322
"ENSOARG00000010283",2.03016267862519,9.76228336774366,8.02786857780268,1.23567802731682e-08,2.43127186496701e-06,5.69472931717283
"ENSOARG00000008178",1.23382335812759,10.9855202962869,7.52205401968898,1.44968008755917e-08,2.78442125389044e-06,5.66741490645621
"ENSOARG00000015432",2.3970635825782,4.59410850138724,7.68221252559976,1.89454458795309e-08,3.55425376535293e-06,5.62136505206689
"ENSOARG00000014859",-0.606638868989832,9.99920290174098,-7.41226518543387,1.96437713895881e-08,3.60150690454108e-06,-5.61510958195978
"ENSOARG00000022103",-1.65679403148918,6.75584435290355,-10.0459462638879,2.08791249435427e-08,3.74293113154575e-06,-5.6045545319777
"ENSOARG00000007866",0.727229048977444,11.0753950204327,7.95397932893187,2.20986047926647e-08,3.87542271440056e-06,5.59471376144268
"ENSOARG00000000896",2.4435424629321,3.40123207194608,7.3463262343863,2.35914499151089e-08,4.01629447589593e-06,5.58336088333522
"ENSOARG00000008337",-2.06271097693026,6.12534737785848,-7.341689587806,2.38976242522629e-08,4.01629447589593e-06,-5.58111886862888
"ENSOARG00000018383",1.89567137049667,5.97345038924517,7.82002157483782,2.45066916327009e-08,4.03460166124487e-06,5.57674057624675
"ENSOARG00000015414",1.78132622876939,7.51660221484693,8.08308392893131,2.70216000449626e-08,4.35966495125426e-06,5.55971470006954
"ENSOARG00000007318",-1.29275073670652,7.88165333479887,-8.98607376465549,4.89346034014543e-08,7.7403028556771e-06,-5.4551388103076
"ENSOARG00000006142",1.22068965446443,9.00081466712367,7.59982125631571,5.38381151581015e-08,8.35215528808471e-06,5.43814512390582
"ENSOARG00000016510",1.20898315423343,10.8009005124093,7.6906597407227,5.81400540846063e-08,8.84935502453809e-06,5.42442912227261
"ENSOARG00000018978",1.71976512885942,5.6005112420215,7.23222978697923,6.39469033979558e-08,9.55295684650573e-06,5.40739809757772
"ENSOARG00000002881",2.30686730016266,6.66588961437776,7.4918590425535,6.62297432276721e-08,9.61667407002942e-06,5.40111014298799
"ENSOARG00000020630",0.907494425176501,8.97181649266802,6.97488253234619,6.67576233942789e-08,9.61667407002942e-06,5.39968603989161
"ENSOARG00000007429",0.795265092746453,8.47846014461248,7.60744675426869,9.07116832858047e-08,1.28380903345015e-05,5.34441069890132
"ENSOARG00000008115",1.02283738541617,11.43904168173,6.84284830087646,9.69456226358405e-08,1.34837989276435e-05,5.33235790740012
"ENSOARG00000006928",-0.912313122648968,9.44161176664871,-6.82736442678475,1.0129226855601e-07,1.38495717023954e-05,-5.32439019168826
"ENSOARG00000001695",-1.29546619945623,8.25384485258945,-8.21088748168072,1.19034963997256e-07,1.60042509094311e-05,-5.29497151514256
"ENSOARG00000003604",-0.853596558760423,9.39587893533329,-8.08261280099144,1.40662743698191e-07,1.86020713674313e-05,-5.26438064781998
"ENSOARG00000008819",-0.739990026419452,10.4938714452062,-6.66022286258931,1.62851608032904e-07,2.11890955161522e-05,-5.23740326325527
"ENSOARG00000018814",1.77294911740801,6.58730992146464,6.65263473158895,1.66410014241355e-07,2.13084061092859e-05,5.23341115162312
"ENSOARG00000019219",0.811579816715329,8.52098361020005,7.12288514983669,1.948142728734e-07,2.45557303010894e-05,5.20421889110717
"ENSOARG00000001326",-1.03067787377828,9.30065835488554,-6.5631671751179,2.14793037739383e-07,2.66574682375939e-05,-5.18605704827295
"ENSOARG00000014800",2.0804704211455,7.48150655901392,6.55241439691659,2.21493554871896e-07,2.70725531386604e-05,5.18033012726973
"ENSOARG00000010295",0.785920269928697,6.94609213620567,6.9302505268396,2.37482118887843e-07,2.85935560159437e-05,5.16731398939358
"ENSOARG00000009042",-1.03237758562878,11.0972497501594,-7.90510850754367,2.69145464390714e-07,3.1929359724116e-05,-5.1438632624235
"ENSOARG00000009399",-0.91183215222353,9.40283753318553,-7.52315576580276,3.37327747662142e-07,3.94380136288479e-05,-5.10130034643189
"ENSOARG00000007148",2.03941306037381,4.77453292808184,6.37083205493597,3.72600300108171e-07,4.29395231567516e-05,5.08244852651466
"ENSOARG00000004654",-0.973810788793535,9.59479832591373,-6.30773228136916,4.46669080853532e-07,5.0750415144302e-05,-5.04791016302966
"ENSOARG00000002088",-1.18395435040109,8.30206700199771,-6.23947952529518,5.43617039905949e-07,6.0104847482867e-05,-5.01024174701419
"ENSOARG00000015169",1.23476886895887,9.89498905579438,6.45889277039606,5.48231190480245e-07,6.0104847482867e-05,5.00861498392474
"ENSOARG00000013642",0.68291786085735,7.91925831774288,6.50305260499064,5.51352264005474e-07,6.0104847482867e-05,5.00752208705932
"ENSOARG00000012768",1.61027233773676,6.4539384464655,6.88758715535348,6.01133036530218e-07,6.46578694091903e-05,4.99085277635454
"ENSOARG00000003243",0.985056984884867,7.66596965554634,6.16533528254089,6.73151979077633e-07,7.14515396739377e-05,4.96895353120386
