"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000007233",2.22817029382231,6.78184942227177,13.0992693627867,2.51991652840233e-11,2.06759151155411e-07,6.67220300742284
"ENSOARG00000013421",1.64774560441549,8.29225045402954,10.6882987473597,5.96334337139812e-11,2.44646161811608e-07,6.54465363057497
"ENSOARG00000013440",1.6072957191275,7.6148925152487,10.4281832175958,1.31189591139674e-10,3.41087307321685e-07,6.42578630689776
"ENSOARG00000012500",1.27935775228057,9.87625082665471,10.6441732566634,1.66282660485892e-10,3.41087307321685e-07,6.38963455844397
"ENSOARG00000014636",1.54125665824763,8.44792272302928,10.819938364691,2.24108138080007e-10,3.67761454589291e-07,6.34383961789585
"ENSOARG00000014731",2.76212873716458,5.32516478421915,9.51262694672283,8.57620491562606e-10,1.03450987398197e-06,6.13387846035068
"ENSOARG00000015177",2.28819864665848,8.65514963125804,10.1769899909514,8.82580026553782e-10,1.03450987398197e-06,6.12931541526136
"ENSOARG00000006142",1.20440306297924,9.03041629048775,9.42258676340838,1.10944618324601e-09,1.13787574169169e-06,6.09281158193216
"ENSOARG00000018615",0.971425267611254,10.7372756119333,9.13200492041727,2.31893655764759e-09,2.11409716172205e-06,5.97372705634019
"ENSOARG00000010283",1.58528390279033,9.49605855286098,11.4794542738855,2.92438441363421e-09,2.39945741138687e-06,5.93578746225331
"ENSOARG00000013903",0.737353945368206,9.43510325529027,9.64413001383077,4.12222087366558e-09,3.07480202440237e-06,5.87921282505206
"ENSOARG00000006911",1.74762603003612,6.26450837842471,11.1210405776576,5.93203717713495e-09,4.05603041986602e-06,5.81866250182663
"ENSOARG00000018383",1.51151506534284,6.05463473008089,8.77463370354986,6.72916955693434e-09,4.23449519128132e-06,5.79754757258825
"ENSOARG00000000942",1.23897842691878,8.40745435883784,9.82632218333061,7.22522031419116e-09,4.23449519128132e-06,5.78560409086151
"ENSOARG00000002881",2.30485549375327,6.07246227351972,8.98979573703823,8.7773648226428e-09,4.80121855798561e-06,5.75280704782167
"ENSOARG00000003341",2.29593066342355,6.57542282845804,8.77152017612801,1.5821756003356e-08,8.11359425047099e-06,5.65240574827365
"ENSOARG00000000530",1.1105048454298,8.42271310172634,9.05329414925133,1.70943201600638e-08,8.25052334784256e-06,5.63909803154468
"ENSOARG00000010231",3.11949958967614,5.18265757016101,9.2031046219728,1.96355864001835e-08,8.9505548007503e-06,5.61518164294871
"ENSOARG00000014800",1.94518413012206,7.96140064088476,8.2272231437628,4.25066785142855e-08,1.83561735373533e-05,5.48010779327658
"ENSOARG00000020160",0.765744695697829,10.6860256842948,7.78981595219865,5.69663792041759e-08,2.33704570685132e-05,5.42807100103165
"ENSOARG00000007427",1.15715007318259,9.54460465645286,8.2317546520554,1.10073001017521e-07,4.30070939689884e-05,5.30925705010599
"ENSOARG00000013613",-0.825520608458168,8.88373864272224,-7.14690121529795,1.3695619646367e-07,5.10784359992913e-05,-5.26928497894451
"ENSOARG00000001138",1.98290473238691,5.89341140383822,7.12278075209335,1.48205939720217e-07,5.28708580610602e-05,5.25477450858123
"ENSOARG00000020495",1.61685771000178,6.65785998212126,7.27510493546404,1.71647492641361e-07,5.86819865467654e-05,5.22768298094779
"ENSOARG00000015169",1.27558407522678,10.2947858935271,7.44585176774197,2.30259358893516e-07,7.55711215888518e-05,5.17308568210256
"ENSOARG00000014648",2.43342075749579,3.50808001186482,7.01632962837336,6.12303680606405e-07,0.000193228911514444,4.98729552585979
