"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000003421",2.22393466923329,8.9591910932661,16.8391908171978,2.48354014937549e-15,1.04240244752354e-11,7.91444723790928
"ENSOARG00000020495",3.5214624049733,7.07144348018927,16.5174098752778,2.64737129529787e-15,1.04240244752354e-11,7.90649490526831
"ENSOARG00000013509",3.18982757921553,8.45683910428075,19.2003274881346,1.4755361631317e-14,3.8732824282207e-11,7.68963651877186
"ENSOARG00000003341",3.75698536011779,6.89173311706717,14.9789254416669,2.6633673086612e-14,5.24350438892674e-11,7.61371062868362
"ENSOARG00000010231",5.1401594335096,5.45581199579303,14.8580334510105,4.8710230998722e-14,7.67186138229872e-11,7.53532975562106
"ENSOARG00000002251",3.6120223310218,6.59158888298192,15.6033159321751,7.91006746408829e-14,1.03819635466159e-10,7.47180748896185
"ENSOARG00000013903",1.10412457382597,9.61191530208367,14.0279867330256,1.22278238808958e-13,1.37563018660078e-10,7.41428984212332
"ENSOARG00000007427",2.04379877669526,9.73059813765074,13.7574850321187,1.91439893964637e-13,1.88448645621439e-10,7.3546417234538
"ENSOARG00000013421",2.17402535015052,8.40493461804339,12.5116110364135,1.8515832626909e-12,1.62013535485454e-09,7.04522780701185
"ENSOARG00000014731",3.03407984901791,5.33697161510602,12.5451434159324,2.31326860980933e-12,1.82169903022484e-09,7.01416464529525
"ENSOARG00000010283",2.39876624656484,9.65732930623217,11.8903982214234,5.13546440049826e-12,3.67652565035671e-09,6.90178078129272
"ENSOARG00000015177",3.03950410252339,8.69509946384492,11.9302867790189,6.64204971081912e-12,4.35884512272505e-09,6.86515198963342
"ENSOARG00000006626",3.57186016950335,4.12812684731025,11.2328753229379,1.78614761231553e-11,1.08199326515267e-08,6.72251465940019
"ENSOARG00000020153",2.0766778882921,5.77140562826304,11.0912931163484,2.36572383953045e-11,1.33071965973588e-08,6.68146060184111
"ENSOARG00000013440",2.20195798804964,7.70589117849766,11.0750707545479,3.5862919227124e-11,1.88280325942401e-08,6.62023462439442
"ENSOARG00000010964",2.88384981238218,5.40911632036194,10.7515771845936,4.59071639766506e-11,2.25949322697577e-08,6.58363879115463
"ENSOARG00000009097",3.20886963383089,5.4929411817616,10.6485272904153,5.63912068857302e-11,2.61223973073603e-08,6.55300346661857
"ENSOARG00000002990",3.35119407481058,6.59148725531429,12.7701700446035,6.46807001087405e-11,2.8297806297574e-08,6.53250022440275
"ENSOARG00000016510",1.28340864157155,10.9535183200899,10.4077971284776,9.16372494171513e-11,3.79812283768456e-08,6.48014049374599
"ENSOARG00000000888",2.64054526274099,5.94441452275944,10.3510630956625,1.02852524256918e-10,4.04981814261616e-08,6.46269786517739
"ENSOARG00000014413",1.78308667165844,9.13436167775865,12.0059388671644,1.4222327292028e-10,5.33337273451052e-08,6.41349233120098
"ENSOARG00000001138",2.75549981317659,5.82343623373731,9.78935418772087,3.29660606230582e-10,1.18003512457538e-07,6.2841460869241
"ENSOARG00000002881",2.80360929096164,6.03698707605615,9.72737877501877,3.7578521308739e-10,1.28665589263617e-07,6.26376767943766
"ENSOARG00000014636",1.57102833469036,8.44761187978885,10.4163806789259,5.31378601929677e-10,1.74358603758175e-07,6.20954609897839
"ENSOARG00000020150",1.51668019414137,6.71434254087171,9.43407522519389,2.15963033230632e-09,6.36441925215054e-07,5.98532136141335
"ENSOARG00000000530",1.41366999313422,8.41174866702187,9.56391525305761,2.16281837603121e-09,6.36441925215054e-07,5.98508127339667
"ENSOARG00000004443",1.03700796535473,9.44295778786794,8.90205158116887,2.25365217060615e-09,6.36441925215054e-07,5.97838167497679
"ENSOARG00000016617",2.31590917990903,5.37525881516689,9.05606068693298,2.26290462298686e-09,6.36441925215054e-07,5.97771406978373
"ENSOARG00000007573",0.967956306192668,10.5346010884216,8.8012644649452,2.82191075684233e-09,7.66294731383907e-07,5.94163623374489
"ENSOARG00000011756",1.78864033543803,7.19909480138421,8.71479074174535,3.42606697007182e-09,8.68433051993753e-07,5.90975991600759
"ENSOARG00000018383",1.74409330725449,6.08766920734512,8.84048420625532,3.4821938140796e-09,8.68433051993753e-07,5.90708250525778
"ENSOARG00000007233",3.20041204497143,6.80992821144866,8.69766608959101,3.56066927670473e-09,8.68433051993753e-07,5.9034086007875
"ENSOARG00000020160",1.01072684329035,10.7261654275801,8.68798564721886,3.63914802740239e-09,8.68433051993753e-07,5.8998125406188
"ENSOARG00000012500",1.52305025726096,9.97813500639985,8.59305857304449,4.50951809783832e-09,1.04448397119049e-06,5.86432927484798
"ENSOARG00000007603",1.38108641060354,9.07905237341322,8.44544680684075,6.30926756161994e-09,1.41958520136449e-06,5.80834692833651
"ENSOARG00000000683",-0.664655177300542,11.589514051942,-9.57270070620454,1.33599802782869e-08,2.92249568587526e-06,-5.68139592420972
"ENSOARG00000019219",0.853087982447287,8.59836541069,8.08618426985997,1.44608177562892e-08,3.07780918461561e-06,5.66784086132325
"ENSOARG00000011041",2.4047253909837,3.38838208438635,8.01913449495302,1.69137987480427e-08,3.50516224054832e-06,5.64092606095859
"ENSOARG00000020630",0.994822779166085,8.81099961093791,7.97116551011966,1.89270272401219e-08,3.82180357733231e-06,5.62153305621262
"ENSOARG00000020808",1.43736428021951,7.44217781187561,8.02022831227474,2.19269028821754e-08,4.31685900492827e-06,5.59606697175048
"ENSOARG00000009740",2.14746386428562,6.02968522556407,7.7376714869204,3.28620688602144e-08,6.21247012346017e-06,5.52546147266626
"ENSOARG00000000942",1.43526989360482,8.43468972997458,7.73421708957919,3.31331739917876e-08,6.21247012346017e-06,5.52401893073262
"ENSOARG00000014627",1.50718135708914,5.57508348590542,8.77800372286831,4.36798806766052e-08,7.9995130308899e-06,5.47528873388062
"ENSOARG00000014800",1.90903609476293,7.72255255203268,8.34911635549953,4.58078739200472e-08,8.19856834364481e-06,5.46685954410116
"ENSOARG00000006142",1.24436472792097,9.02549236303345,7.98977572108647,4.6907783535687e-08,8.20886211874523e-06,5.46265039324621
"ENSOARG00000001815",2.79513388452685,4.28206164545246,7.56122505617038,5.0096871304866e-08,8.57636655490912e-06,5.45096627370934
"ENSOARG00000007011",1.20168288520599,7.41801874519296,7.59238961119526,5.28345381081904e-08,8.8525954808936e-06,5.44149748866783
"ENSOARG00000004920",-0.818591370072252,11.1356643523974,-9.72287751626093,5.56602356911565e-08,9.13175741808036e-06,-5.43221041164837
"ENSOARG00000009042",-1.01324885492445,11.2935148468409,-9.16354457210221,6.61056525200448e-08,1.06241227264358e-05,-5.40144650811187
"ENSOARG00000014536",-1.12389619521567,12.5424163036245,-9.18221541614854,7.51100475647583e-08,1.18298324914494e-05,-5.37849744603604
"ENSOARG00000001244",2.55237792442426,4.91597147228245,7.54456328626582,1.01961489291858e-07,1.57440534935957e-05,5.3231929549356
"ENSOARG00000015414",1.68429275953525,7.36398812110962,7.78103118014311,1.15157985168247e-07,1.74397910230759e-05,5.30101918534782
"ENSOARG00000017601",-0.841554144223865,10.5151739080183,-7.78912656410578,1.26811709612114e-07,1.88423059093472e-05,-5.28339478219701
"ENSOARG00000013642",0.763030793679247,7.88719123673178,7.23627067802986,1.45818034848132e-07,2.12651300820192e-05,5.2577632986193
"ENSOARG00000012852",1.16693615704925,7.70503670678251,7.17456672694835,1.54284333191335e-07,2.20907113433047e-05,5.24737180561853
"ENSOARG00000012768",2.00603763175171,6.63737335518833,7.16631705007455,1.66276081201956e-07,2.32374111852304e-05,5.23355990743771
"ENSOARG00000006528",1.97031896092313,2.97720615076301,7.06332680162674,1.68194595245477e-07,2.32374111852304e-05,5.23144003739379
"ENSOARG00000002625",2.31319474489431,4.08811901471246,6.99420612996574,1.99475594130492e-07,2.70839707547866e-05,5.19982560925824
"ENSOARG00000011811",1.47662050534693,9.58881934377532,7.10593318451188,2.14990175806929e-07,2.86957226182977e-05,5.18588610432859
"ENSOARG00000006356",0.76098629266225,12.294903575964,8.11566772359693,2.26663277622607e-07,2.97495551879672e-05,5.17602485243133
"ENSOARG00000007152",-2.73043115152216,4.67458428100833,-7.96784413504587,2.35854449642124e-07,3.04484228021595e-05,-5.16859970711129
"ENSOARG00000017744",-1.1428979861844,11.4634455477567,-7.59714556656816,2.71804462879337e-07,3.45235507286255e-05,-5.14201703668277
"ENSOARG00000019520",1.04590389585863,7.3500575552745,8.27079705894722,2.83303155833592e-07,3.5412894479199e-05,5.13422888354395
"ENSOARG00000008862",-2.31677864634529,8.49762550001975,-7.80390922555456,3.04261831165584e-07,3.74384675067027e-05,-5.12078782568259
"ENSOARG00000019924",1.07898994489098,6.03694390767156,8.27738003225952,4.3386721069668e-07,5.25646812959439e-05,5.05346440287304
"ENSOARG00000017926",0.909585290877639,7.57234073637406,6.80859864865738,4.69438827225668e-07,5.59252778611314e-05,5.038400306144
"ENSOARG00000020656",0.775197091023013,8.04601343669196,6.64542704706033,4.75808713231213e-07,5.59252778611314e-05,5.03581952081164
"ENSOARG00000003480",-0.633216479224785,12.028257450073,-7.65554141404167,5.11911022369263e-07,5.85236166262964e-05,-5.02179388243286
"ENSOARG00000018814",1.33194476163975,6.56040640526276,6.61566567067737,5.12778355201835e-07,5.85236166262964e-05,5.02146879501243
"ENSOARG00000015718",-0.616216995708953,12.1849061783134,-6.57804177241768,5.63733293800997e-07,6.34199955526121e-05,-5.00324462789258
"ENSOARG00000006130",1.67039710588561,5.39177726434353,6.55869894721346,5.91905966184808e-07,6.56515420240192e-05,4.99383948935041
"ENSOARG00000019212",0.954795268621573,8.51310612413456,6.82012465908708,6.14019882307954e-07,6.71584246274325e-05,4.98675455862955
"ENSOARG00000016937",0.907239286846325,9.39562452154223,7.30097311849142,7.26777635261876e-07,7.80268993587402e-05,4.95406806832137
"ENSOARG00000017761",0.887262333974919,8.15402904412397,6.61207478049724,7.33205149529749e-07,7.80268993587402e-05,4.95235545719238
"ENSOARG00000008209",-0.703377280199665,10.2789396368106,-6.83019923108516,8.09086565510601e-07,8.49540893786131e-05,-4.93316281567865
"ENSOARG00000002545",-0.597094330534895,10.7102328274516,-6.73482000404827,9.86519681633796e-07,0.000102221611748239,-4.89430853199654
"ENSOARG00000014339",-0.577801004627154,11.2267037945174,-7.7109839431254,1.11606440454239e-06,0.000114142950464563,-4.8699854961269
"ENSOARG00000005681",-1.11017050640283,10.3020058196534,-7.25813708902077,1.32715751610057e-06,0.000133991864606307,-4.83564325909969
"ENSOARG00000006911",1.39180896260872,6.24087444329068,6.5372787007654,1.46728472615786e-06,0.000146264142006243,4.81564050973404
