"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000003421",2.18456766970163,8.77205400345785,20.3304480510462,2.12845613341363e-17,1.66509123316948e-13,8.48655900463117
"ENSOARG00000020495",3.23810610730451,7.27761394513213,16.9712381862798,1.73206530231908e-15,6.77497343002107e-12,7.95916329253847
"ENSOARG00000013903",1.55319639515819,9.61765856327752,16.9928579941031,4.34536457724182e-14,1.13312623625876e-10,7.55021615099991
"ENSOARG00000013509",2.97987226650442,8.43074368045976,14.1957934219482,5.27141872633126e-13,1.03095771740224e-09,7.21811227530262
"ENSOARG00000002251",4.35927680802689,6.48889317374031,13.1489039538572,6.61059062024149e-13,1.03429300844298e-09,7.18725700723135
"ENSOARG00000003341",3.01321764453896,6.87691452987477,15.4798523329332,1.52667587880081e-12,1.99053089997646e-09,7.07204436783444
"ENSOARG00000013421",2.12308340297912,8.53554587903309,12.7043084572615,4.97367000894713e-12,5.55843149714192e-09,6.9063258022555
"ENSOARG00000015072",2.82882858473053,4.83971162641671,11.6665925180526,7.80671793117274e-12,7.63399429694554e-09,6.84205119097013
"ENSOARG00000012500",1.58279223760487,9.65697242748234,13.0088369461662,2.69047491161004e-11,2.33862058150281e-08,6.66258779638893
"ENSOARG00000020808",2.19191689318798,6.57577045804846,10.818660959078,4.01814040253688e-11,2.90290043582193e-08,6.60340713443088
"ENSOARG00000014413",2.12071353764203,9.42581891775775,16.3646784016366,4.0817978772902e-11,2.90290043582193e-08,6.60107760888118
"ENSOARG00000007573",1.39944406145412,10.5534383565226,14.9129381935316,5.96745360539372e-11,3.89028246291626e-08,6.54455065424543
"ENSOARG00000000888",2.43833925314414,6.3438209267464,10.4120582823621,9.83663674321386e-11,5.91938532632015e-08,6.46944063211833
"ENSOARG00000007233",3.05355162208988,6.27503515173281,10.8754423133848,1.36530166491338e-10,7.62911066044096e-08,6.41971448683303
"ENSOARG00000014636",2.05932931063655,7.95786355684041,12.162179913739,1.68573137018959e-10,8.79165100599546e-08,6.38754216464614
