"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000020630",1.50269800752204,8.95589178482606,18.1036537526817,2.93329767926742e-16,2.37450447136698e-12,8.17603789780202
"ENSOARG00000003421",2.49344347796441,8.92884607357534,19.2115224715291,9.47838230141844e-16,2.61601134791731e-12,8.03343119148672
"ENSOARG00000007427",2.50569964877897,9.77861050667215,17.2264583033839,9.69491543391221e-16,2.61601134791731e-12,8.03066067417515
"ENSOARG00000003341",4.7120666564519,7.03783454802794,19.1920633349221,2.14241034613951e-15,3.87093398854518e-12,7.9328106043309
"ENSOARG00000013509",3.18194420459414,8.58036010843936,17.2490883010324,2.55660800279818e-15,3.87093398854518e-12,7.9108386048814
"ENSOARG00000010231",6.33515135312362,5.32789219338536,16.8118161264231,2.86912957767401e-15,3.87093398854518e-12,7.89647013835902
"ENSOARG00000002881",3.53411171319794,6.11069004657676,16.5210607104843,3.56667440372554e-15,4.12460418545118e-12,7.86928723208554
"ENSOARG00000013440",2.7481714525074,7.85037405149333,17.1957947974874,2.31328074306453e-14,2.34075095188842e-11,7.63189485738128
"ENSOARG00000003068",1.70657005464282,9.23465732931132,15.234493929565,2.78848243356413e-14,2.50808503330018e-11,7.60777801162876
"ENSOARG00000013421",2.69479310820461,8.31073406343264,14.9456857755309,3.62238499534919e-14,2.93232065373517e-11,7.57388019472522
"ENSOARG00000015177",3.70756636496878,8.69132182010791,14.8528598481866,5.46632464842232e-14,4.02271800263443e-11,7.52026997655354
"ENSOARG00000010283",2.95515477466208,9.88752201631775,17.1777326783274,1.18693367754221e-13,8.00685676642017e-11,7.41823277031374
"ENSOARG00000014731",4.36244326462823,5.31524608117801,14.0691002264754,1.56089519511236e-13,9.32362776745516e-11,7.3818632111528
"ENSOARG00000020495",3.10755526810164,7.11325503475276,14.1812788771143,1.61248658115346e-13,9.32362776745516e-11,7.37753362278217
"ENSOARG00000018383",2.36951161103248,6.18865387868867,14.1983655605486,2.17465022476382e-13,1.17358623796421e-10,7.3375956239613
"ENSOARG00000000888",2.87079177657415,6.1287908289207,13.1144599302024,2.20765858313563e-12,1.11693726440518e-09,7.02069591705626
"ENSOARG00000002251",3.8397989719412,6.72041400859116,12.7226117611901,2.68649796419108e-12,1.27924711883099e-09,6.99321892290008
"ENSOARG00000009097",3.67499632584067,5.47016061346904,12.1020158277249,5.10924101187171e-12,2.17890471164733e-09,6.90250781595597
"ENSOARG00000000942",2.38201151579356,8.63801163566127,13.1681993052176,5.11416794580597e-12,2.17890471164733e-09,6.90237093973289
"ENSOARG00000014800",3.18154124776718,7.69480010705061,12.7360435248994,6.36582663470084e-12,2.57656833039516e-09,6.87121298284477
"ENSOARG00000020971",3.7813335106596,5.5541596044158,11.8217540874753,6.89185456231298e-12,2.65664584199636e-09,6.85987973108827
"ENSOARG00000015414",2.54609656256761,7.41488095068567,13.1221128004346,9.14428171291755e-12,3.36468002118489e-09,6.81936654187911
"ENSOARG00000006142",2.0945578600284,9.05522142116281,12.3186157303752,1.17372462871602e-11,4.03161385755471e-09,6.78340933673919
"ENSOARG00000020160",1.52925803091667,10.7647975799439,11.8389893464701,1.19529008747761e-11,4.03161385755471e-09,6.78077971933432
"ENSOARG00000016617",2.7458026153053,5.42804814949104,11.4502906529983,1.43587884075535e-11,4.64937568636581e-09,6.75423799805045
"ENSOARG00000000530",1.94174107974776,8.4678703972433,11.7970444859883,1.60552037084136e-11,4.99872592383110e-09,6.73802673110962
"ENSOARG00000006626",3.43586637294644,4.1573488861242,11.2416933268466,1.75596650446506e-11,5.17971744418494e-09,6.72499651058618
"ENSOARG00000007233",4.06052135476901,6.67139545468804,11.4196298371788,1.79162555203432e-11,5.17971744418494e-09,6.72206860465039
"ENSOARG00000020150",2.06626822973327,6.74162842897233,11.4506217392454,2.73240544393266e-11,7.62718002366721e-09,6.6603154135343
"ENSOARG00000001138",3.1783499512443,5.70763807746357,10.9671194586727,2.99790168555509e-11,8.08933804818948e-09,6.64667391948066
"ENSOARG00000009740",2.73990078862506,6.27737686889009,11.1054099841918,3.12764163724026e-11,8.16718033982578e-09,6.64043244266952
"ENSOARG00000004443",1.27921538221877,9.47166825566503,11.3662592275847,3.32993018408935e-11,8.42368276256352e-09,6.6311892257104
"ENSOARG00000014815",2.95479735605575,3.1067572687876,10.7998062634967,4.17121351463597e-11,1.02321131518116e-08,6.5978648092089
"ENSOARG00000005557",3.36242826926373,4.05629208367159,10.6408755662786,5.79438977573154e-11,1.3795760363102e-08,6.54894775170453
"ENSOARG00000001815",3.60883054167613,4.32649723765441,10.3885458448715,1.1359806419804e-10,2.62736094195181e-08,6.44764954490473
"ENSOARG00000004500",2.51617474176248,5.16251434761991,10.2764591493832,1.19788242503092e-10,2.69357173072926e-08,6.43960067018802
"ENSOARG00000020153",2.17286331099356,5.7912103234436,10.2856086244141,1.44794004531806e-10,3.16785801806748e-08,6.41076208644502
"ENSOARG00000002231",3.42467573067122,3.14108509797127,10.6903805769859,1.91568885477524e-10,4.08092138931725e-08,6.36795196673242
"ENSOARG00000012272",2.10229868422945,6.85560167445925,9.92061852845151,3.10146976219075e-10,6.43753787818823e-08,6.29361978021711
"ENSOARG00000020656",0.993507414788477,8.08159351469994,9.78749471150068,3.3095605427918e-10,6.6977231484749e-08,6.28353669103612
"ENSOARG00000016213",3.22170453432845,3.33506877459432,10.9173881390219,3.83828843617718e-10,7.50903641971667e-08,6.26046596374093
"ENSOARG00000012500",2.05887079528738,9.87173191746733,10.4993452780966,3.89597936538728e-10,7.50903641971667e-08,6.25813922813082
"ENSOARG00000003480",-1.1854313162843,11.8045733944313,-12.0541180943485,4.43666755716323e-10,8.35228462214798e-08,-6.2378355295214
"ENSOARG00000008995",1.94348429309548,6.59143472540733,9.98524017025359,5.44920950391705e-10,1.00253070305019e-07,6.2055899419692
"ENSOARG00000005617",2.69292932052487,4.26900787429602,9.46879111037522,6.52448234996342e-10,1.17368188051009e-07,6.17720865173712
"ENSOARG00000010964",3.41159095154118,5.15560538916226,9.31240195919639,9.14697393722695e-10,1.60966856569244e-07,6.12362551157819
"ENSOARG00000013869",-2.11439522118976,3.25046595886749,-9.52320098373688,1.06912761059841e-09,1.84140170378599e-07,-6.09873257110356
"ENSOARG00000017961",1.3021977402882,7.01167879122681,9.35909352653461,1.13931028507188e-09,1.92139932451185e-07,6.08855961784633
"ENSOARG00000011756",2.61665200117067,7.26751887723966,9.94647384078737,1.32627439801842e-09,2.19105943917533e-07,6.06418135181346
"ENSOARG00000011500",2.3045352129785,2.60941272753458,9.11611540008248,1.40411337299951e-09,2.27325955088621e-07,6.05500725374058
"ENSOARG00000006130",1.89757793954533,5.52317385945329,9.51344506147804,1.5423059649693e-09,2.44803270322087e-07,6.03987820887812
"ENSOARG00000014636",1.94302476382676,8.34277220456377,11.0889714438941,1.59600023322432e-09,2.48454267075978e-07,6.03435382567407
"ENSOARG00000004209",2.20630576828816,6.88069406247151,9.03365654971559,1.68362820747636e-09,2.5715038376455e-07,6.02571578532131
"ENSOARG00000011763",-1.42616580718449,10.3159003815595,-10.2818718848187,1.75283190885055e-09,2.58179630540976e-07,-6.0191981514514
"ENSOARG00000016510",1.38948777944359,10.9621304941211,10.4012448753217,1.75415437674536e-09,2.58179630540976e-07,6.01907605807601
"ENSOARG00000019108",1.44639417449111,9.79192794657574,9.98964699279813,1.98222774683556e-09,2.8653810018989e-07,5.99925670992873
"ENSOARG00000011287",1.95337240303674,6.20121957115248,8.94128724199132,2.06551100343741e-09,2.9333879952326e-07,5.99256951202204
"ENSOARG00000006727",3.27913703548211,3.09463617199398,9.34922910864898,2.15523998657264e-09,3.00804615367336e-07,5.98565255918364
"ENSOARG00000006519",1.07506972181106,7.58527761399279,8.83932728245146,2.59175708416881e-09,3.54416055363578e-07,5.95556446598899
"ENSOARG00000018615",1.46269146795366,10.7148280538908,9.67468982604177,2.65791515421663e-09,3.54416055363578e-07,5.95144119828356
"ENSOARG00000003848",-1.06351170049153,11.057435714584,-10.0244944905812,2.6707077674093e-09,3.54416055363578e-07,-5.95065545046542
"ENSOARG00000013150",-1.35140389710475,10.4608952659491,-8.79002532714388,2.8938061186747e-09,3.77828395655995e-07,-5.93751158002854
"ENSOARG00000012438",3.39111873389457,5.37654569016979,10.7760389534581,3.06307371599621e-09,3.93580662396656e-07,5.92818174690444
"ENSOARG00000012085",1.36466476764213,9.859093124604,10.2112173841175,3.28749528272224e-09,4.1581678615057e-07,5.9165575250547
"ENSOARG00000018628",1.48534574381337,6.56713072937364,9.05960136537407,4.00894648472128e-09,4.99268027597212e-07,5.88382379235098
"ENSOARG00000005446",2.45129490080841,5.01881408246852,8.64780461934961,4.78808772881996e-09,5.87266214618146e-07,5.8543744430446
"ENSOARG00000013840",1.04814158769795,7.73665919139069,8.5281571967341,5.22518620732905e-09,6.23205518021124e-07,5.83983718304235
"ENSOARG00000009103",1.54905523234609,6.67042271601383,8.98875443459704,5.23508032432816e-09,6.23205518021124e-07,5.83952200116365
"ENSOARG00000007300",-3.46488064024544,5.3203967896048,-8.44013067966956,6.38638355244954e-09,7.4924311387071e-07,-5.80631218674624
"ENSOARG00000002754",3.53299256580592,2.99999467036616,8.8840894562893,6.97015400024703e-09,8.06048523314281e-07,5.79164212473904
"ENSOARG00000009042",-1.907648268812,10.9211529490846,-11.2450647983999,7.49771141886934e-09,8.54844703320384e-07,-5.77937841721196
"ENSOARG00000009101",-0.9680333472326,11.6578253382492,-11.4105011865001,7.68516253334351e-09,8.64047093158551e-07,-5.77522214089512
