"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000013421",3.64494378630395,9.0530618453503,16.2877689067424,5.09357909610188e-16,2.59853308511042e-12,8.1092437166816
"ENSOARG00000020495",3.87794587971983,7.56472614785607,16.0986651766482,6.00886364923209e-16,2.59853308511042e-12,8.08913764385466
"ENSOARG00000014636",3.51602095664767,8.59702168706298,15.6675551268658,2.17651495058631e-15,6.27489260254032e-12,7.93084970688313
"ENSOARG00000013440",3.60368105248123,8.49830887802966,15.4456728969241,5.34391884084256e-15,9.32990099001253e-12,7.81854074662841
"ENSOARG00000003341",4.91225777815837,7.72719103427,14.8427705780646,5.39362989363657e-15,9.32990099001253e-12,7.81737487264282
"ENSOARG00000000888",3.49692839875065,6.69750592026074,14.079872982632,1.47825957361446e-14,2.13091117536525e-11,7.68940057632872
"ENSOARG00000001138",3.56361839038071,6.61797150549241,14.1433278135521,1.94711546686637e-14,2.1721419542783e-11,7.65407306989284
"ENSOARG00000010283",3.33174409917074,10.3132694939533,14.1374983447677,2.232432681164e-14,2.1721419542783e-11,7.63647864288649
"ENSOARG00000020160",2.19061703531548,11.0407391718252,15.0609763863824,2.26029339675161e-14,2.1721419542783e-11,7.63488086433641
"ENSOARG00000007233",4.9432071060723,7.21919236357501,14.5658334130402,2.96340310701598e-14,2.56304734725812e-11,7.59990845307897
"ENSOARG00000014731",4.6417488469201,6.33953197898892,13.402320415674,3.45993374979561e-14,2.72045154563475e-11,7.57983549743451
"ENSOARG00000010231",6.03855414172393,6.67331172853917,13.4777667460237,5.98203790421964e-14,4.3115538194663e-11,7.50847440535976
"ENSOARG00000000530",2.41664208202298,9.02325685307296,14.5907569889312,7.84889336877773e-14,5.22192913435066e-11,7.47282880367115
"ENSOARG00000009740",3.15972180169987,6.64446687651329,13.6827365630171,8.91729696391215e-14,5.5089786743483e-11,7.45602331899899
"ENSOARG00000015177",3.16879410751141,9.63928831570017,12.9276478724958,1.23246747219414e-13,7.10640744467141e-11,7.41324408623175
"ENSOARG00000002881",4.25176496229799,7.26877998677205,13.0682253513836,1.56541711061789e-13,8.46205786858383e-11,7.38147814821629
"ENSOARG00000013903",1.89215819245989,9.78665987501202,12.9423676038531,2.43217372082329e-13,1.23740414772945e-10,7.32259700830283
"ENSOARG00000012500",2.6175829333469,10.0020173822248,12.7204242533756,3.41760895367264e-13,1.62244415579296e-10,7.27682785842858
"ENSOARG00000007427",2.88948160229768,10.0507794786899,13.9023260894781,3.66804109230208e-13,1.62244415579296e-10,7.2672777550407
