"","x"
"1","BTM.activated.dendritic.cells..M67."
"2","BTM.DC.surface.signature..S5."
"3","BTM.enriched.in.B.cells..V...M47.4."
"4","BTM.Naive.B.cell.surface.signature..S8."
"5","BTM.proinflammatory.dendritic.cell..myeloid.cell.response..M86.1."
"6","lung_pos_cells"
"7","Proteine.Totali"
"8","seg10BTVPCRcopiesper1ml_new"
