"dpi","ID","Fosforo","Ferro","Calcemia","Magnesio","Albumina","Proteine.Totali","Glucosio","Azotemia.BUN.","Fosfatasi.Alcalina.ALP.","Creatina.Chinasi..CK.","LDH","GPT.ALT.","Gamma.GT","GOT.AST.","Trigliceridi","Colesterolo","Conteggio.Globuli.Bianchi..WBC.","Conteggio.Globuli.Rossi..RBC.","Emoglobina..HGB.","Ematocrito..HCT.","Volume.Globulare.Medio..MCV.","Conteggio.Piastrine..PLT.","Volume.Medio.Piastrine..MPV.","Neutrofili","Linfociti","Monociti","Eosinofili","Basofili","Bilirubina.totale","Amilasi","Acido.Urico","IFN_y","IL.1alpha","IL.1_beta","IL.4","IL.6","IL.10","IL.17_A","MIP.1_alpha","IL.36_AK","IP.10","MCP.1","MIP.1beta","TNF.alpha","VEGF.A","rectal..temperature","number.of.follicles.mean.per.prescapular.ln","percentpositivenucleiFOXP3cortexnofollicles","percentpositivenucleiFOXP3wholefollicle","percentpositivenucleiFOXP3wholelymphnode","percentpositivenucleiFOXP3medulla","percentpositivenucleiFOXP3folliclecentres","average_Linear_regression_fit_based_on_Blank_corrected_in_ng_ml_450","milk_BTV_ELISA","CD3_lymph_node","Pax.5_lymph_node","CD3_Follicles","Pax.5_Follicles","seg10BTVPCRcopiesper1ml_new","tongue_pos_cells","lung_pos_cells","infected_skin_superficial_dermis_pos_cells","infected_skin_deep_dermis_pos_cells","non.infected_skin_superficial_dermis_pos_cells","non.infected_skin_deep_dermis_pos_cells","spleen_pos_cells","lymph_nodes_cortex_pos_cells"
"1","SMI6-127","3.4","200","9.6","2.6","3.9","7.7","31","23","52","90","929","17","58.7","108","14","105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.29","13.64","0","0","46.87","60.42","0.55","381.07","55.65","574.95","236.12","0","1270.9","197.94","38.7",NA,NA,NA,NA,NA,NA,"0.3715",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-293","10.9","124","8.6","2.23","3.2","6.7","31","23","80","143","952","11","64.7","89","20","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.13","597","0","340","59.14","3147.98","1.44","6800","905.94","2722.64","4975.37","108.97","84801.3","875.86","38.6",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-292","9.1","162","12.3","2.53","4.3","8.7","47","21","149","150","986","15","73.3","118","19","121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","23.2","0","50.01","0","163.07","0","375.38","69.83","2231.79","243.77","19.17","2739.73","117.87","39.3",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-298","3.7","71","8.9","2.39","3.4","7.7","36","27","96","124","892","17","49","107","18","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.54","14.68","0","93.1","34.79","215.41","5.38","361.07","115.27","909.88","299.04","0","2235.82","249.82","38.7",NA,NA,NA,NA,NA,NA,"0.4015",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-297","5","104","9.1","2.33","3.2","6.5","28","18","34","112","853","15","67.4","92","13","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.21","20.9","0","137.04","156.24","257.05","2.38","465.58","55.65","941.4","373.21","13.22","2781.18","217.59","38.8",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-296","9","43","9.6","1.96","3.8","8.4","46","21","37","194","1183","26","55.7","161","11","93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.36","25.92","0","116.57","5437.66","168.01","1.1","527.79","162.78","304.73","422.91","0","2642.41","266.4","38.9",NA,NA,NA,NA,NA,NA,"0.4475",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-295","6.6","171","9.9","2.46","3.3","7.2","19","18","126","159","935","11","59.4","77","10","91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.17","20.36","0","0","0","203.62","0","580.38","36.84","847.03","182.31","0","1078.96","127.95","38.5",NA,NA,NA,NA,NA,NA,"3.023",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SMI8-294","7.4","128","9.1","2.18","3.2","7.5","40","19","68","191","898","23","65.2","130","15","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.76","14.92","45.69","139.05","74.43","86.69","0","284.81","68.52","1295.84","211.46","0","1359.24","441.3","38.8",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLC-36","9.6","130","9.2","2.14","3.2","6.2","43","17","79","801","1290","31","64.2","226","21","30","6.99","9","9.3","27.1","30.1","772","11","31.2","52.8","2.6","9.7","1.9",NA,NA,NA,"0","24.19","0","96.87","0","148.73","268.91","420.89","52.79","319.41","302.6","0","2620.49","151.14","38.9",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLC-37","10.4","157","9","2.1","3.1","6.3","51","12","383","411","1138","20","65.6","136","30","43","9.75","10.63","11.3","32.1","30.1","523","8.3","35.9","45.8","8.5","6.1","2.1",NA,NA,NA,"0","4.54","0","28.79","0","75.83","0","222.07","45","433.71","147.17","0","1112.75","55.12","39.4",NA,NA,NA,NA,NA,NA,"1.139",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
