"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000018303",5.63170456752584,6.53523029325942,666.368162620021,6.29298445704809e-25,1.70250401500979e-20,NA
"ENSOARG00000008675",6.33757814880663,7.5713579489677,344.196607257527,4.33160265709593e-20,5.85935891425367e-16,NA
"ENSOARG00000008697",7.03199109584692,7.81563267687823,313.855374672993,1.96171392405556e-19,1.7690736167133e-15,NA
"ENSOARG00000008791",6.43136764197391,7.68423549000959,302.02134186302,3.66513269358354e-19,2.47891249730523e-15,NA
"ENSOARG00000016195",3.70953802586777,5.07068344447778,290.77246331462,6.77804876707487e-19,3.66746662688887e-15,"ZNF385A"
"ENSOARG00000019349",2.89798542289742,6.7679738578425,278.350087515252,1.3705757565084e-18,6.17992608609636e-15,"CSF1"
"ENSOARG00000006001",8.45347812720772,6.09630076738576,244.744980396555,1.06950503628193e-17,4.1334841787959e-14,NA
"ENSOARG00000005821",2.58482550645019,6.74203280066455,234.93257715485,2.04186329002531e-17,6.9050711810431e-14,"PMAIP1"
"ENSOARG00000018242",4.91284251844629,2.45736852373041,227.835698474436,3.3081507590108e-17,9.94430118158648e-14,NA
"ENSOARG00000020576",5.36710490034229,3.97179468904133,218.51631326864,6.36112177237344e-17,1.70053273180806e-13,"CCL20"
"ENSOARG00000004964",3.55837989934681,7.56114778963598,217.351802100524,6.91426777921516e-17,1.70053273180806e-13,"CCL5"
"ENSOARG00000015169",2.2167633657762,10.0167108939723,215.075435544969,8.14739786531106e-17,1.75940074794454e-13,"IFIT2"
"ENSOARG00000007579",3.26907056334192,2.11600765351654,214.565412341483,8.45428022594773e-17,1.75940074794454e-13,"MYOZ3"
"ENSOARG00000005209",3.03260560892275,5.73437419780355,198.868523089639,2.74177175063419e-16,5.29827806726125e-13,"SDC4"
"ENSOARG00000018703",3.08051494138922,3.00349690573225,194.461631965907,3.86953412603551e-16,6.97909174971765e-13,"APOL3"
"ENSOARG00000019098",2.79493518298129,6.79631808743356,178.632876805922,1.41210329018671e-15,2.38769015079445e-12,"RND1"
"ENSOARG00000015802",4.10683919519811,2.89490690576283,165.979636443601,4.26693918151843e-15,6.79045721275292e-12,"PCLO"
"ENSOARG00000000569",3.00815449226949,6.63261231358662,159.673598028261,7.60114853889272e-15,1.14245262539558e-11,"TNFAIP3"
"ENSOARG00000015656",1.69598470259628,8.79289130890981,156.912587889989,9.84558246057152e-15,1.40190730467527e-11,"ICAM1"
"ENSOARG00000004186",4.37137622212575,1.81666663858986,155.185938109276,1.15966994597221e-14,1.56868553591661e-11,"FAM13C"
"ENSOARG00000002251",2.97656628120448,4.81352362940325,151.518191045199,1.65012980371098e-14,2.12583865283794e-11,"IDO1"
"ENSOARG00000014648",2.31743711878892,10.1773570298073,144.895931802795,3.17609411479217e-14,3.90572955370852e-11,"RSAD2"
"ENSOARG00000002320",2.3126647107907,3.71506249022698,143.031048096503,3.83591003807047e-14,4.51203087695471e-11,"LSMEM1"
"ENSOARG00000004253",10.7725822458106,3.86411898918363,149.104217699406,4.97900699653824e-14,5.61258563684773e-11,"CCL4"
"ENSOARG00000006704",1.59033268148781,6.45861030090504,139.925982550134,5.2757557706971e-14,5.70921186481758e-11,"ETV3"
"ENSOARG00000018902",2.05165935837544,3.14712636429768,137.691300788302,6.65935424127441e-14,6.92931421705531e-11,"ESPNL"
"ENSOARG00000014729",2.29648944806969,6.60495424267773,136.355091607701,7.66549728312192e-14,7.50169257360661e-11,"CD68"
"ENSOARG00000016736",1.96011671480873,5.04836091595178,136.234346275718,7.76400502923727e-14,7.50169257360661e-11,"DUSP19"
"ENSOARG00000000269",4.00715510088652,3.27492358236801,131.540647308823,1.28452974775807e-13,1.19833337227058e-10,"RASGEF1B"
"ENSOARG00000015776",1.53863332533502,5.57914143775864,126.507486882146,2.23966074279736e-13,2.01972605785466e-10,"C21orf91"
"ENSOARG00000011009",1.65080601149947,3.57667831417446,125.551621783421,2.49393458763954e-13,2.17648084948388e-10,"TEX14"
"ENSOARG00000012119",3.78368338510922,2.77554471110865,123.411666129451,3.18023636628453e-13,2.688110688107e-10,"IL15"
"ENSOARG00000003870",3.3990691022648,3.34145249627299,122.912544845071,3.36735495746399e-13,2.688110688107e-10,"AOC2"
"ENSOARG00000014916",2.28464474056322,4.41520038484069,122.884335091388,3.37827173045162e-13,2.688110688107e-10,"CSRP2"
"ENSOARG00000015078",1.49161786483615,6.87482284474372,121.325497297337,4.04356579295363e-13,3.12556082750193e-10,"IRF1"
