"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000014034",0.586739173006876,6.37023388058319,4.28901332084002,0.0455375376491139,0.192736630719513,"DNAJB14"
"ENSOARG00000005469",0.195677698650103,8.03158593780334,4.28827959926549,0.0455550295711562,0.192780505242931,"USP7"
"ENSOARG00000009557",1.50368106506238,-1.59175151879639,4.28672385490752,0.0455921429820761,0.192890867159945,"AKAP3"
"ENSOARG00000000034",1.42848605344509,-1.46097327567019,4.28658871741522,0.0455953683554317,0.192890867159945,NA
"ENSOARG00000018886",-0.198057130463774,10.7854614274423,4.28626984052212,0.0456029800961327,0.192892905491053,"PKM"
"ENSOARG00000002125",-0.193530427341373,8.05742578130011,4.2821701656571,0.0457009659229044,0.193277150551549,"SF3B2"
"ENSOARG00000019635",-0.610368898223488,0.768981445408808,4.27981137327662,0.0457574481280364,0.193461895492853,NA
"ENSOARG00000005912",-0.23987158549254,6.99545197384798,4.27974864084177,0.0457589513291479,0.193461895492853,"TMED9"
"ENSOARG00000022502",-3.53215612646735,-2.58424445358721,4.29717004634681,0.0457688337999104,0.193473442128559,""
"ENSOARG00000009864",-0.443380731396452,2.00865929848967,4.2775963110306,0.0458105586165971,0.193619567694644,NA
"ENSOARG00000016569",-0.293019442905409,3.52423758321834,4.27728687060742,0.0458179834611558,0.1936207004933,"DIPK1A"
"ENSOARG00000017936",-3.78383914251835,-3.0466447894203,4.31475621010197,0.0458299772659034,0.193641137740395,NA
"ENSOARG00000015134",-0.259931662532963,3.98201062820823,4.27451295247683,0.0458846012154251,0.193841661661791,"CLCN7"
"ENSOARG00000015146",-1.17247814389538,-1.06607515564846,4.27279371901917,0.0459259434265923,0.193982982365991,"SAT2"
"ENSOARG00000001040",-0.205265404810615,6.27598121073703,4.272481129657,0.0459334646316234,0.193982982365991,"REXO2"
"ENSOARG00000004659",-0.229676899249234,5.48680100590887,4.27222766924945,0.045939564131696,0.193982982365991,"CNDP2"
"ENSOARG00000006592",0.956291394308228,-1.09115610612635,4.27152901950889,0.0459563816860358,0.19402371256773,""
"ENSOARG00000007436",-0.283482322739852,4.004462575484,4.2710619515809,0.0459676284960299,0.194025760924608,"STX18"
"ENSOARG00000004626",-0.234096844322054,4.13166604670877,4.27050759120104,0.0459809812057435,0.194025760924608,"ELAC1"
"ENSOARG00000005117",0.300593245194648,6.28031753220043,4.27036530145287,0.0459844091841352,0.194025760924608,"THBD"
"ENSOARG00000015416",-0.316163384100498,3.39493864431821,4.27031778289137,0.0459855540418639,0.194025760924608,"PIBF1"
"ENSOARG00000015680",0.276368611484207,7.021733132943,4.26911012838983,0.0460146604184263,0.194118294551708,"ATP2B1"
"ENSOARG00000004639",-0.357243726224469,2.88070002328017,4.26747174241084,0.0460541805265658,0.194254724035814,"KLHL8"
"ENSOARG00000018017",-0.239530577907609,8.62661132782972,4.26650038785726,0.0460776285672478,0.194323330203947,"SSR1"
"ENSOARG00000004961",-0.423868492665644,2.26539275686928,4.26559335354677,0.0460995358136254,0.194385418002154,"TRPT1"
"ENSOARG00000015771",0.216637624014016,6.87384452974723,4.26338885295695,0.0461528280723487,0.194579805309229,"NOL11"
"ENSOARG00000007568",-0.915066756494666,-0.864175200988847,4.26170526512435,0.0461935733065943,0.194693357206973,"CCDC189"
"ENSOARG00000011628",-0.253546063023154,4.90306136621932,4.26147005506263,0.046199268878655,0.194693357206973,"GLIPR2"
"ENSOARG00000003559",-0.225351716332173,5.46915496626233,4.26138407259814,0.046201351122524,0.194693357206973,"ABCC3"
"ENSOARG00000010775",-0.211602156304895,5.80996686153268,4.26001355383864,0.0462345550317613,0.194792619157153,"SSH3"
