"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000018303",5.17175919827069,6.53523029325942,502.5871597923,7.78089388480917e-23,2.05586126823173e-18,NA
"ENSOARG00000016195",5.10196559308255,5.07068344447778,478.093339290984,1.81082364502387e-22,2.05586126823173e-18,"ZNF385A"
"ENSOARG00000006704",3.03460731941658,6.45861030090504,471.611699570857,2.27973083636253e-22,2.05586126823173e-18,"ETV3"
"ENSOARG00000005821",3.68079622146596,6.74203280066455,440.298345109082,7.24072883091388e-22,4.8972669447886e-18,"PMAIP1"
"ENSOARG00000015802",6.50457837070442,2.89490690576283,420.816201962995,1.54530198613128e-21,8.32650968538635e-18,"PCLO"
"ENSOARG00000008675",7.67637414467255,7.5713579489677,413.103954394712,2.10497523192794e-21,8.32650968538635e-18,NA
"ENSOARG00000000569",5.1443032115727,6.63261231358662,410.579903930034,2.33174369781674e-21,8.32650968538635e-18,"TNFAIP3"
"ENSOARG00000004964",5.3178624171197,7.56114778963598,409.242799516098,2.46218960165191e-21,8.32650968538635e-18,"CCL5"
"ENSOARG00000008133",4.48763854159698,2.42800657260966,393.936659806896,4.64650476709472e-21,1.39673933298867e-17,"HTR2A"
"ENSOARG00000008791",8.25269921044105,7.68423549000959,382.634597061599,7.53652036727282e-21,2.03893022016199e-17,NA
"ENSOARG00000004971",3.76826755955435,5.65056533374127,378.063739118657,9.19892194391149e-21,2.26243303882347e-17,"IRAK2"
"ENSOARG00000003870",6.179837230015,3.34145249627299,372.512517517014,1.17534890633764e-20,2.64982410933821e-17,"AOC2"
"ENSOARG00000003826",2.5315278359038,5.96653266513792,340.001068913757,5.29863374024185e-20,1.02845316144929e-16,"NUAK2"
"ENSOARG00000008597",2.7851255458794,5.08772995681187,339.9096800626,5.32207594451472e-20,1.02845316144929e-16,"SGMS2"
"ENSOARG00000007452",6.5038100021793,6.8744088285311,337.341347240008,6.02770254683394e-20,1.08715643134697e-16,"HSPA6"
"ENSOARG00000012718",2.404937986178,7.96417093292778,330.4643576728,8.44867746690757e-20,1.28926882774604e-16,"NFKB1"
"ENSOARG00000014729",3.72005798776036,6.60495424267773,329.827745334519,8.71971600894735e-20,1.28926882774604e-16,"CD68"
"ENSOARG00000002320",3.56413321218628,3.71506249022698,329.661316391668,8.79207574717766e-20,1.28926882774604e-16,"LSMEM1"
"ENSOARG00000006356",2.8756388497362,8.24080566707613,328.847663801662,9.15506943464387e-20,1.28926882774604e-16,"BIRC3"
"ENSOARG00000004489",3.80425995339053,4.59456043195437,328.039974143089,9.53107731016514e-20,1.28926882774604e-16,"EGR2"
