"","BTV.1-2006_12h.
N=692","BTV.1-2013_12h.
N=737","BTV.8-2017_12h.
N=827","gene_names"
"ENSOARG00000006142",1,1,1,"IFIH1"
"ENSOARG00000013480",1,1,1,"JAK2"
"ENSOARG00000018475",1,1,1,"HMOX1"
"ENSOARG00000008212",1,1,1,"ITGA2"
"ENSOARG00000018175",1,1,1,"DNAJC7"
"ENSOARG00000005307",1,1,1,"DDX21"
"ENSOARG00000015431",1,1,1,"ODC1"
"ENSOARG00000002971",1,1,1,"PHACTR4"
"ENSOARG00000015859",1,1,1,"KCTD10"
"ENSOARG00000007419",1,1,1,"ABL1"
"ENSOARG00000000120",1,1,1,"-"
"ENSOARG00000011531",1,1,1,"RRP15"
"ENSOARG00000019194",1,1,1,"REC8"
"ENSOARG00000016957",1,1,1,"N4BP1"
"ENSOARG00000015078",1,1,1,"IRF1"
"ENSOARG00000009194",1,1,1,"ATP10A"
"ENSOARG00000011053",1,1,1,"-"
"ENSOARG00000008681",1,1,1,"SPSB1"
"ENSOARG00000014137",1,1,1,"MAT2B"
"ENSOARG00000019572",1,1,1,"QTRTD1"
"ENSOARG00000001352",1,1,1,"SMG7"
"ENSOARG00000012449",1,1,1,"CDK17"
"ENSOARG00000021187",1,1,1,"SUSD6"
"ENSOARG00000005891",1,1,1,"DHX15"
"ENSOARG00000016617",1,1,1,"TRANK1"
"ENSOARG00000019484",1,1,1,"NAA50"
"ENSOARG00000013736",1,1,1,"METTL13"
"ENSOARG00000016168",1,1,1,"TRIB2"
"ENSOARG00000015234",1,1,1,"PARM1"
"ENSOARG00000011197",1,1,1,"RIPK2"
"ENSOARG00000015581",1,1,1,"PARP10"
"ENSOARG00000013152",1,1,1,"RNF114"
"ENSOARG00000009868",1,1,1,"-"
"ENSOARG00000003602",1,1,1,"-"
"ENSOARG00000020808",1,1,1,"EMP1"
"ENSOARG00000012673",1,1,1,"RCAN1"
"ENSOARG00000010098",1,1,1,"CDC40"
"ENSOARG00000017814",1,1,1,"ARL5B"
"ENSOARG00000000530",1,1,1,"HERC5"
"ENSOARG00000012085",1,1,1,"TARS"
"ENSOARG00000001803",1,1,1,"USP42"
"ENSOARG00000020996",1,1,1,"ATP8B4"
"ENSOARG00000019272",1,1,1,"-"
"ENSOARG00000020782",1,1,1,"APH1A"
"ENSOARG00000015414",1,1,1,"-"
"ENSOARG00000000175",1,1,1,"SOCS3"
"ENSOARG00000000082",1,1,1,"MARCH5"
"ENSOARG00000011727",1,1,1,"RAI14"
"ENSOARG00000017569",1,1,1,"NOP58"
"ENSOARG00000003635",1,1,1,"FBXW11"
"ENSOARG00000013865",1,1,1,"CDKL3"
"ENSOARG00000007011",1,1,1,"TRIM25"
"ENSOARG00000004233",1,1,1,"PML"
"ENSOARG00000007092",1,1,1,"RGCC"
"ENSOARG00000015507",1,1,1,"NOL10"
"ENSOARG00000010089",1,1,1,"TMEM55A"
"ENSOARG00000002814",1,1,1,"-"
"ENSOARG00000012181",1,1,1,"TLK2"
"ENSOARG00000015905",1,1,1,"EIF4E"
"ENSOARG00000009303",1,1,1,"OTUD4"
"ENSOARG00000019722",1,1,1,"PPFIBP1"
"ENSOARG00000021041",1,1,1,"C15orf48"
"ENSOARG00000016789",1,1,1,"NIPAL1"
"ENSOARG00000009886",1,1,1,"-"
"ENSOARG00000020416",1,1,1,"ATP13A3"
"ENSOARG00000000517",1,1,1,"ADGRG1"
"ENSOARG00000016952",1,1,1,"ENDOD1"
"ENSOARG00000009097",1,1,1,"OAS2"
"ENSOARG00000008475",1,1,1,"GABRE"
"ENSOARG00000017954",1,1,1,"ACSL4"
"ENSOARG00000004309",1,1,1,"STOML1"
"ENSOARG00000019779",1,1,1,"ARNTL2"
"ENSOARG00000010808",1,1,1,"TEAD4"
"ENSOARG00000006130",1,1,1,"-"
"ENSOARG00000020325",1,1,1,"WDR3"
"ENSOARG00000009508",1,1,1,"KIF5C"
"ENSOARG00000017205",1,1,1,"TNFRSF1B"
"ENSOARG00000014904",1,1,1,"PAPD7"
"ENSOARG00000006626",1,1,1,"IRF7"
"ENSOARG00000015989",1,1,1,"MPHOSPH10"
"ENSOARG00000010070",1,1,1,"-"
"ENSOARG00000020655",1,1,1,"B3GNT5"
"ENSOARG00000025785",1,1,1,"-"
"ENSOARG00000015072",1,1,1,"-"
"ENSOARG00000008369",1,1,1,"CD40"
"ENSOARG00000002227",1,1,1,"-"
"ENSOARG00000018871",1,1,1,"CD47"
"ENSOARG00000018834",1,1,1,"NLRC5"
"ENSOARG00000015908",1,1,1,"ANKRD1"
"ENSOARG00000018528",1,1,1,"TGM2"
"ENSOARG00000006946",1,1,1,"ENPP1"
"ENSOARG00000015245",1,1,1,"AKAP2"
"ENSOARG00000017734",1,1,1,"SMURF2"
"ENSOARG00000020437",1,1,1,"TOR1AIP2"
"ENSOARG00000005557",1,1,1,"DOCK10"
"ENSOARG00000002725",1,1,1,"-"
"ENSOARG00000013690",1,1,1,"-"
"ENSOARG00000017761",1,1,1,"NAA15"
"ENSOARG00000008846",1,1,1,"VCPIP1"
"ENSOARG00000020976",1,1,1,"C6orf47"
"ENSOARG00000017138",1,1,1,"GLDN"
"ENSOARG00000007374",1,1,1,"C3orf38"
"ENSOARG00000007429",1,1,1,"SPHK1"
"ENSOARG00000009089",1,1,1,"PSMA6"
"ENSOARG00000005050",1,1,1,"SMAD1"
"ENSOARG00000012692",1,1,1,"MSN"
"ENSOARG00000008199",1,1,1,"MOGS"
"ENSOARG00000009897",1,1,1,"PTPRJ"
"ENSOARG00000020422",1,1,1,"UFM1"
"ENSOARG00000011009",1,1,1,"HES1"
"ENSOARG00000011158",1,1,1,"-"
"ENSOARG00000005120",1,1,1,"ESF1"
"ENSOARG00000011947",1,1,1,"SLC25A16"
"ENSOARG00000003550",1,1,1,"AFAP1"
"ENSOARG00000003763",1,1,1,"MAP3K6"
"ENSOARG00000014203",1,1,1,"AGO2"
"ENSOARG00000006125",1,1,1,"CCRL2"
"ENSOARG00000006923",1,1,1,"-"
"ENSOARG00000014098",1,1,1,"RSL1D1"
"ENSOARG00000014979",1,1,1,"ATAD1"
"ENSOARG00000019102",1,1,1,"HOMEZ"
"ENSOARG00000006870",1,1,1,"GTF2B"
"ENSOARG00000011792",1,1,1,"ADCY4"
"ENSOARG00000006459",1,1,1,"RBMS1"
"ENSOARG00000010390",1,1,1,"ACSL5"
"ENSOARG00000015605",1,1,1,"SEC24B"
"ENSOARG00000012500",1,1,1,"LIMD1"
"ENSOARG00000018727",1,1,1,"TRIM26"
"ENSOARG00000010589",1,1,1,"ZNFX1"
"ENSOARG00000014636",1,1,1,"-"
"ENSOARG00000023429",1,1,1,"SMARCA5"
"ENSOARG00000007731",1,1,1,"CMPK2"
"ENSOARG00000014722",1,1,1,"SNORA70"
"ENSOARG00000005617",1,1,1,"RSPO3"
"ENSOARG00000019090",1,1,1,"UTP20"
"ENSOARG00000015270",1,1,1,"TNFSF13B"
"ENSOARG00000016678",1,1,1,"RIPK3"
"ENSOARG00000019536",1,1,1,"TRIM56"
"ENSOARG00000015262",1,1,1,"SOAT1"
"ENSOARG00000006589",1,1,1,"SERTAD2"
"ENSOARG00000012296",1,1,1,"SERPINE1"
"ENSOARG00000002783",1,1,1,"LSM12"
"ENSOARG00000009682",1,1,1,"PLEKHA4"
"ENSOARG00000009103",1,1,1,"-"
"ENSOARG00000016290",1,1,1,"RICTOR"
"ENSOARG00000010139",1,1,1,"GCC1"
"ENSOARG00000017411",1,1,1,"NMI"
"ENSOARG00000011783",1,1,1,"APOBEC3H"
"ENSOARG00000013040",1,1,1,"WASF1"
"ENSOARG00000006813",1,1,1,"CSRNP2"
"ENSOARG00000007233",1,1,1,"-"
"ENSOARG00000019165",1,1,1,"AMIGO3"
"ENSOARG00000012323",1,1,1,"VEGFC"
"ENSOARG00000010954",1,1,1,"ISG15"
"ENSOARG00000006584",1,1,1,"MPST"
"ENSOARG00000004443",1,1,1,"ACAP1"
"ENSOARG00000016935",1,1,1,"DET1"
"ENSOARG00000007573",1,1,1,"CYR61"
"ENSOARG00000015177",1,1,1,"UGCG"
"ENSOARG00000010212",1,1,1,"XRN2"
"ENSOARG00000005700",1,1,1,"BCAR3"
"ENSOARG00000013317",1,1,1,"-"
"ENSOARG00000007605",1,1,1,"IFIT1"
"ENSOARG00000020041",1,1,1,"BIN3"
"ENSOARG00000012416",1,1,1,"MARK3"
"ENSOARG00000003113",1,1,1,"TBX18"
"ENSOARG00000016244",1,1,1,"FNBP4"
"ENSOARG00000005817",1,1,1,"VPS54"
"ENSOARG00000020987",1,1,1,"-"
"ENSOARG00000018661",1,1,1,"-"
"ENSOARG00000018832",1,1,1,"NCKIPSD"
"ENSOARG00000009519",1,1,1,"CHST2"
"ENSOARG00000014911",1,1,1,"RFX5"
"ENSOARG00000017582",1,1,1,"-"
"ENSOARG00000019207",1,1,1,"IL4R"
"ENSOARG00000012946",1,1,1,"DAXX"
"ENSOARG00000000587",1,1,1,"EFNB1"
"ENSOARG00000012408",1,1,1,"TMEM63A"
"ENSOARG00000001519",1,1,1,"-"
"ENSOARG00000018768",1,1,1,"IPMK"
"ENSOARG00000006799",1,1,1,"IDH3A"
"ENSOARG00000001060",1,1,1,"PARP12"
"ENSOARG00000017418",1,1,1,"TRIM38"
"ENSOARG00000018392",1,1,1,"RAB5C"
"ENSOARG00000003860",1,1,1,"ACOT8"
"ENSOARG00000019074",1,1,1,"KDR"
"ENSOARG00000004770",1,1,1,"ZBP1"
"ENSOARG00000017434",1,1,1,"DESI1"
"ENSOARG00000001511",1,1,1,"-"
"ENSOARG00000016104",1,1,1,"NYNRIN"
"ENSOARG00000000835",1,1,1,"MBD2"
"ENSOARG00000018290",1,1,1,"CMYA5"
"ENSOARG00000004076",1,1,1,"STAT3"
"ENSOARG00000019192",1,1,1,"PDE1B"
"ENSOARG00000017186",1,1,1,"PNP"
"ENSOARG00000018215",1,1,1,"NAT10"
"ENSOARG00000015825",1,1,1,"EPN3"
"ENSOARG00000009235",1,1,1,"PLCXD2"
"ENSOARG00000018111",1,1,1,"PAPD5"
"ENSOARG00000004304",1,1,1,"UPRT"
"ENSOARG00000010053",1,1,1,"-"
"ENSOARG00000021069",1,1,1,"RFXANK"
"ENSOARG00000019939",1,1,1,"RAB9A"
"ENSOARG00000020154",1,1,1,"CTSS"
"ENSOARG00000013337",1,1,1,"SYNJ2"
"ENSOARG00000012526",1,1,1,"CCDC6"
"ENSOARG00000002173",1,1,1,"ARL6IP5"
"ENSOARG00000003788",1,1,1,"BMP4"
"ENSOARG00000009530",1,1,1,"RABL3"
"ENSOARG00000011360",1,1,1,"-"
"ENSOARG00000013335",1,1,1,"PUM3"
"ENSOARG00000019957",1,1,1,"SLC25A28"
"ENSOARG00000013378",1,1,1,"PLAC8"
"ENSOARG00000007603",1,1,1,"MUC1"
"ENSOARG00000001786",1,1,1,"EEPD1"
"ENSOARG00000016964",1,1,1,"YES1"
"ENSOARG00000010770",1,1,1,"SERTAD1"
"ENSOARG00000009434",1,1,1,"IRF3"
"ENSOARG00000006212",1,1,1,"GTF2E1"
"ENSOARG00000017961",1,1,1,"GLIS3"
"ENSOARG00000005922",1,1,1,"-"
"ENSOARG00000009446",1,1,1,"STX11"
"ENSOARG00000014936",1,1,1,"SEC24D"
"ENSOARG00000007856",1,1,1,"STARD13"
"ENSOARG00000014350",1,1,1,"NPRL2"
"ENSOARG00000012990",1,1,1,"CRABP2"
"ENSOARG00000009140",1,1,1,"HACD3"
"ENSOARG00000020140",1,1,1,"PPA1"
"ENSOARG00000007622",1,1,1,"PPP4R2"
"ENSOARG00000011051",1,1,1,"LMO4"
"ENSOARG00000017068",1,1,1,"-"
"ENSOARG00000017150",1,1,1,"-"
"ENSOARG00000016922",1,1,1,"ZNHIT6"
"ENSOARG00000003421",1,1,1,"INTS5"
"ENSOARG00000007683",1,1,1,"USP4"
"ENSOARG00000011000",1,1,1,"TMEM256-PLSCR3"
"ENSOARG00000001513",1,1,1,"LRRC8A"
"ENSOARG00000006104",1,1,1,"TRIT1"
"ENSOARG00000006373",1,1,1,"PSMB8"
"ENSOARG00000015141",1,1,1,"CRISPLD2"
"ENSOARG00000013922",1,1,1,"TRAK2"
"ENSOARG00000009673",1,1,1,"LHFPL2"
"ENSOARG00000001191",1,1,1,"CASP8"
"ENSOARG00000010231",1,1,1,"-"
"ENSOARG00000001314",1,1,1,"LAP3"
"ENSOARG00000009225",1,1,1,"CXCL16"
"ENSOARG00000000329",1,1,1,"DNAJC11"
"ENSOARG00000009520",1,1,1,"SLC26A11"
"ENSOARG00000015405",1,1,1,"MB21D1"
"ENSOARG00000015864",1,1,1,"CLEC16A"
"ENSOARG00000012378",1,1,1,"PINX1"
"ENSOARG00000002654",1,1,1,"TAF3"
"ENSOARG00000000558",1,1,1,"FMR1"
"ENSOARG00000010182",1,1,1,"TMEM140"
"ENSOARG00000013500",1,1,1,"MX2"
"ENSOARG00000015121",1,1,1,"ZNF628"
"ENSOARG00000017355",1,1,1,"RND3"
"ENSOARG00000006739",1,1,1,"SRFBP1"
"ENSOARG00000012911",1,1,1,"BAG1"
"ENSOARG00000020405",1,1,1,"EMC7"
"ENSOARG00000016741",1,1,1,"CAMK1D"
"ENSOARG00000011220",1,1,1,"SOCS2"
"ENSOARG00000010641",1,1,1,"SLC4A4"
"ENSOARG00000019377",1,1,1,"CBX8"
"ENSOARG00000007427",1,1,1,"-"
"ENSOARG00000009845",1,1,1,"TAPT1"
"ENSOARG00000007088",1,1,1,"PLGRKT"
"ENSOARG00000006197",1,1,1,"CMTM6"
"ENSOARG00000006023",1,1,1,"SMAGP"
"ENSOARG00000010415",1,1,1,"G6PC3"
"ENSOARG00000000818",1,1,1,"RNGTT"
"ENSOARG00000015654",1,1,1,"WDFY1"
"ENSOARG00000000384",1,1,1,"FAM126B"
"ENSOARG00000011221",1,1,1,"CDK12"
"ENSOARG00000015954",1,1,1,"VASN"
"ENSOARG00000009653",1,1,1,"C3orf17"
"ENSOARG00000007065",1,1,1,"EPSTI1"
"ENSOARG00000019084",1,1,1,"OSMR"
"ENSOARG00000018887",1,1,1,"GSPT1"
"ENSOARG00000020889",1,1,1,"RGS3"
"ENSOARG00000020378",1,1,1,"ERBB2IP"
"ENSOARG00000003225",1,1,1,"WWC3"
"ENSOARG00000012032",1,1,1,"PARP14"
"ENSOARG00000006979",1,1,1,"TRIM68"
"ENSOARG00000007664",1,1,1,"ACKR4"
"ENSOARG00000009555",1,1,1,"MAK16"
"ENSOARG00000005443",1,1,1,"NXN"
"ENSOARG00000000153",1,1,1,"SPATS2L"
"ENSOARG00000016040",1,1,1,"RGS2"
"ENSOARG00000014369",1,1,1,"MAP1LC3C"
"ENSOARG00000010801",1,1,1,"NFATC4"
"ENSOARG00000000142",1,1,1,"JADE2"
"ENSOARG00000014892",1,1,1,"ANKFY1"
"ENSOARG00000006343",1,1,1,"NEDD4"
"ENSOARG00000002839",1,1,1,"HIVEP3"
"ENSOARG00000017560",1,1,1,"C1orf131"
"ENSOARG00000014815",1,1,1,"MAMSTR"
"ENSOARG00000026747",1,1,1,"RHBDF2"
"ENSOARG00000013804",1,1,1,"PIK3CD"
"ENSOARG00000016099",1,1,1,"C1S"
"ENSOARG00000000739",1,1,1,"H3F3A"
"ENSOARG00000007866",1,1,1,"-"
"ENSOARG00000011707",1,1,1,"DNAJB1"
"ENSOARG00000004084",1,1,1,"TREX1"
"ENSOARG00000019203",1,1,1,"HECTD2"
"ENSOARG00000001447",1,1,1,"SVIL"
"ENSOARG00000006315",1,1,1,"PXK"
"ENSOARG00000017438",1,1,1,"PRICKLE3"
"ENSOARG00000016514",1,1,1,"HSPA8"
"ENSOARG00000003995",1,1,1,"C10orf12"
"ENSOARG00000006724",1,1,1,"XRN1"
"ENSOARG00000001626",1,1,1,"-"
"ENSOARG00000025483",1,1,1,"TAPBP"
"ENSOARG00000019099",1,1,1,"TMEM117"
"ENSOARG00000009570",1,1,1,"FLRT2"
"ENSOARG00000013945",1,1,1,"IFIT5"
"ENSOARG00000005709",1,1,1,"-"
"ENSOARG00000015347",1,1,1,"CBR3"
"ENSOARG00000008726",1,1,1,"MEF2C"
"ENSOARG00000020963",1,1,1,"-"
"ENSOARG00000012336",1,1,1,"EHBP1L1"
"ENSOARG00000003192",1,1,1,"PSMB9"
"ENSOARG00000002744",1,1,1,"NABP1"
"ENSOARG00000008531",1,1,1,"NOL9"
"ENSOARG00000012852",1,1,1,"NUB1"
"ENSOARG00000019439",1,1,1,"PSMA5"
"ENSOARG00000017797",1,1,1,"WHSC1L1"
"ENSOARG00000001101",1,1,1,"SETX"
"ENSOARG00000015415",1,1,1,"-"
"ENSOARG00000002837",1,1,1,"SPPL2A"
"ENSOARG00000016510",1,1,1,"SRP9"
"ENSOARG00000000264",1,1,1,"SP1"
"ENSOARG00000009042",1,1,1,"HNRNPF"
"ENSOARG00000003408",1,1,1,"-"
"ENSOARG00000011594",1,1,1,"PPM1K"
"ENSOARG00000011436",1,1,1,"-"
"ENSOARG00000010860",1,1,1,"-"
"ENSOARG00000014587",1,1,1,"MLKL"
"ENSOARG00000015042",1,1,1,"PLEKHN1"
"ENSOARG00000005855",1,1,1,"PKN3"
"ENSOARG00000003243",1,1,1,"BAG5"
"ENSOARG00000003719",1,1,1,"COBLL1"
"ENSOARG00000012766",1,1,1,"KPNA2"
"ENSOARG00000003723",1,1,1,"IQSEC2"
"ENSOARG00000021075",1,1,1,"LYSMD2"
"ENSOARG00000017480",1,1,1,"TLE4"
"ENSOARG00000000904",1,1,1,"SLC33A1"
"ENSOARG00000018847",1,1,1,"-"
"ENSOARG00000002463",1,1,1,"IP6K1"
"ENSOARG00000013525",1,1,1,"-"
"ENSOARG00000020391",1,1,1,"CASP7"
"ENSOARG00000008027",1,1,1,"SFPQ"
"ENSOARG00000002903",1,1,1,"FRYL"
"ENSOARG00000008545",1,1,1,"GNG11"
"ENSOARG00000014591",1,1,1,"HPCAL1"
"ENSOARG00000005566",1,1,1,"CCDC117"
"ENSOARG00000025783",1,1,1,"-"
"ENSOARG00000011069",1,1,1,"ZDHHC17"
"ENSOARG00000001973",1,1,1,"-"
"ENSOARG00000003206",1,1,1,"-"
"ENSOARG00000020442",1,1,1,"-"
"ENSOARG00000026689",1,1,1,"LIMK1"
"ENSOARG00000011167",1,1,1,"GNE"
"ENSOARG00000016778",1,1,1,"MGAT5"
"ENSOARG00000004680",1,1,1,"GSS"
"ENSOARG00000017161",1,1,1,"UPF2"
"ENSOARG00000015592",1,1,1,"NSUN2"
"ENSOARG00000006395",1,1,1,"-"
"ENSOARG00000020857",1,1,1,"-"
"ENSOARG00000011249",1,1,1,"-"
"ENSOARG00000020138",1,1,1,"PSMB10"
"ENSOARG00000000896",1,1,1,"PDCD11"
"ENSOARG00000014556",1,1,1,"UBE2J1"
"ENSOARG00000013099",1,1,1,"DHX38"
"ENSOARG00000009388",1,1,1,"-"
"ENSOARG00000015100",1,1,1,"ELL2"
"ENSOARG00000001395",1,1,1,"-"
"ENSOARG00000009981",1,1,1,"C19orf66"
"ENSOARG00000001806",1,1,1,"CREB1"
"ENSOARG00000013952",1,1,1,"AIDA"
"ENSOARG00000011074",1,1,1,"LXN"
"ENSOARG00000005177",1,1,1,"PDCD1LG2"
"ENSOARG00000008119",1,1,1,"AP1S3"
"ENSOARG00000013309",1,1,1,"MYC"
"ENSOARG00000000952",1,1,1,"-"
"ENSOARG00000003068",1,1,1,"FGF10"
"ENSOARG00000000072",1,1,1,"AZI2"
"ENSOARG00000010220",1,1,1,"DLX3"
"ENSOARG00000013588",1,1,1,"APRT"
"ENSOARG00000020667",1,1,1,"-"
"ENSOARG00000005628",1,1,1,"PKNOX1"
"ENSOARG00000008016",1,1,1,"TP53I11"
"ENSOARG00000021037",1,1,1,"CHORDC1"
"ENSOARG00000003139",1,1,1,"NOTCH2"
"ENSOARG00000010335",1,1,1,"-"
"ENSOARG00000015974",1,1,1,"CMTR2"
"ENSOARG00000019512",1,1,1,"POLK"
"ENSOARG00000007232",1,1,1,"SH3PXD2A"
"ENSOARG00000014981",1,1,1,"BMPR1B"
"ENSOARG00000015562",1,1,1,"KITLG"
"ENSOARG00000006007",1,1,1,"F11R"
"ENSOARG00000013122",1,1,1,"MGAT2"
"ENSOARG00000000229",1,1,1,"SLC31A2"
"ENSOARG00000006730",1,1,1,"DUSP16"
"ENSOARG00000004500",1,1,1,"VAX2"
"ENSOARG00000011396",1,1,1,"RGS17"
"ENSOARG00000011007",1,1,1,"B2M"
"ENSOARG00000005918",1,1,1,"MGAT1"
"ENSOARG00000016589",1,1,1,"VWCE"
"ENSOARG00000013812",1,1,1,"NGF"
"ENSOARG00000009357",1,1,1,"-"
"ENSOARG00000014957",1,1,1,"RNF8"
"ENSOARG00000001015",1,1,1,"USP25"
"ENSOARG00000005574",1,1,1,"AK2"
"ENSOARG00000006250",1,1,1,"FBXL7"
"ENSOARG00000000878",1,1,1,"THSD1"
"ENSOARG00000001087",1,1,1,"ANGPT1"
"ENSOARG00000017827",1,1,1,"-"
"ENSOARG00000015965",1,1,1,"TINAGL1"
"ENSOARG00000015628",1,1,1,"CHCHD7"
"ENSOARG00000001202",1,1,1,"TBC1D1"
"ENSOARG00000013568",1,1,1,"THEM6"
"ENSOARG00000009583",1,1,1,"MORC3"
"ENSOARG00000004435",1,1,1,"MED1"
"ENSOARG00000020630",1,1,1,"SLK"
"ENSOARG00000015272",1,1,1,"FST"
"ENSOARG00000000257",1,1,1,"GM2A"
"ENSOARG00000001022",1,1,1,"IFNAR2"
"ENSOARG00000001148",1,1,1,"SEC23B"
"ENSOARG00000004077",1,1,1,"NOA1"
"ENSOARG00000017662",1,1,1,"-"
"ENSOARG00000018018",1,1,1,"FOSL1"
"ENSOARG00000010352",1,1,1,"ZDHHC16"
"ENSOARG00000018669",1,1,1,"MED25"
"ENSOARG00000006823",1,1,1,"-"
"ENSOARG00000010453",1,1,1,"TMEM50A"
"ENSOARG00000017604",1,1,1,"EIF5"
"ENSOARG00000020867",1,1,1,"PREB"
"ENSOARG00000020153",1,1,1,"TNIP1"
"ENSOARG00000008831",1,1,1,"SERPING1"
"ENSOARG00000011854",1,1,1,"-"
"ENSOARG00000016807",1,1,1,"SIK3"
"ENSOARG00000016854",1,1,1,"-"
"ENSOARG00000001151",1,1,1,"CUEDC1"
"ENSOARG00000001711",1,1,1,"TDRD7"
"ENSOARG00000018429",1,1,1,"SLC15A3"
"ENSOARG00000004206",1,1,1,"COA4"
"ENSOARG00000012102",1,1,1,"DENND2D"
"ENSOARG00000003457",1,1,1,"EXO1"
"ENSOARG00000014948",1,1,1,"SETDB1"
"ENSOARG00000010578",1,1,1,"-"
"ENSOARG00000008850",1,1,1,"S1PR2"
"ENSOARG00000009599",1,1,1,"NGFR"
"ENSOARG00000001872",1,1,1,"RNF139"
"ENSOARG00000001602",1,1,1,"NLGN2"
"ENSOARG00000001924",1,1,1,"TOR1AIP1"
"ENSOARG00000004162",1,1,1,"UNC93B1"
"ENSOARG00000014752",1,1,1,"PHACTR1"
"ENSOARG00000019406",1,1,1,"-"
"ENSOARG00000012528",1,1,1,"CMTR1"
"ENSOARG00000009157",1,1,1,"-"
"ENSOARG00000018948",1,1,1,"PI15"
"ENSOARG00000008038",1,1,1,"NAMPT"
"ENSOARG00000018022",1,1,1,"THOC7"
"ENSOARG00000021084",1,1,1,"PLA2G7"
"ENSOARG00000016174",1,1,1,"-"
"ENSOARG00000010628",1,1,1,"MTF2"
"ENSOARG00000011371",1,1,1,"GLS"
"ENSOARG00000007148",1,1,1,"BAK1"
"ENSOARG00000006163",1,1,1,"CRTC3"
"ENSOARG00000007513",1,1,1,"ZYG11B"
"ENSOARG00000013874",1,1,1,"-"
"ENSOARG00000011383",1,1,1,"EFNB2"
