"","BTV.1-2006_6h.
N=459","BTV.1-2013_6h.
N=598","BTV.8-2017_6h.
N=612","gene_names"
"ENSOARG00000017418",1,1,1,"ZBP1"
"ENSOARG00000013421",1,1,1,"IFI44L"
"ENSOARG00000015019",1,1,1,"B3GNT3"
"ENSOARG00000007427",1,1,1,"EPSTI1"
"ENSOARG00000011727",1,1,1,"RAI14"
"ENSOARG00000007603",1,1,1,"-"
"ENSOARG00000004084",1,1,1,"NUB1"
"ENSOARG00000013152",1,1,1,"RNF114"
"ENSOARG00000003966",1,1,1,"NOTCH3"
"ENSOARG00000016104",1,1,1,"PDE1B"
"ENSOARG00000020741",1,1,1,"TNFSF10"
"ENSOARG00000009303",1,1,1,"OTUD4"
"ENSOARG00000005617",1,1,1,"TNFSF13B"
"ENSOARG00000006876",1,1,1,"BAZ1A"
"ENSOARG00000019033",1,1,1,"-"
"ENSOARG00000007148",1,1,1,"CDKN2AIP"
"ENSOARG00000012408",1,1,1,"PARP12"
"ENSOARG00000012852",1,1,1,"CASP7"
"ENSOARG00000020160",1,1,1,"PARP14"
"ENSOARG00000019957",1,1,1,"GTF2E1"
"ENSOARG00000012621",1,1,1,"SLCO4A1"
"ENSOARG00000019512",1,1,1,"DENND2D"
"ENSOARG00000021075",1,1,1,"-"
"ENSOARG00000011947",1,1,1,"AFAP1"
"ENSOARG00000011997",1,1,1,"UBA7"
"ENSOARG00000006979",1,1,1,"RHBDF2"
"ENSOARG00000009673",1,1,1,"FMR1"
"ENSOARG00000014098",1,1,1,"ATAD1"
"ENSOARG00000003788",1,1,1,"MUC1"
"ENSOARG00000010283",1,1,1,"MX1"
"ENSOARG00000012449",1,1,1,"CDK17"
"ENSOARG00000018210",1,1,1,"TIMP3"
"ENSOARG00000018615",1,1,1,"SAMD9"
"ENSOARG00000016957",1,1,1,"N4BP1"
"ENSOARG00000013440",1,1,1,"IFI44"
"ENSOARG00000010964",1,1,1,"ISG20"
"ENSOARG00000014751",1,1,1,"STARD8"
"ENSOARG00000013040",1,1,1,"AMIGO3"
"ENSOARG00000003602",1,1,1,"-"
"ENSOARG00000021072",1,1,1,"THEM4"
"ENSOARG00000011069",1,1,1,"PKNOX1"
"ENSOARG00000013952",1,1,1,"MORC3"
"ENSOARG00000000306",1,1,1,"TIFA"
"ENSOARG00000005732",1,1,1,"C3orf58"
"ENSOARG00000000942",1,1,1,"RNF213"
"ENSOARG00000019742",1,1,1,"MXD1"
"ENSOARG00000016787",1,1,1,"-"
"ENSOARG00000016741",1,1,1,"FAM126B"
"ENSOARG00000017138",1,1,1,"C3orf38"
"ENSOARG00000017434",1,1,1,"CMYA5"
"ENSOARG00000005735",1,1,1,"-"
"ENSOARG00000006946",1,1,1,"AKAP2"
"ENSOARG00000013412",1,1,1,"DENND6A"
"ENSOARG00000020976",1,1,1,"GLDN"
"ENSOARG00000002923",1,1,1,"TIPARP"
"ENSOARG00000012485",1,1,1,"VWCE"
"ENSOARG00000019572",1,1,1,"QTRTD1"
"ENSOARG00000006130",1,1,1,"-"
"ENSOARG00000016952",1,1,1,"ENDOD1"
"ENSOARG00000009157",1,1,1,"NEK5"
"ENSOARG00000020092",1,1,1,"-"
"ENSOARG00000013525",1,1,1,"PDCD1LG2"
"ENSOARG00000005628",1,1,1,"EIF5"
"ENSOARG00000018475",1,1,1,"HMOX1"
"ENSOARG00000008119",1,1,1,"FST"
"ENSOARG00000020808",1,1,1,"EMP1"
"ENSOARG00000003068",1,1,1,"-"
"ENSOARG00000004077",1,1,1,"BEND5"
"ENSOARG00000010523",1,1,1,"JAG1"
"ENSOARG00000015864",1,1,1,"SOCS2"
"ENSOARG00000019192",1,1,1,"PLCXD2"
"ENSOARG00000006870",1,1,1,"RBMS1"
"ENSOARG00000016133",1,1,1,"NCKAP1L"
"ENSOARG00000017161",1,1,1,"BMPR1B"
"ENSOARG00000008702",1,1,1,"-"
"ENSOARG00000009519",1,1,1,"DAXX"
"ENSOARG00000009845",1,1,1,"OSMR"
"ENSOARG00000008212",1,1,1,"ITGA2"
"ENSOARG00000025783",1,1,1,"-"
"ENSOARG00000009583",1,1,1,"-"
"ENSOARG00000009740",1,1,1,"EIF2AK2"
"ENSOARG00000004194",1,1,1,"TIAM2"
"ENSOARG00000018392",1,1,1,"DESI1"
"ENSOARG00000009087",1,1,1,"ZUFSP"
"ENSOARG00000006068",1,1,1,"ZFP36"
"ENSOARG00000007065",1,1,1,"RMDN3"
"ENSOARG00000004304",1,1,1,"MAP1LC3C"
"ENSOARG00000000835",1,1,1,"SYNJ2"
"ENSOARG00000008369",1,1,1,"PNP"
"ENSOARG00000021187",1,1,1,"CD40"
"ENSOARG00000017761",1,1,1,"SUSD6"
"ENSOARG00000019548",1,1,1,"VCPIP1"
"ENSOARG00000013174",1,1,1,"B3GNT2"
"ENSOARG00000014722",1,1,1,"SNAI1"
"ENSOARG00000013922",1,1,1,"UTP20"
"ENSOARG00000001464",1,1,1,"TAF3"
"ENSOARG00000016586",1,1,1,"CXorf38"
"ENSOARG00000010808",1,1,1,"-"
"ENSOARG00000002164",1,1,1,"TEAD4"
"ENSOARG00000006315",1,1,1,"PNPT1"
"ENSOARG00000013588",1,1,1,"SETX"
"ENSOARG00000020656",1,1,1,"MED25"
"ENSOARG00000003826",1,1,1,"SP100"
"ENSOARG00000018871",1,1,1,"NUAK2"
"ENSOARG00000005922",1,1,1,"CD47"
"ENSOARG00000009199",1,1,1,"PPA1"
"ENSOARG00000012972",1,1,1,"RBM43"
"ENSOARG00000002654",1,1,1,"-"
"ENSOARG00000014423",1,1,1,"CBX8"
"ENSOARG00000010890",1,1,1,"DAB2IP"
"ENSOARG00000015234",1,1,1,"PDPN"
"ENSOARG00000016678",1,1,1,"PARM1"
"ENSOARG00000003029",1,1,1,"SOAT1"
"ENSOARG00000017205",1,1,1,"BAG3"
"ENSOARG00000004206",1,1,1,"TNFRSF1B"
"ENSOARG00000016040",1,1,1,"NOSTRIN"
"ENSOARG00000016216",1,1,1,"HECTD2"
"ENSOARG00000016027",1,1,1,"SDAD1"
"ENSOARG00000020072",1,1,1,"USP25"
"ENSOARG00000010589",1,1,1,"FSIP1"
"ENSOARG00000002264",1,1,1,"SMARCA5"
"ENSOARG00000010390",1,1,1,"RAD54L"
"ENSOARG00000012415",1,1,1,"LIMD1"
"ENSOARG00000026747",1,1,1,"OGFR"
"ENSOARG00000004007",1,1,1,"-"
"ENSOARG00000014815",1,1,1,"LIPG"
"ENSOARG00000007866",1,1,1,"IFIT5"
"ENSOARG00000005307",1,1,1,"PSMB9"
"ENSOARG00000019566",1,1,1,"DDX21"
"ENSOARG00000018528",1,1,1,"WDR43"
"ENSOARG00000009140",1,1,1,"TGM2"
"ENSOARG00000012085",1,1,1,"LRRC8A"
"ENSOARG00000000251",1,1,1,"ADAMTS3"
"ENSOARG00000003457",1,1,1,"TARS"
"ENSOARG00000012334",1,1,1,"IRF2BPL"
"ENSOARG00000019968",1,1,1,"ADRA1D"
"ENSOARG00000014911",1,1,1,"-"
"ENSOARG00000020416",1,1,1,"PXK"
"ENSOARG00000020138",1,1,1,"BHLHE41"
"ENSOARG00000013856",1,1,1,"EFNB1"
"ENSOARG00000002585",1,1,1,"ATP13A3"
"ENSOARG00000020437",1,1,1,"NGF"
"ENSOARG00000006373",1,1,1,"-"
"ENSOARG00000019377",1,1,1,"MOB3C"
"ENSOARG00000009520",1,1,1,"DOCK10"
"ENSOARG00000003635",1,1,1,"CLEC16A"
"ENSOARG00000012366",1,1,1,"C3orf17"
"ENSOARG00000007856",1,1,1,"BAG1"
"ENSOARG00000007580",1,1,1,"FBXW11"
"ENSOARG00000008133",1,1,1,"MFSD12"
"ENSOARG00000020405",1,1,1,"-"
"ENSOARG00000012032",1,1,1,"PLEKHA1"
"ENSOARG00000001786",1,1,1,"HTR2A"
"ENSOARG00000018383",1,1,1,"WDFY1"
"ENSOARG00000014520",1,1,1,"MAMSTR"
"ENSOARG00000015605",1,1,1,"STX11"
"ENSOARG00000001626",1,1,1,"DHX58"
"ENSOARG00000020041",1,1,1,"EXOSC9"
"ENSOARG00000018887",1,1,1,"TRIM26"
"ENSOARG00000008867",1,1,1,"PPM1K"
"ENSOARG00000016964",1,1,1,"VPS54"
"ENSOARG00000017411",1,1,1,"ELMO2"
"ENSOARG00000018940",1,1,1,"ANKFY1"
"ENSOARG00000002814",1,1,1,"PLAUR"
"ENSOARG00000016460",1,1,1,"SEC24D"
"ENSOARG00000017342",1,1,1,"CSRNP2"
"ENSOARG00000020873",1,1,1,"SCLY"
"ENSOARG00000015974",1,1,1,"-"
"ENSOARG00000009682",1,1,1,"TOR3A"
"ENSOARG00000010453",1,1,1,"-"
"ENSOARG00000012413",1,1,1,"RNF19B"
"ENSOARG00000009981",1,1,1,"SLC15A3"
"ENSOARG00000017763",1,1,1,"RICTOR"
"ENSOARG00000007605",1,1,1,"TPST1"
"ENSOARG00000008681",1,1,1,"IP6K1"
"ENSOARG00000019733",1,1,1,"TBC1D1"
"ENSOARG00000021041",1,1,1,"MFN2"
"ENSOARG00000011158",1,1,1,"FNBP4"
"ENSOARG00000002971",1,1,1,"SPSB1"
"ENSOARG00000011204",1,1,1,"MOV10"
"ENSOARG00000015121",1,1,1,"C15orf48"
"ENSOARG00000002871",1,1,1,"ENPP1"
"ENSOARG00000017734",1,1,1,"ESF1"
"ENSOARG00000019779",1,1,1,"PHACTR4"
"ENSOARG00000009641",1,1,1,"GRIPAP1"
"ENSOARG00000006104",1,1,1,"CMTM6"
"ENSOARG00000003860",1,1,1,"ATL3"
"ENSOARG00000013213",1,1,1,"TOR1AIP2"
"ENSOARG00000006078",1,1,1,"ARNTL2"
"ENSOARG00000017569",1,1,1,"HDAC9"
"ENSOARG00000003995",1,1,1,"MB21D1"
"ENSOARG00000014591",1,1,1,"-"
"ENSOARG00000012526",1,1,1,"DUSP10"
"ENSOARG00000007683",1,1,1,"COL27A1"
"ENSOARG00000020667",1,1,1,"NOP58"
"ENSOARG00000020401",1,1,1,"HNRNPF"
"ENSOARG00000003146",1,1,1,"AZI2"
"ENSOARG00000008995",1,1,1,"SLC25A28"
"ENSOARG00000017068",1,1,1,"CXCL16"
"ENSOARG00000017150",1,1,1,"-"
"ENSOARG00000011372",1,1,1,"FOXJ3"
"ENSOARG00000016935",1,1,1,"JADE2"
"ENSOARG00000005891",1,1,1,"GMPS"
"ENSOARG00000009363",1,1,1,"DNAJC13"
"ENSOARG00000021069",1,1,1,"TRAK2"
"ENSOARG00000006911",1,1,1,"LHFPL2"
"ENSOARG00000015507",1,1,1,"BATF2"
"ENSOARG00000011792",1,1,1,"BCAR3"
"ENSOARG00000013252",1,1,1,"DHX15"
"ENSOARG00000019467",1,1,1,"GLRX2"
"ENSOARG00000013880",1,1,1,"BMP4"
"ENSOARG00000005709",1,1,1,"-"
"ENSOARG00000025182",1,1,1,"NOL10"
"ENSOARG00000014587",1,1,1,"ACSL5"
"ENSOARG00000013799",1,1,1,"CUL4B"
"ENSOARG00000016244",1,1,1,"-"
"ENSOARG00000006923",1,1,1,"DLX3"
"ENSOARG00000010770",1,1,1,"DRAM2"
"ENSOARG00000008531",1,1,1,"AIDA"
"ENSOARG00000007419",1,1,1,"COBLL1"
"ENSOARG00000020074",1,1,1,"-"
"ENSOARG00000000944",1,1,1,"UPF2"
"ENSOARG00000015431",1,1,1,"SLC25A40"
"ENSOARG00000009653",1,1,1,"NCKIPSD"
"ENSOARG00000015562",1,1,1,"AKAP12"
"ENSOARG00000019722",1,1,1,"RSL1D1"
"ENSOARG00000014203",1,1,1,"STARD13"
"ENSOARG00000015905",1,1,1,"-"
"ENSOARG00000001803",1,1,1,"ABL1"
"ENSOARG00000006823",1,1,1,"LAP3"
"ENSOARG00000010641",1,1,1,"PARP9"
"ENSOARG00000011396",1,1,1,"CPNE8"
"ENSOARG00000009530",1,1,1,"TRIM21"
"ENSOARG00000018661",1,1,1,"ODC1"
"ENSOARG00000006042",1,1,1,"UPRT"
"ENSOARG00000011627",1,1,1,"RGS2"
"ENSOARG00000020325",1,1,1,"TRIM38"
"ENSOARG00000011051",1,1,1,"S1PR2"
"ENSOARG00000003510",1,1,1,"-"
"ENSOARG00000005050",1,1,1,"PPFIBP1"
"ENSOARG00000006813",1,1,1,"CCRL2"
"ENSOARG00000012181",1,1,1,"GNB4"
"ENSOARG00000013910",1,1,1,"-"
"ENSOARG00000003192",1,1,1,"ZNF710"
"ENSOARG00000014936",1,1,1,"EIF4E"
"ENSOARG00000003723",1,1,1,"USP42"
"ENSOARG00000017954",1,1,1,"SUGT1"
"ENSOARG00000000384",1,1,1,"VASN"
"ENSOARG00000018290",1,1,1,"C9orf91"
"ENSOARG00000001973",1,1,1,"THOC7"
"ENSOARG00000009908",1,1,1,"YES1"
"ENSOARG00000003408",1,1,1,"PSMB8"
"ENSOARG00000018170",1,1,1,"-"
"ENSOARG00000001238",1,1,1,"SAMD4B"
"ENSOARG00000020867",1,1,1,"ASCC3"
"ENSOARG00000003763",1,1,1,"WDR3"
"ENSOARG00000006626",1,1,1,"CRISPLD2"
"ENSOARG00000008545",1,1,1,"-"
"ENSOARG00000000517",1,1,1,"MSN"
"ENSOARG00000010801",1,1,1,"VEGFC"
"ENSOARG00000003189",1,1,1,"TLK2"
"ENSOARG00000006023",1,1,1,"AKAP7"
"ENSOARG00000002783",1,1,1,"CTSS"
"ENSOARG00000014350",1,1,1,"RABL3"
"ENSOARG00000011371",1,1,1,"SLC33A1"
"ENSOARG00000002524",1,1,1,"KIAA1462"
"ENSOARG00000020378",1,1,1,"LMO4"
"ENSOARG00000020889",1,1,1,"DHX38"
"ENSOARG00000001202",1,1,1,"CNP"
"ENSOARG00000009886",1,1,1,"NAV3"
"ENSOARG00000009897",1,1,1,"ACSL4"
"ENSOARG00000007620",1,1,1,"MAK16"
"ENSOARG00000010182",1,1,1,"NAT10"
"ENSOARG00000003738",1,1,1,"TP53I11"
"ENSOARG00000014804",1,1,1,"CCNB3"
"ENSOARG00000020535",1,1,1,"-"
"ENSOARG00000007429",1,1,1,"ABCB7"
"ENSOARG00000007092",1,1,1,"DMXL1"
"ENSOARG00000008027",1,1,1,"CGNL1"
"ENSOARG00000001060",1,1,1,"AGO2"
"ENSOARG00000017193",1,1,1,"SERTAD2"
"ENSOARG00000018860",1,1,1,"-"
"ENSOARG00000001749",1,1,1,"OSR1"
"ENSOARG00000015989",1,1,1,"IRF7"
"ENSOARG00000000739",1,1,1,"FGF10"
"ENSOARG00000000264",1,1,1,"ADGRG1"
"ENSOARG00000004227",1,1,1,"PRICKLE3"
"ENSOARG00000017480",1,1,1,"INPP5F"
"ENSOARG00000000161",1,1,1,"ERBB2IP"
"ENSOARG00000015960",1,1,1,"-"
"ENSOARG00000004993",1,1,1,"ZNHIT6"
"ENSOARG00000011053",1,1,1,"ATXN7"
"ENSOARG00000020264",1,1,0,"PPP1R15B"
"ENSOARG00000013204",1,1,0,"ACSS1"
"ENSOARG00000002269",1,1,0,"PAPD7"
"ENSOARG00000014188",1,1,0,"TRAFD1"
"ENSOARG00000005566",1,1,0,"HIVEP3"
"ENSOARG00000003421",1,1,0,"NEDD4"
"ENSOARG00000020150",1,1,0,"PLK3"
"ENSOARG00000018215",1,1,0,"-"
"ENSOARG00000001519",1,1,0,"UFM1"
"ENSOARG00000002725",1,0,1,"CAMK1D"
"ENSOARG00000007622",1,1,0,"-"
"ENSOARG00000014717",1,1,0,"TAPT1"
"ENSOARG00000018154",1,1,0,"STAT3"
"ENSOARG00000014996",1,1,0,"TXNL4B"
"ENSOARG00000019536",1,0,1,"C19orf66"
"ENSOARG00000006724",1,1,0,"TMEM50A"
"ENSOARG00000006624",1,1,0,"SNAP23"
"ENSOARG00000014904",1,0,1,"PSMA6"
"ENSOARG00000015405",1,0,1,"RGCC"
"ENSOARG00000001511",1,0,1,"EBF3"
"ENSOARG00000014932",1,1,0,"MYC"
"ENSOARG00000001152",1,0,1,"KDR"
"ENSOARG00000000576",1,0,1,"GM2A"
"ENSOARG00000018175",1,0,1,"ARHGAP29"
"ENSOARG00000005269",1,1,0,"KLHL30"
"ENSOARG00000007452",0,1,1,"PLAGL1"
"ENSOARG00000009225",0,1,1,"MPHOSPH10"
"ENSOARG00000002569",0,1,1,"-"
"ENSOARG00000011272",0,1,1,"-"
"ENSOARG00000018536",0,1,1,"-"
"ENSOARG00000012021",0,1,1,"CCDC6"
"ENSOARG00000013883",0,1,1,"C1S"
"ENSOARG00000020270",0,1,1,"ELL2"
"ENSOARG00000018429",0,1,1,"GSDMD"
"ENSOARG00000006025",0,1,1,"-"
"ENSOARG00000018727",0,1,1,"KCTD12"
"ENSOARG00000008199",0,1,1,"-"
"ENSOARG00000011436",0,1,1,"DNAJC7"
"ENSOARG00000020857",0,1,1,"B3GALT2"
"ENSOARG00000008971",0,1,1,"-"
"ENSOARG00000013619",0,1,1,"TMEM106A"
"ENSOARG00000009446",0,1,1,"NOL9"
"ENSOARG00000011001",0,1,1,"HSPA1B"
"ENSOARG00000011604",0,1,1,"RND3"
"ENSOARG00000018111",0,1,1,"-"
"ENSOARG00000000072",0,1,1,"PRDM1"
"ENSOARG00000013317",0,1,1,"FERMT1"
"ENSOARG00000021084",0,1,1,"IL6"
"ENSOARG00000013671",0,1,1,"ARID5A"
"ENSOARG00000018832",0,1,1,"EPHA4"
"ENSOARG00000015592",0,1,1,"ARHGEF5"
"ENSOARG00000001352",0,1,1,"SLC26A4"
"ENSOARG00000006584",0,1,1,"-"
"ENSOARG00000018897",0,1,1,"PTPRJ"
"ENSOARG00000001806",0,1,1,"MGAT5"
"ENSOARG00000005448",0,1,1,"-"
"ENSOARG00000012946",0,1,1,"DUSP16"
"ENSOARG00000002888",0,1,1,"KIF27"
"ENSOARG00000013804",0,1,1,"DKK1"
"ENSOARG00000012766",0,1,1,"PPP4R2"
"ENSOARG00000006705",0,1,1,"-"
"ENSOARG00000008016",0,1,1,"FAM111B"
"ENSOARG00000020165",0,1,1,"HOMEZ"
"ENSOARG00000002045",0,1,1,"RAB9A"
"ENSOARG00000020579",0,1,1,"FOSL1"
"ENSOARG00000019074",0,1,1,"TBX18"
"ENSOARG00000006197",0,1,1,"MAPK1IP1L"
"ENSOARG00000012378",0,1,1,"TSKU"
"ENSOARG00000015286",0,1,1,"GADD45B"
"ENSOARG00000013865",0,1,1,"TLR4"
"ENSOARG00000013690",0,1,1,"IL4R"
"ENSOARG00000018018",0,1,1,"KITLG"
"ENSOARG00000003819",0,1,1,"SMG7"
"ENSOARG00000005511",0,1,1,"C1RL"
"ENSOARG00000010803",0,1,1,"UGCG"
"ENSOARG00000003489",0,1,1,"IFT57"
"ENSOARG00000019902",0,1,1,"THEM6"
"ENSOARG00000007928",0,1,1,"EHHADH"
"ENSOARG00000007935",0,1,1,"EFNB2"
"ENSOARG00000011531",0,1,1,"IPMK"
"ENSOARG00000016168",0,1,1,"SPDL1"
"ENSOARG00000013337",0,1,1,"CBR3"
"ENSOARG00000018341",0,1,1,"UBE2J1"
"ENSOARG00000009072",0,1,1,"CALCOCO2"
"ENSOARG00000011221",0,1,1,"TNIP1"
