"","BTV.1-2006_6h.
N=459","BTV.1-2013_6h.
N=598","BTV.8-2017_6h.
N=612","gene_names"
"ENSOARG00000009552",0,1,1,"-"
"ENSOARG00000001544",0,1,1,"JUN"
"ENSOARG00000020117",0,1,1,"H3F3A"
"ENSOARG00000020154",0,1,1,"PCDH9"
"ENSOARG00000017077",0,1,1,"ARL6IP5"
"ENSOARG00000012798",0,1,1,"-"
"ENSOARG00000009262",0,1,1,"VAX2"
"ENSOARG00000012360",0,1,1,"RELL1"
"ENSOARG00000002685",0,1,1,"G6PC3"
"ENSOARG00000005084",0,1,1,"PSMB10"
"ENSOARG00000012692",0,1,1,"-"
"ENSOARG00000008824",1,0,0,"TAPBP"
"ENSOARG00000014007",1,0,0,"SNORD12"
"ENSOARG00000017647",1,0,0,"-"
"ENSOARG00000003112",1,0,0,"FRYL"
"ENSOARG00000019064",1,0,0,"SERTAD1"
"ENSOARG00000020697",1,0,0,"IRF3"
"ENSOARG00000011959",1,0,0,"CBLN3"
"ENSOARG00000005984",1,0,0,"SRFBP1"
"ENSOARG00000020861",1,0,0,"RCHY1"
"ENSOARG00000019939",1,0,0,"XRN1"
"ENSOARG00000016880",1,0,0,"MAPKAPK5"
"ENSOARG00000010093",1,0,0,"EPN3"
"ENSOARG00000006239",1,0,0,"CSTF2"
"ENSOARG00000008438",1,0,0,"-"
"ENSOARG00000004658",1,0,0,"LMLN"
"ENSOARG00000019099",1,0,0,"PLEKHA3"
"ENSOARG00000011707",1,0,0,"RARA"
"ENSOARG00000005523",0,1,0,"DENND3"
"ENSOARG00000019342",0,1,0,"ACBD5"
"ENSOARG00000006801",0,1,0,"-"
"ENSOARG00000005792",0,1,0,"CNGA3"
"ENSOARG00000004379",0,1,0,"CMTR1"
"ENSOARG00000020569",0,1,0,"STAM2"
"ENSOARG00000005206",0,1,0,"SPATA5L1"
"ENSOARG00000003484",0,1,0,"SEC24B"
"ENSOARG00000024331",0,1,0,"RFXANK"
"ENSOARG00000017572",0,1,0,"TLR3"
"ENSOARG00000004039",0,1,0,"MLKL"
"ENSOARG00000005443",0,1,0,"TOPORS"
"ENSOARG00000005855",0,1,0,"F11R"
"ENSOARG00000000142",0,1,0,"SYNPO"
"ENSOARG00000014170",0,1,0,"-"
"ENSOARG00000010067",0,1,0,"GNL2"
"ENSOARG00000006560",0,1,0,"RNGTT"
"ENSOARG00000013051",0,1,0,"GRWD1"
"ENSOARG00000003206",0,1,0,"LZTS1"
"ENSOARG00000015825",0,1,0,"STOML1"
"ENSOARG00000003243",0,1,0,"TCAF2"
"ENSOARG00000009391",0,1,0,"CACHD1"
"ENSOARG00000022705",0,1,0,"ZNF800"
"ENSOARG00000013335",0,1,0,"TMEM100"
"ENSOARG00000019063",0,1,0,"B3GNT5"
"ENSOARG00000020253",0,1,0,"THUMPD2"
"ENSOARG00000003114",0,1,0,"DMRT2"
"ENSOARG00000015972",0,1,0,"IL17RC"
"ENSOARG00000017651",0,1,0,"-"
"ENSOARG00000013580",0,1,0,"MGAT1"
"ENSOARG00000021043",0,1,0,"CREM"
"ENSOARG00000006166",0,1,0,"PTGIS"
"ENSOARG00000007513",0,1,0,"SAMD4A"
"ENSOARG00000001701",0,1,0,"SERPINE1"
"ENSOARG00000011758",0,1,0,"-"
"ENSOARG00000004309",0,1,0,"RIPK1"
"ENSOARG00000018199",0,1,0,"ETNK1"
"ENSOARG00000013740",0,1,0,"-"
"ENSOARG00000020655",0,1,0,"ZNF654"
"ENSOARG00000007841",0,1,0,"-"
"ENSOARG00000013245",0,1,0,"TMEM41B"
"ENSOARG00000005521",0,1,0,"CARD6"
"ENSOARG00000006889",0,1,0,"ELK3"
"ENSOARG00000016716",0,1,0,"METTL13"
"ENSOARG00000012715",0,1,0,"-"
"ENSOARG00000009395",0,1,0,"MBNL2"
"ENSOARG00000013736",0,1,0,"MMP3"
"ENSOARG00000009042",0,1,0,"MOGS"
"ENSOARG00000006851",0,1,0,"LZIC"
"ENSOARG00000007953",0,1,0,"TMEM184C"
"ENSOARG00000003550",0,0,1,"MAP3K6"
"ENSOARG00000011783",0,0,1,"-"
"ENSOARG00000001314",0,0,1,"ZNF628"
"ENSOARG00000010882",0,0,1,"SLC37A1"
"ENSOARG00000013960",0,0,1,"USP4"
"ENSOARG00000013797",0,0,1,"BIRC8"
"ENSOARG00000009089",0,0,1,"SMAD1"
"ENSOARG00000020782",0,0,1,"APH1A"
"ENSOARG00000010220",0,0,1,"ZDHHC16"
"ENSOARG00000001111",0,0,1,"ID1"
"ENSOARG00000015245",0,0,1,"SMURF2"
"ENSOARG00000011594",0,0,1,"GNE"
"ENSOARG00000008726",0,0,1,"IQSEC2"
"ENSOARG00000005082",0,0,1,"NOA1"
"ENSOARG00000000878",0,0,1,"KIFC3"
"ENSOARG00000013500",0,0,1,"PLGRKT"
"ENSOARG00000006007",0,0,1,"NGFR"
"ENSOARG00000009388",0,0,1,"THSD1"
"ENSOARG00000020614",0,0,1,"TRIP12"
"ENSOARG00000010628",0,0,1,"TMEM206"
"ENSOARG00000020442",0,0,1,"NOTCH2"
"ENSOARG00000006799",0,0,1,"ACOT8"
"ENSOARG00000019207",0,0,1,"-"
"ENSOARG00000008398",0,0,1,"FAT1"
"ENSOARG00000014341",0,0,1,"DDX24"
"ENSOARG00000014369",0,0,1,"SVIL"
"ENSOARG00000000216",0,0,1,"ACTR5"
"ENSOARG00000014899",0,0,1,"ZDHHC17"
"ENSOARG00000012416",0,0,1,"-"
"ENSOARG00000008099",0,0,1,"SAMD11"
"ENSOARG00000010930",0,0,1,"CDCP1"
"ENSOARG00000001447",0,0,1,"WHSC1L1"
"ENSOARG00000018146",0,0,1,"FICD"
"ENSOARG00000025483",0,0,1,"-"
"ENSOARG00000019002",0,0,1,"RGS16"
"ENSOARG00000013099",0,0,1,"FBXL7"
"ENSOARG00000014991",0,0,1,"EXTL3"
"ENSOARG00000016778",0,0,1,"POLK"
"ENSOARG00000016290",0,0,1,"APOBEC3H"
"ENSOARG00000014488",0,0,1,"ERG"
"ENSOARG00000020981",0,0,1,"SPPL2A"
"ENSOARG00000019909",0,0,1,"ITPR2"
"ENSOARG00000013179",0,0,1,"LAMP2"
"ENSOARG00000002903",0,0,1,"-"
"ENSOARG00000014861",0,0,1,"SH3GLB1"
"ENSOARG00000009947",0,0,1,"TCEAL1"
"ENSOARG00000013945",0,0,1,"BAG5"
"ENSOARG00000014926",0,0,1,"ADGRD1"
"ENSOARG00000016886",0,0,1,"CHST11"
"ENSOARG00000002594",0,0,1,"CHM"
"ENSOARG00000010810",0,0,1,"TRPS1"
"ENSOARG00000020548",0,0,1,"ETV5"
"ENSOARG00000017238",0,0,1,"TNRC6B"
"ENSOARG00000016615",0,0,1,"MFSD5"
"ENSOARG00000011571",0,0,1,"PQBP1"
"ENSOARG00000018847",0,0,1,"CREB1"
"ENSOARG00000007144",0,0,1,"TCOF1"
"ENSOARG00000011074",0,0,1,"MED1"
"ENSOARG00000002237",0,0,1,"GORASP2"
"ENSOARG00000015654",0,0,1,"ACKR4"
"ENSOARG00000010258",0,0,1,"PGAM5"
"ENSOARG00000008751",0,0,1,"GEMIN6"
"ENSOARG00000011854",0,0,1,"EDEM2"
"ENSOARG00000013097",0,0,1,"FAM73A"
"ENSOARG00000006212",0,0,1,"CRABP2"
"ENSOARG00000007664",0,0,1,"PIK3CD"
"ENSOARG00000004435",0,0,1,"-"
"ENSOARG00000015959",0,0,1,"ZAN"
"ENSOARG00000018523",0,0,1,"KAT2A"
"ENSOARG00000012744",0,0,1,"NRAP"
"ENSOARG00000019106",0,0,1,"RBCK1"
"ENSOARG00000017186",0,0,1,"PAPD5"
"ENSOARG00000016505",0,0,1,"CPT1A"
