"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000018303",5.64695408437845,6.53523029325942,597.384360571186,4.10575720150208e-24,1.11077155329437e-19,NA
"ENSOARG00000004964",4.99751826998146,7.56114778963598,369.690789329924,1.33297759423101e-20,1.80311879171629e-16,"CCL5"
"ENSOARG00000016195",4.28975945406479,5.07068344447778,344.743546989721,4.21998891000034e-20,3.16543106044789e-16,"ZNF385A"
"ENSOARG00000008675",6.91750059117839,7.5713579489677,342.579668430848,4.68016716263456e-20,3.16543106044789e-16,NA
"ENSOARG00000025779",4.2009163372509,3.16582535318518,325.789402763901,1.06673282318926e-19,5.77187795971244e-16,NA
"ENSOARG00000005821",3.07204891000678,6.74203280066455,318.696929599652,1.52834887721839e-19,6.63711006174361e-16,"PMAIP1"
"ENSOARG00000000569",4.40976725928834,6.63261231358662,316.427881915121,1.71729764294394e-19,6.63711006174361e-16,"TNFAIP3"
"ENSOARG00000008791",7.37121045505163,7.68423549000959,312.094352394467,2.15001925158427e-19,7.2708276040451e-16,NA
"ENSOARG00000019349",2.99829720689638,6.7679738578425,293.29213603231,5.89525511439414e-19,1.77211368738688e-15,"CSF1"
"ENSOARG00000008697",6.87026826912935,7.81563267687823,283.647156237877,1.01169632430842e-18,2.72472179087639e-15,NA
"ENSOARG00000006704",2.29552185693062,6.45861030090504,282.053648013465,1.10785612847048e-18,2.72472179087639e-15,"ETV3"
"ENSOARG00000014729",3.34309277298297,6.60495424267773,273.814232378363,1.78480782412801e-18,4.0238492394966e-15,"CD68"
"ENSOARG00000002320",3.2269023789279,3.71506249022698,269.397264554323,2.31688274699163e-18,4.82161121823936e-15,"LSMEM1"
"ENSOARG00000003870",5.36251549565004,3.34145249627299,267.229089635071,2.63711602625483e-18,4.91953380626078e-15,"AOC2"
"ENSOARG00000007452",5.62815341911479,6.8744088285311,266.666519578137,2.72761909861432e-18,4.91953380626078e-15,"HSPA6"
"ENSOARG00000019098",3.56470983595577,6.79631808743356,260.765807648943,3.9008570853171e-18,6.59586172413556e-15,"RND1"
"ENSOARG00000011235",3.21254003941483,5.85853829700014,235.942560457775,1.90832474837609e-17,3.0369304554451e-14,"SIK1"
"ENSOARG00000004971",2.90637463543623,5.65056533374127,234.753172994176,2.06659773483143e-17,3.10609639545164e-14,"IRAK2"
"ENSOARG00000009417",3.9952219776603,3.10876916976923,215.530998387062,7.88321778490092e-17,1.12248723133005e-13,"COL10A1"
"ENSOARG00000005209",3.23324705788302,5.73437419780355,213.608918599951,9.06316404629626e-17,1.2259742005425e-13,"SDC4"
"ENSOARG00000015656",1.9909051076438,8.79289130890981,211.784463329231,1.03565304628988e-16,1.33421702449173e-13,"ICAM1"
"ENSOARG00000015802",5.07181391960855,2.89490690576283,209.822980192111,1.19668468815713e-16,1.47159579788196e-13,"PCLO"
"ENSOARG00000000269",5.61227809278188,3.27492358236801,206.25053008431,1.56169981028242e-16,1.83696637684264e-13,"RASGEF1B"
"ENSOARG00000002251",4.09395556379347,4.81352362940325,205.509281531637,1.65120708233447e-16,1.86132318356153e-13,"IDO1"
"ENSOARG00000009498",2.90304663288837,6.83213473406261,204.316151112211,1.80683276569582e-16,1.9028962527977e-13,"NFKBIE"
"ENSOARG00000000304",1.49362531037686,6.23660395127364,204.156800626374,1.82876109162195e-16,1.9028962527977e-13,"ACKR3"
"ENSOARG00000006001",8.50610774796259,6.09630076738576,200.825438413521,2.3577082620789e-16,2.36242367860305e-13,NA
"ENSOARG00000014916",3.09530372086556,4.41520038484069,196.847348567039,3.20850767006528e-16,3.10010594664093e-13,"CSRP2"
"ENSOARG00000002035",2.21017991094395,10.2364955089849,195.281555454744,3.62746596832244e-16,3.38405049334466e-13,"WARS"
"ENSOARG00000013620",1.5426969239366,7.60819493628362,193.271640052809,4.25163072355335e-16,3.76782660426474e-13,"ADGRL2"
"ENSOARG00000015236",1.80331878680595,5.30161714822269,193.078274929199,4.31738836150687e-16,3.76782660426474e-13,"MAFF"
