"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000018303",6.48279678735794,6.53523029325942,771.201683795859,5.04554911248193e-26,1.36502285689086e-21,NA
"ENSOARG00000004964",6.13751835754493,7.56114778963598,513.534210783024,5.40064957566663e-23,7.30545868100425e-19,"CCL5"
"ENSOARG00000008675",7.87346946482843,7.5713579489677,431.937820767037,9.98582475192223e-22,6.82631296785829e-18,NA
"ENSOARG00000005821",3.62500650965978,6.74203280066455,429.100882139693,1.1151229783645e-21,6.82631296785829e-18,"PMAIP1"
"ENSOARG00000019349",3.69241034379674,6.7679738578425,425.949208935932,1.26160881345795e-21,6.82631296785829e-18,"CSF1"
"ENSOARG00000009417",5.29925170590046,3.10876916976923,415.870251780511,1.88293394300038e-21,8.4901491489887e-18,"COL10A1"
"ENSOARG00000019098",4.5834462163699,6.79631808743356,405.742914769758,2.84144731240059e-21,1.09817879413836e-17,"RND1"
"ENSOARG00000014916",4.32172812116797,4.41520038484069,389.189297365062,5.68423898254124e-21,1.71740959541504e-17,"CSRP2"
"ENSOARG00000008791",8.33009336067104,7.68423549000959,389.069998568123,5.71327210716914e-21,1.71740959541504e-17,NA
"ENSOARG00000004971",3.73611281479801,5.65056533374127,372.878963721855,1.15636949266963e-20,3.12844202546841e-17,"IRAK2"
"ENSOARG00000008697",7.83781353397399,7.81563267687823,356.342129123981,2.44712919180472e-20,6.01860301409863e-17,NA
"ENSOARG00000000569",4.68109287374316,6.63261231358662,350.770921848619,3.1727974671961e-20,7.15307188979361e-17,"TNFAIP3"
"ENSOARG00000015656",2.59515993289784,8.79289130890981,345.158450552235,4.13734577331812e-20,8.61013481164219e-17,"ICAM1"
"ENSOARG00000020576",7.53476079998013,3.97179468904133,338.922261728883,5.58245331971756e-20,1.07876922936885e-16,"CCL20"
"ENSOARG00000007452",6.41884560399503,6.8744088285311,330.48937555179,8.43820933565445e-20,1.52191543577864e-16,"HSPA6"
"ENSOARG00000015802",5.90836796222327,2.89490690576283,325.794704681924,1.06644894535297e-19,1.8032318604737e-16,"PCLO"
"ENSOARG00000006704",2.42107874471197,6.45861030090504,311.946344677044,2.16669186373094e-19,3.4179983259904e-16,"ETV3"
"ENSOARG00000006356",2.78649495017492,8.24080566707613,311.02060506599,2.27411731602821e-19,3.4179983259904e-16,"BIRC3"
"ENSOARG00000002320",3.39385877699473,3.71506249022698,299.912688394248,4.10636528560763e-19,5.84703191772783e-16,"LSMEM1"
"ENSOARG00000006001",9.85681005832483,6.09630076738576,294.658609400818,5.46803099522487e-19,7.39660552724069e-16,NA
"ENSOARG00000016195",3.94688592866993,5.07068344447778,292.835247453207,6.04584346537024e-19,7.78877376724412e-16,"ZNF385A"
