"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000018303",6.95692999992029,6.53523029325942,950.745665636662,1.32119712002163e-27,3.57436668850652e-23,NA
"ENSOARG00000008675",8.08563192446232,7.5713579489677,509.906025528505,6.0904883348509e-23,6.25204166504963e-19,NA
"ENSOARG00000019349",4.06569084284428,6.7679738578425,506.022992266912,6.93284726663299e-23,6.25204166504963e-19,"CSF1"
"ENSOARG00000005821",3.76577580685856,6.74203280066455,463.60052607101,3.04279869981205e-22,2.05799690061788e-18,"PMAIP1"
"ENSOARG00000008697",8.64701114123827,7.81563267687823,437.246354586506,8.1368625584203e-22,3.73606264914234e-18,NA
"ENSOARG00000008791",8.09432726076365,7.68423549000959,436.773712117224,8.28578986281291e-22,3.73606264914234e-18,NA
"ENSOARG00000020576",7.07333400412382,3.97179468904133,422.946398794774,1.42015848342016e-21,5.48870965863558e-18,"CCL20"
"ENSOARG00000015802",5.77630438982577,2.89490690576283,402.777067969864,3.21108555191403e-21,1.08590885651853e-17,"PCLO"
"ENSOARG00000015656",2.77825983911571,8.79289130890981,390.940362468641,5.27554717246005e-21,1.56807288210717e-17,"ICAM1"
"ENSOARG00000018242",6.05071401560342,2.45736852373041,388.733197766971,5.79608517079609e-21,1.56807288210717e-17,NA
"ENSOARG00000019098",4.30302373812628,6.79631808743356,382.999683786261,7.41818246538248e-21,1.82273801632423e-17,"RND1"
"ENSOARG00000004964",4.95610527209449,7.56114778963598,381.018230587172,8.08488807418153e-21,1.82273801632423e-17,"CCL5"
"ENSOARG00000006001",10.2454245364861,6.09630076738576,375.216313522135,1.04267480231638e-20,2.16988646937441e-17,NA
"ENSOARG00000018703",4.15878021294061,3.00349690573225,371.013749348482,1.25646450571787e-20,2.4280279098351e-17,"APOL3"
"ENSOARG00000015169",2.96321994545718,10.0167108939723,362.530172628488,1.84183375577905e-20,3.3219313619231e-17,"IFIT2"
"ENSOARG00000008597",2.87189765341567,5.08772995681187,360.050965346275,2.06281575876264e-20,3.48796359609777e-17,"SGMS2"
"ENSOARG00000005209",4.1312569991661,5.73437419780355,350.605478474525,3.1975436873776e-20,5.08860864225375e-17,"SDC4"
"ENSOARG00000004186",5.8666955064116,1.81666663858986,340.675628153459,5.1289367421174e-20,7.70879192340246e-17,"FAM13C"
"ENSOARG00000016736",3.13820632577582,5.04836091595178,336.308638314542,6.33867474023395e-20,9.02560560117311e-17,"DUSP19"
"ENSOARG00000000569",4.4823404071238,6.63261231358662,329.273207852941,8.9632898710187e-20,1.2124642208527e-16,"TNFAIP3"
"ENSOARG00000014916",3.63703264255573,4.41520038484069,312.681592928101,2.0851907648999e-19,2.68632147398104e-16,"CSRP2"
"ENSOARG00000006704",2.4107235826453,6.45861030090504,310.496564997371,2.33740684203893e-19,2.8743729411146e-16,"ETV3"
"ENSOARG00000009417",3.88307460050718,3.10876916976923,276.907970889733,1.48999832627368e-18,1.75262672691339e-15,"COL10A1"
"ENSOARG00000011009",2.35374257701063,3.57667831417446,258.283804465296,4.54405741279851e-18,5.12228871857712e-15,"TEX14"
"ENSOARG00000015078",2.21263033437374,6.87482284474372,257.123606987266,4.88225392801394e-18,5.28337991073956e-15,"IRF1"
"ENSOARG00000006356",2.4827883061538,8.24080566707613,254.045192601847,5.91489043206574e-18,6.15467099035025e-15,"BIRC3"
"ENSOARG00000012119",5.11739188389148,2.77554471110865,251.244591133726,7.05549855088619e-18,6.82246460249564e-15,"IL15"
"ENSOARG00000007045",2.12852952490056,5.9543905346879,251.232213155117,7.06102642381452e-18,6.82246460249564e-15,"TAF4B"
"ENSOARG00000019372",2.57886424521895,4.7379788304036,249.54704590722,7.85799484174934e-18,7.33069629133402e-15,"VDR"
"ENSOARG00000000269",5.23286154365046,3.27492358236801,247.320947793929,9.05914756186201e-18,8.11503503952617e-15,"RASGEF1B"
"ENSOARG00000004253",12.4716642248371,3.86411898918363,267.771080221868,9.29866512254422e-18,8.11503503952617e-15,"CCL4"
"ENSOARG00000020961",2.81587058962563,5.89851725825159,236.54208252494,1.83344341956573e-17,1.5500618210291e-14,"MARCKSL1"
"ENSOARG00000013480",2.16968239785369,6.1228778373663,234.426385316091,2.11246794337689e-17,1.73183962848843e-14,"JAK2"
"ENSOARG00000010098",1.60716278948649,6.99048479337469,228.777405400159,3.10066559261014e-17,2.46721785124926e-14,"CDC40"
"ENSOARG00000007591",2.04591581463396,6.84173522637727,226.87368219163,3.53530261291778e-17,2.60338126752273e-14,"NLRP3"
"ENSOARG00000015781",5.07256774486316,4.49923097475705,226.819984871015,3.5484571353078e-17,2.60338126752273e-14,"ICAM4"
"ENSOARG00000015776",2.07849224903822,5.57914143775864,226.771108291514,3.56047560058923e-17,2.60338126752273e-14,"C21orf91"
"ENSOARG00000012673",2.70093811454134,5.38444563105919,225.582102167827,3.86647579429326e-17,2.75272726681078e-14,"RCAN1"
"ENSOARG00000006142",2.27635393793151,10.0783356030877,224.364865062217,4.20864615196894e-17,2.91950546141969e-14,"IFIH1"
"ENSOARG00000014648",2.94588941323696,10.1773570298073,222.776044964811,4.70405674721872e-17,3.18158878098138e-14,"RSAD2"
"ENSOARG00000002251",3.62544658308766,4.81352362940325,219.686623371436,5.85205100844977e-17,3.80048307408823e-14,"IDO1"
"ENSOARG00000014496",4.33621193431787,6.85776006968039,219.571746538561,5.90006243482316e-17,3.80048307408823e-14,"CXCL8"
"ENSOARG00000002839",2.55139742073776,2.95171886525113,216.508553255445,7.34637253412689e-17,4.62206424507602e-14,NA
"ENSOARG00000012344",3.22958060984968,9.14873663266178,215.015124843126,8.18306603230014e-17,5.03146973722382e-14,"PPP1R15A"
"ENSOARG00000013575",2.6637676025649,5.46697603698502,210.334700705633,1.15227687836814e-16,6.92748859274929e-14,"FUZ"
"ENSOARG00000006322",5.61755164100644,4.71507293996537,205.883925027288,1.605310329729e-16,9.44131862184529e-14,"LIF"
"ENSOARG00000016852",1.69158568069319,6.66486788068448,205.426307104852,1.66155816172189e-16,9.56421159728173e-14,"CFLAR"
"ENSOARG00000012718",1.85323270539057,7.96417093292778,204.460218027652,1.78724638337716e-16,1.00733674283095e-13,"NFKB1"
"ENSOARG00000007502",2.90823290655514,8.55971669858678,202.96282836213,2.00227171676855e-16,1.10549916378482e-13,"NFKBIA"
"ENSOARG00000015050",3.81814254188217,1.70576264358938,202.624918330388,2.05447090686058e-16,1.10745837125546e-13,"MAP3K8"
"ENSOARG00000003352",2.69226425001195,6.31820439307407,202.414557184962,2.08769043150842e-16,1.10745837125546e-13,NA
"ENSOARG00000016668",4.76233050398052,1.67200221976739,200.248475457796,2.46466022251017e-16,1.28228687807289e-13,"CXCL11"
"ENSOARG00000005737",5.44591349168832,3.09664702238886,199.80819460174,2.54971436817468e-16,1.3015089154075e-13,"RASSF5"
"ENSOARG00000013509",3.96788955405375,8.45528010698077,196.075969005036,3.40812899371542e-16,1.70747262585143e-13,"CD274"
"ENSOARG00000009627",5.74206632144428,4.4453757237118,195.830395987394,3.47439691863123e-16,1.70902425884817e-13,"CCL2"
"ENSOARG00000021022",1.90582461782127,6.88572838242961,194.667950533412,3.80705933520784e-16,1.83921755811987e-13,"SNX27"
"ENSOARG00000002035",2.1947574006094,10.2364955089849,193.094843444324,4.31171209437275e-16,2.0464747193186e-13,"WARS"
"ENSOARG00000015505",3.64999308108567,3.20763524056945,192.604462127665,4.48309625847914e-16,2.09113252029129e-13,"KLF5"
"ENSOARG00000004971",2.57541523886585,5.65056533374127,190.610981972796,5.25741276848281e-16,2.41074652607685e-13,"IRAK2"
"ENSOARG00000007452",4.28441361299088,6.8744088285311,185.808006298263,7.76297828044286e-16,3.50032690665168e-13,"HSPA6"
"ENSOARG00000014901",4.86940316784421,2.27978317734572,184.832827996099,8.41091075321501e-16,3.73030786094228e-13,"MYB"
"ENSOARG00000007304",2.70039301230523,3.15138418935734,184.17016108935,8.88360092389275e-16,3.87640224830636e-13,"HES4"
"ENSOARG00000010139",2.82898532007745,3.07578519850354,182.759994227722,9.98529566711815e-16,4.28797125362245e-13,"WASF1"
"ENSOARG00000016195",2.92204192518176,5.07068344447778,181.143641424572,1.14277966306323e-15,4.83074390695511e-13,"ZNF385A"
"ENSOARG00000011085",2.34294328911753,4.53093861018034,179.050021038419,1.36308432087387e-15,5.64080940958919e-13,"CCDC120"
"ENSOARG00000016259",2.33286265031915,4.21249776508766,178.937628909709,1.37611229774853e-15,5.64080940958919e-13,"INPP1"
"ENSOARG00000016922",1.57166866127941,7.96923745744808,176.563921235082,1.68427972578158e-15,6.8009707016858e-13,"CASP8"
"ENSOARG00000012258",4.97519296088086,3.4634565109229,174.676735241967,1.98103782400548e-15,7.88161724862417e-13,"HSD17B14"
"ENSOARG00000002744",2.01078045034892,3.58287805648188,171.653530393501,2.57709484018005e-15,1.01044527255407e-12,NA
"ENSOARG00000009963",1.95560613669442,6.1793838393826,167.553323149895,3.70480715279482e-15,1.43185503873873e-12,"HPS5"
"ENSOARG00000016840",2.40696013095837,3.58290798612958,167.380317132621,3.76259039488977e-15,1.43370592314574e-12,"PRRG4"
"ENSOARG00000008960",2.86167153626905,2.64764004225352,165.98070689531,4.26652758173543e-15,1.60314773883709e-12,"LRFN5"
"ENSOARG00000009205",1.51066448088188,4.22401438051861,164.753161593685,4.76722125860461e-15,1.76674525931903e-12,"CDA"
"ENSOARG00000021012",2.76527813674592,9.35884401397573,162.552926577,5.82623546356224e-15,2.13004019231369e-12,"OLR1"
"ENSOARG00000005315",4.08467076928455,3.33245868522411,162.159732493561,6.04031445735374e-15,2.17886223105664e-12,NA
"ENSOARG00000015177",2.0029774003139,11.2245096076043,161.751815798132,6.27120431158194e-15,2.23238370323076e-12,"IFIT1"
"ENSOARG00000001757",1.99771200706204,5.82885214958315,158.864982665589,8.19635347823689e-15,2.87979411688598e-12,"FOXS1"
"ENSOARG00000012705",3.07159322100596,3.03600287158862,158.597867028874,8.4036205317139e-15,2.91476345980754e-12,"ALDH1A1"
"ENSOARG00000017814",2.1635240916719,3.92041573126102,156.72742407166,1.0019236580618e-14,3.43114463863341e-12,"ARL5B"
"ENSOARG00000016760",1.60076189216515,7.80381575471372,156.203947285952,1.05278864231941e-14,3.56026799116365e-12,"BTG1"
"ENSOARG00000012296",1.83113711016215,7.91283504341475,154.749375762477,1.20895936770651e-14,4.03792428813974e-12,"PLEKHA4"
"ENSOARG00000000675",3.41235992886161,4.12935167560815,154.034721466702,1.29447704605834e-14,4.27082707366614e-12,"ARFGEF3"
"ENSOARG00000017662",1.78840901812687,3.48000398509856,153.872647370232,1.31474523716883e-14,4.28543586100788e-12,NA
"ENSOARG00000014087",5.38208444699025,3.37549374380981,151.071408664269,1.72339033499632e-14,5.55054787178456e-12,"SCN4A"
"ENSOARG00000026090",2.42146070155791,4.04243297826449,150.608848143599,1.80286523239282e-14,5.73820188201829e-12,NA
"ENSOARG00000008526",1.7698486089278,6.12698223229703,150.059243663509,1.90235219442457e-14,5.98444607767003e-12,"PIK3AP1"
"ENSOARG00000005904",7.01185208623182,0.327873216536869,158.645942856922,2.07783261929216e-14,6.46134295199196e-12,"CCDC178"
"ENSOARG00000007169",2.61743801579718,5.76105509640402,147.160845724786,2.53203953054219e-14,7.78429516582822e-12,"KLF4"
"ENSOARG00000000530",1.78218981242553,8.7257871922031,146.506644019588,2.70254381384052e-14,8.21512588085859e-12,"HERC5"
"ENSOARG00000005557",1.32116890304621,8.49885717121777,145.954590461503,2.8558500151665e-14,8.5846851455905e-12,"PLSCR1"
"ENSOARG00000015236",1.5475256144924,5.30161714822269,145.698440227686,2.93007554027091e-14,8.63171907518748e-12,"MAFF"
"ENSOARG00000017093",2.47444669907021,5.80541890857298,145.680643143786,2.93530773607322e-14,8.63171907518748e-12,"SPRY1"
"ENSOARG00000007878",1.44155316002635,5.78439645627277,145.328895716648,3.04076722277915e-14,8.84568994032981e-12,"NCOA7"
"ENSOARG00000009019",3.49832669306732,1.16402028305228,144.685826064227,3.24404143762713e-14,9.33662734612386e-12,"TNFAIP6"
"ENSOARG00000015786",3.50447347561058,5.39223616112852,144.27315307254,3.38200290717797e-14,9.63123227903083e-12,"ICAM5"
"ENSOARG00000006287",6.15953500961364,1.41718930324588,144.006445645029,3.47444972107626e-14,9.79143362020803e-12,"BSPRY"
"ENSOARG00000020877",5.62503317682181,1.78862962791754,143.392765669177,3.69744171967397e-14,1.02689355606399e-11,"IL1A"
"ENSOARG00000016798",1.88829931971541,7.4364115986492,143.333391759106,3.71980367022515e-14,1.02689355606399e-11,"SAT1"
"ENSOARG00000016003",7.43152698183644,0.186668114615368,143.191144049367,3.77396087962009e-14,1.03132058219436e-11,"ACOD1"
"ENSOARG00000004489",2.29765247252729,4.59456043195437,142.368370883877,4.10397772931755e-14,1.11029013488957e-11,"EGR2"
"ENSOARG00000020472",1.17110838383879,6.41171683411111,140.681511455276,4.87955159285032e-14,1.30704345339577e-11,"CLDN1"
"ENSOARG00000014841",2.79467054100974,3.95648691276004,140.288895481568,5.08136637523935e-14,1.34775770505613e-11,"CXCL3"
"ENSOARG00000013620",1.31098213112594,7.60819493628362,140.166405201587,5.14611762324687e-14,1.35168025416816e-11,"ADGRL2"
"ENSOARG00000006219",1.1832436095831,7.39202441656516,139.520514928396,5.50225563357713e-14,1.43132715298842e-11,"TRAPPC8"
"ENSOARG00000018738",2.05659146411234,5.8873438757608,137.67790206159,6.66872060224796e-14,1.71824349688777e-11,"BMP2"
"ENSOARG00000016617",1.57576490092866,9.23165726825665,136.775172811831,7.33293257765297e-14,1.87155809392286e-11,"TRANK1"
"ENSOARG00000006947",2.06733626644323,6.19996814434168,136.585392476311,7.48124951483995e-14,1.8915675175185e-11,"ITPKC"
"ENSOARG00000010493",2.97305032581668,7.7307272698104,135.269319108884,8.60097815991036e-14,2.15454502905755e-11,"ATF3"
"ENSOARG00000015153",2.53571603530166,3.90071314109069,134.805675538913,9.03647957956051e-14,2.2262680932136e-11,"GBP4"
"ENSOARG00000007579",2.68854384115934,2.11600765351654,134.789717181084,9.05187736576832e-14,2.2262680932136e-11,"MYOZ3"
"ENSOARG00000020996",1.90868581166318,7.28562779619525,134.635594042719,9.20201950280433e-14,2.2428057263862e-11,"ATP8B4"
"ENSOARG00000014364",1.72024400788126,4.16648599123175,134.15897161517,9.6831915327339e-14,2.33900949755878e-11,"PIM1"
"ENSOARG00000015072",2.17247656526417,6.73742617705489,133.317374783168,1.05988080037439e-13,2.53752346666626e-11,"GBP1"
"ENSOARG00000011167",1.8750932015234,6.76591701884033,133.00829634991,1.09576342848949e-13,2.60041963108375e-11,"CMTR2"
"ENSOARG00000011043",1.6683137164901,8.88260872150943,132.512477733848,1.15602885380799e-13,2.71958300964533e-11,"ZC3HAV1"
"ENSOARG00000009544",1.52437921137391,7.38020073939464,130.497080892341,1.43945269287711e-13,3.3571511338877e-11,"B4GALT1"
"ENSOARG00000017521",3.00202254066195,6.78254597693516,130.314677426351,1.46849782422618e-13,3.39561881509531e-11,"HBEGF"
